RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,6.96,42.29,ITA,9290514,2007,47,CRAZZOLARA Kevin,33,National Championships Funes - Vilnoess (ITA),2024-02-09
34,6.38,45.38,CZE,9150344,2006,49,SONKA Antonin,34,National Championships Funes - Vilnoess (ITA),2024-02-09
35,5.80,50.72,ITA,9290551,2008,59,PITON Filippo,35,National Championships Funes - Vilnoess (ITA),2024-02-09
36,5.80,50.72,FRA,9190583,1972,55,BRUN Jean Christophe,35,National Championships Funes - Vilnoess (ITA),2024-02-09
37,"",52.14,GER,9200210,2005,50,ADLER Felix Nepomuk,37,National Championships Funes - Vilnoess (ITA),2024-02-09
38,"",59.25,ITA,9290556,2008,60,FAVARETTO Giacomo,38,National Championships Funes - Vilnoess (ITA),2024-02-09
39,"","",ITA,9290524,2007,42,MUTSCHLECHNER Philipp,"",National Championships Funes - Vilnoess (ITA),2024-02-09
40,"","",GER,9200203,2004,37,VOJTASEK Samuel,"",National Championships Funes - Vilnoess (ITA),2024-02-09
41,"","",FRA,1580324,1985,58,MERMET-GUYENET Julien,"",National Championships Funes - Vilnoess (ITA),2024-02-09
42,"","",GER,9200234,2008,53,SCHWERDT Samuel,"",National Championships Funes - Vilnoess (ITA),2024-02-09
43,"","",CZE,9150345,2008,46,MARES Filip,"",National Championships Funes - Vilnoess (ITA),2024-02-09
44,"","",CZE,9150387,2007,45,KLEIN Krystof,"",National Championships Funes - Vilnoess (ITA),2024-02-09
45,"","",ITA,7538766,1986,20,MARCH Aaron,"",National Championships Funes - Vilnoess (ITA),2024-02-09
1,290.00,1:15.01,GER,9200158,2001,24,PRANTL Ole-Mikkel,1,National Championships Funes - Vilnoess (ITA),2024-02-09
2,232.00,1:15.09,ITA,9290227,1995,31,BAGOZZA Daniele,2,National Championships Funes - Vilnoess (ITA),2024-02-09
3,174.00,1:15.72,ITA,9290151,1992,18,FELICETTI Mirko,3,National Championships Funes - Vilnoess (ITA),2024-02-09
4,145.00,1:16.04,ITA,9290107,1991,17,CORATTI Edwin,4,National Championships Funes - Vilnoess (ITA),2024-02-09
5,130.50,1:16.28,ITA,9290200,1994,22,BORMOLINI Maurizio,5,National Championships Funes - Vilnoess (ITA),2024-02-09
6,116.00,1:17.70,GER,9200128,1999,26,HUBER Elias,6,National Championships Funes - Vilnoess (ITA),2024-02-09
7,104.40,1:18.11,ITA,9290515,2007,30,RABANSER Tommy,7,National Championships Funes - Vilnoess (ITA),2024-02-09
8,92.80,1:19.77,ITA,9290395,2002,32,LANTSCHNER Fabian,8,National Championships Funes - Vilnoess (ITA),2024-02-09
9,84.10,1:17.69,ITA,1163127,1980,29,FISCHNALLER Roland,9,National Championships Funes - Vilnoess (ITA),2024-02-09
10,75.40,1:17.81,GER,9200092,1993,19,BAUMEISTER Stefan,10,National Championships Funes - Vilnoess (ITA),2024-02-09
11,69.60,1:18.33,GER,9200191,2003,21,KUEHNHAUSER Max,11,National Championships Funes - Vilnoess (ITA),2024-02-09
12,63.80,1:20.24,AUS,9040213,1999,36,EDMANSON Harvey,12,National Championships Funes - Vilnoess (ITA),2024-02-09
13,58.00,1:21.22,ITA,9290464,2005,28,ZIMMERHOFER Elias,13,National Championships Funes - Vilnoess (ITA),2024-02-09
14,52.20,1:21.75,GER,9200176,2002,25,TANIGUCHI Kaijo,14,National Championships Funes - Vilnoess (ITA),2024-02-09
15,46.40,1:21.99,ITA,9290441,2004,38,DORFMANN Simon,15,National Championships Funes - Vilnoess (ITA),2024-02-09
16,43.50,1:22.78,ITA,9290497,2006,34,HALLER Manuel,16,National Championships Funes - Vilnoess (ITA),2024-02-09
17,40.60,1:23.56,LAT,9550007,1983,44,KORDE Edijs,17,National Championships Funes - Vilnoess (ITA),2024-02-09
18,37.70,1:23.87,CZE,9150343,2006,41,TULACH Ondrej,18,National Championships Funes - Vilnoess (ITA),2024-02-09
19,34.80,1:23.94,ITA,9290330,1999,51,CASTELLO Jamie Lee,19,National Championships Funes - Vilnoess (ITA),2024-02-09
20,31.90,1:24.24,ITA,9290474,2005,61,SIORPAES Giacomo,20,National Championships Funes - Vilnoess (ITA),2024-02-09
21,29.00,1:24.41,GER,9200201,2004,43,SOBINGER Tim,21,National Championships Funes - Vilnoess (ITA),2024-02-09
