RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,360.00,53.13,CAN,9100945,2000,23,1,GAUDET Arnaud,100,European Cup Götschen (GER),2023-12-09
2,288.00,52.47,GER,9200158,2001,22,2,PRANTL Ole-Mikkel,80,European Cup Götschen (GER),2023-12-09
3,216.00,53.93,ITA,9290395,2002,26,3,LANTSCHNER Fabian,60,European Cup Götschen (GER),2023-12-09
4,180.00,54.26,GER,9200145,2000,31,4,ANGENEND Yannik,50,European Cup Götschen (GER),2023-12-09
5,162.00,52.11,AUT,9050297,2003,25,5,KARNER Christoph,45,European Cup Götschen (GER),2023-12-09
6,144.00,53.53,JPN,7300127,1986,28,6,SHIBA Masaki,40,European Cup Götschen (GER),2023-12-09
7,129.60,53.85,AUT,9050324,2007,58,7,GRAVOGL Joachim,36,European Cup Götschen (GER),2023-12-09
8,115.20,54.12,AUT,9050316,2005,30,8,PIETSCH Werner,32,European Cup Götschen (GER),2023-12-09
9,104.40,52.76,CAN,9101129,2002,21,9,HELDMAN Ben,29,European Cup Götschen (GER),2023-12-09
10,93.60,53.80,JPN,9300856,2001,39,10,SHINOHARA Ryusuke,26,European Cup Götschen (GER),2023-12-09
11,86.40,54.01,JPN,9300870,2001,35,11,SHIMIZU Daichi,24,European Cup Götschen (GER),2023-12-09
12,79.20,54.08,ITA,9290463,2005,33,12,SANTUARI Mike,22,European Cup Götschen (GER),2023-12-09
13,72.00,54.18,ITA,9290464,2005,43,13,ZIMMERHOFER Elias,20,European Cup Götschen (GER),2023-12-09
14,64.80,54.20,CZE,9150333,2006,49,14,MINARIK Krystof,18,European Cup Götschen (GER),2023-12-09
15,57.60,54.28,CAN,9100940,2000,29,15,BEHAN Jamie,16,European Cup Götschen (GER),2023-12-09
16,54.00,54.38,UKR,9690121,1999,27,16,KHARUK Mykhailo,15,European Cup Götschen (GER),2023-12-09
17,50.40,54.46,ITA,9290515,2007,46,17,RABANSER Tommy,14,European Cup Götschen (GER),2023-12-09
18,46.80,54.47,CHN,1124993,2002,34,18,BAN Xuefu,13,European Cup Götschen (GER),2023-12-09
19,43.20,54.48,USA,9531069,1997,36,19,UDOLF Dylan,12,European Cup Götschen (GER),2023-12-09
20,39.60,54.53,JPN,9300905,2002,19,20,KANEMATSU Naoki,11,European Cup Götschen (GER),2023-12-09
21,36.00,54.61,GER,9200176,2002,44,21,TANIGUCHI Kaijo,10,European Cup Götschen (GER),2023-12-09
22,32.40,54.70,GER,9200128,1999,20,22,HUBER Elias,9,European Cup Götschen (GER),2023-12-09
23,28.80,54.95,GER,9200191,2003,17,23,KUEHNHAUSER Max,8,European Cup Götschen (GER),2023-12-09
24,25.20,55.03,CAN,9100939,2000,18,24,NAZWASKI Michael,7,European Cup Götschen (GER),2023-12-09
25,21.60,55.04,AUT,9050308,2004,57,25,TREFFLER Julian,6,European Cup Götschen (GER),2023-12-09
26,18.00,55.15,JPN,9301037,2005,42,26,SUMINAGA Shogo,5,European Cup Götschen (GER),2023-12-09
27,16.20,55.26,AUT,9050318,2006,52,27,HAMMERSCHMIDT Lion,4,European Cup Götschen (GER),2023-12-09
28,14.40,55.59,POL,9430012,1987,37,28,GASIENICA-DANIEL Andrzej,3,European Cup Götschen (GER),2023-12-09
29,12.96,55.72,CAN,9100748,1998,38,29,KILMER-CHOI Richard Riley,2,European Cup Götschen (GER),2023-12-09
30,11.52,56.03,ITA,9290497,2006,51,30,HALLER Manuel,1,European Cup Götschen (GER),2023-12-09
31,10.08,56.66,KOR,9320127,1998,32,31,HONG Seung-Yeong,"",European Cup Götschen (GER),2023-12-09
32,9.36,1:03.79,GER,9200203,2004,56,32,VOJTASEK Samuel,"",European Cup Götschen (GER),2023-12-09
33,8.64,27.81,POL,9430169,1999,50,33,RUTKOWSKI Mikolaj,"",European Cup Götschen (GER),2023-12-09
34,7.92,27.86,CAN,9101030,2001,24,34,CARPENTIER Justin,"",European Cup Götschen (GER),2023-12-09
35,7.20,27.90,GEO,1684990,1985,70,35,NAZGAIDZE Revaz,"",European Cup Götschen (GER),2023-12-09
36,7.09,27.92,GER,9200208,2005,64,36,RIEL Benedikt,"",European Cup Götschen (GER),2023-12-09
37,6.98,27.93,CHN,1124990,2001,82,37,DING Xuedong,"",European Cup Götschen (GER),2023-12-09
38,6.88,27.95,USA,9530791,1994,40,38,ROSENCRANZ Ryan,"",European Cup Götschen (GER),2023-12-09
39,6.77,28.06,LAT,9550007,1983,68,39,KORDE Edijs,"",European Cup Götschen (GER),2023-12-09
40,6.66,28.17,ITA,9290437,2004,63,40,DA COL Tommaso Felice,"",European Cup Götschen (GER),2023-12-09
41,6.55,28.20,CZE,9150168,1999,47,41,POCINEK Adam,"",European Cup Götschen (GER),2023-12-09
42,6.44,28.22,POL,9430208,2006,67,42,KULPINSKI Anatol,"",European Cup Götschen (GER),2023-12-09
43,6.34,28.24,KOR,9320197,2002,41,43,MA Junho,"",European Cup Götschen (GER),2023-12-09
44,6.23,28.27,POL,9430193,2004,59,44,MIKOLAJCZYK Maciej,"",European Cup Götschen (GER),2023-12-09
45,6.12,28.28,UKR,9690140,2001,48,45,KABALIUK Andrii,"",European Cup Götschen (GER),2023-12-09
