RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,3.84,33.62,GER,9200210,2005,151,ADLER Felix Nepomuk,33,FIS Nova Levante - Welschnofen (ITA),2024-01-28
34,3.52,33.68,GER,9200234,2008,155,SCHWERDT Samuel,34,FIS Nova Levante - Welschnofen (ITA),2024-01-28
35,3.20,34.24,TUR,9520019,2005,149,YUCEDAL Efe,35,FIS Nova Levante - Welschnofen (ITA),2024-01-28
36,3.15,35.19,GER,9200220,2006,157,RIEDEL Arne,36,FIS Nova Levante - Welschnofen (ITA),2024-01-28
37,"",38.63,SUI,9510574,2008,159,SCHIBLI Alec,37,FIS Nova Levante - Welschnofen (ITA),2024-01-28
38,"",44.66,ITA,9290556,2008,161,FAVARETTO Giacomo,38,FIS Nova Levante - Welschnofen (ITA),2024-01-28
39,"",50.43,CZE,9150345,2008,143,MARES Filip,39,FIS Nova Levante - Welschnofen (ITA),2024-01-28
40,"","",ITA,9290437,2004,134,DA COL Tommaso Felice,"",FIS Nova Levante - Welschnofen (ITA),2024-01-28
41,"","",FRA,1580324,1985,163,MERMET-GUYENET Julien,"",FIS Nova Levante - Welschnofen (ITA),2024-01-28
42,"","",UKR,9690180,2006,150,POPADYCH Oleksandr,"",FIS Nova Levante - Welschnofen (ITA),2024-01-28
43,"","",TUR,9520009,2002,148,KOCAK Ugur,"",FIS Nova Levante - Welschnofen (ITA),2024-01-28
44,"","",FRA,9190311,1983,160,BUFFA Sebastien,"",FIS Nova Levante - Welschnofen (ITA),2024-01-28
45,"","",FRA,9190583,1972,158,BRUN Jean Christophe,"",FIS Nova Levante - Welschnofen (ITA),2024-01-28
46,"","",ITA,9290330,1999,152,CASTELLO Jamie Lee,"",FIS Nova Levante - Welschnofen (ITA),2024-01-28
47,"","",UKR,9690140,2001,128,KABALIUK Andrii,"",FIS Nova Levante - Welschnofen (ITA),2024-01-28
1,160.00,1:00.43,ITA,9290463,2005,119,SANTUARI Mike,1,FIS Nova Levante - Welschnofen (ITA),2024-01-28
2,128.00,1:00.23,GER,9200191,2003,129,KUEHNHAUSER Max,2,FIS Nova Levante - Welschnofen (ITA),2024-01-28
3,96.00,1:00.29,GER,9200203,2004,122,VOJTASEK Samuel,3,FIS Nova Levante - Welschnofen (ITA),2024-01-28
4,80.00,1:00.76,ITA,9290497,2006,132,HALLER Manuel,4,FIS Nova Levante - Welschnofen (ITA),2024-01-28
