RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,90.00,CZE,9155071,2003,4,SONKOVA Klara,1,FIS Spindleruv Mlyn (CZE),2024-03-17
2,72.00,CZE,9155116,2006,3,MARESOVA Emma Maya,2,FIS Spindleruv Mlyn (CZE),2024-03-17
3,54.00,POL,9435111,2007,8,PIWOWARCZYK Nadia,3,FIS Spindleruv Mlyn (CZE),2024-03-17
4,45.00,CZE,9155098,2004,13,ZVIRECI Jana,4,FIS Spindleruv Mlyn (CZE),2024-03-17
5,40.50,CZE,9155110,2006,7,BIEGELOVA Sofie,5,FIS Spindleruv Mlyn (CZE),2024-03-17
6,36.00,POL,9435112,2007,9,BUCKA Nicole,6,FIS Spindleruv Mlyn (CZE),2024-03-17
7,32.40,POL,9435095,2004,5,KULA Maria,7,FIS Spindleruv Mlyn (CZE),2024-03-17
8,28.80,CZE,9155102,2004,14,POLIDOROVA Linda,8,FIS Spindleruv Mlyn (CZE),2024-03-17
9,26.10,CZE,9155108,2005,2,KECLIKOVA Barbora,9,FIS Spindleruv Mlyn (CZE),2024-03-17
10,23.40,POL,9435117,2008,11,KACICZAK Martyna,10,FIS Spindleruv Mlyn (CZE),2024-03-17
11,21.60,CZE,9155149,2008,1,KOZELSKA Ivana,11,FIS Spindleruv Mlyn (CZE),2024-03-17
12,19.80,CZE,9155148,2008,10,KOZELSKA Adela,12,FIS Spindleruv Mlyn (CZE),2024-03-17
13,"",CZE,9155112,2005,12,HRONKOVA Lucie,13,FIS Spindleruv Mlyn (CZE),2024-03-17
14,,"",MADEROVA Zuzana,CZE,9155072,2003,"",FIS Spindleruv Mlyn (CZE),2024-03-17
