RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Rank,Athlete,Event Name,Date
1,50.00,JPN,9305474,54.70,2005,23,1,JIGE Ayane,FIS Horseshoe Resort (CAN),2024-01-27
2,40.00,JPN,9305501,1:01.81,2006,25,2,NANASAKI Riho,FIS Horseshoe Resort (CAN),2024-01-27
3,30.00,CAN,9105568,1:02.79,2007,24,3,SWEENEY Rowan,FIS Horseshoe Resort (CAN),2024-01-27
4,25.00,JPN,9305252,1:04.62,1994,22,4,UENO Koto,FIS Horseshoe Resort (CAN),2024-01-27
5,22.50,CAN,9105576,1:08.47,2008,26,5,CADER Sienna,FIS Horseshoe Resort (CAN),2024-01-27
6,20.00,CAN,9105542,1:17.32,2006,21,6,ALTSHULLER Maya,FIS Horseshoe Resort (CAN),2024-01-27
