RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,SRB,9315020,54.21,2006,3,DJOGIC Andjela,1,FIS Kopaonik (SRB),2024-03-02
2,40.00,CRO,1389930,56.32,1994,11,JUGOVAC Lea,2,FIS Kopaonik (SRB),2024-03-02
3,30.00,SRB,9315028,57.89,2007,5,PESIC Nia,3,FIS Kopaonik (SRB),2024-03-02
4,25.00,LBN,1349966,1:01.14,1999,4,FAKHRY Huguette,4,FIS Kopaonik (SRB),2024-03-02
5,22.50,MKD,9755002,1:02.12,2006,6,BASHOSKA Eva,5,FIS Kopaonik (SRB),2024-03-02
6,20.00,SRB,9315025,1:02.22,2008,7,ACKOVIC Daria,6,FIS Kopaonik (SRB),2024-03-02
7,18.00,SRB,9315030,1:10.35,2004,10,REDZIC Katarina,7,FIS Kopaonik (SRB),2024-03-02
8,16.00,MKD,9755006,1:10.46,2006,9,DJAGORA Eva,8,FIS Kopaonik (SRB),2024-03-02
9,"",SRB,9315038,"",2008,8,MIJATOVIC Mina,"",FIS Kopaonik (SRB),2024-03-02
10,"",MKD,9755005,"",1998,2,DJAGORA Mia,"",FIS Kopaonik (SRB),2024-03-02
