RowID,FIS Points,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,220.00,GER,9200158,2001,81,1,PRANTL Ole-Mikkel,100,European Cup Moninec (CZE),2023-12-20
2,176.00,JPN,9300905,2002,82,2,KANEMATSU Naoki,80,European Cup Moninec (CZE),2023-12-20
3,132.00,AUT,9050316,2005,84,3,PIETSCH Werner,60,European Cup Moninec (CZE),2023-12-20
4,110.00,CZE,9150333,2006,83,4,MINARIK Krystof,50,European Cup Moninec (CZE),2023-12-20
5,99.00,UKR,9690121,1999,85,5,KHARUK Mykhailo,45,European Cup Moninec (CZE),2023-12-20
6,88.00,GER,9200203,2004,86,6,VOJTASEK Samuel,40,European Cup Moninec (CZE),2023-12-20
7,79.20,ITA,9290395,2002,87,7,LANTSCHNER Fabian,36,European Cup Moninec (CZE),2023-12-20
8,70.40,ITA,9290515,2007,88,8,RABANSER Tommy,32,European Cup Moninec (CZE),2023-12-20
9,63.80,ITA,9290464,2005,89,9,ZIMMERHOFER Elias,29,European Cup Moninec (CZE),2023-12-20
10,57.20,CAN,9100940,2000,90,10,BEHAN Jamie,26,European Cup Moninec (CZE),2023-12-20
11,52.80,KOR,9320197,2002,91,11,MA Junho,24,European Cup Moninec (CZE),2023-12-20
12,48.40,ITA,9290463,2005,92,12,SANTUARI Mike,22,European Cup Moninec (CZE),2023-12-20
13,44.00,GER,9200191,2003,93,13,KUEHNHAUSER Max,20,European Cup Moninec (CZE),2023-12-20
14,39.60,GER,9200176,2002,94,14,TANIGUCHI Kaijo,18,European Cup Moninec (CZE),2023-12-20
15,35.20,KOR,9320127,1998,95,15,HONG Seung-Yeong,16,European Cup Moninec (CZE),2023-12-20
16,33.00,AUT,9050318,2006,96,16,HAMMERSCHMIDT Lion,15,European Cup Moninec (CZE),2023-12-20
17,30.80,GER,9200208,2005,138,17,RIEL Benedikt,14,European Cup Moninec (CZE),2023-12-20
18,28.60,POL,9430169,1999,127,18,RUTKOWSKI Mikolaj,13,European Cup Moninec (CZE),2023-12-20
19,26.40,AUT,9050324,2007,105,19,GRAVOGL Joachim,12,European Cup Moninec (CZE),2023-12-20
20,24.20,AUS,9040213,1999,116,20,EDMANSON Harvey,11,European Cup Moninec (CZE),2023-12-20
21,22.00,AUT,9050308,2004,115,21,TREFFLER Julian,10,European Cup Moninec (CZE),2023-12-20
22,19.80,CAN,9100748,1998,108,22,KILMER-CHOI Richard Riley,9,European Cup Moninec (CZE),2023-12-20
23,17.60,UKR,9690140,2001,114,23,KABALIUK Andrii,8,European Cup Moninec (CZE),2023-12-20
24,15.40,CAN,9100939,2000,124,24,NAZWASKI Michael,7,European Cup Moninec (CZE),2023-12-20
25,13.20,CAN,9100570,1996,119,25,LEFEBVRE Jules,6,European Cup Moninec (CZE),2023-12-20
26,11.00,NED,9400117,2005,130,26,ZORGE Youri,5,European Cup Moninec (CZE),2023-12-20
27,9.90,CZE,9150343,2006,140,27,TULACH Ondrej,4,European Cup Moninec (CZE),2023-12-20
28,8.80,POL,9430208,2006,128,28,KULPINSKI Anatol,3,European Cup Moninec (CZE),2023-12-20
29,7.92,ITA,9290497,2006,102,29,HALLER Manuel,2,European Cup Moninec (CZE),2023-12-20
30,7.04,ITA,9290514,2007,147,30,CRAZZOLARA Kevin,1,European Cup Moninec (CZE),2023-12-20
31,6.16,CAN,9101030,2001,123,31,CARPENTIER Justin,"",European Cup Moninec (CZE),2023-12-20
32,5.72,USA,9530791,1994,129,32,ROSENCRANZ Ryan,"",European Cup Moninec (CZE),2023-12-20
33,5.28,UKR,9690062,1995,131,33,BELINSKYI Oleksandr,"",European Cup Moninec (CZE),2023-12-20
34,4.84,ITA,9290441,2004,125,34,DORFMANN Simon,"",European Cup Moninec (CZE),2023-12-20
35,4.40,UKR,9690132,1993,137,35,HACHAK Stanislav,"",European Cup Moninec (CZE),2023-12-20
36,4.33,POL,9430191,2004,149,36,WILK Michal,"",European Cup Moninec (CZE),2023-12-20
37,4.27,ITA,1020634,1973,135,37,RABANSER Georg,"",European Cup Moninec (CZE),2023-12-20
