RowID,FIS Points,Nation,FIS code,Year,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,CHN,9125001,1998,GONG Naiying,1,100,Asian Cup High1resort (KOR),2024-03-04
2,128.00,CHN,9125028,2001,KONG Binbin,2,80,Asian Cup High1resort (KOR),2024-03-04
3,96.00,KOR,9325057,2002,JANG Seo Hee,3,60,Asian Cup High1resort (KOR),2024-03-04
4,80.00,CHN,9125093,2002,BAI Xinhui,4,50,Asian Cup High1resort (KOR),2024-03-04
5,72.00,CHN,9125033,2000,KAN Binbin,5,45,Asian Cup High1resort (KOR),2024-03-04
6,64.00,KOR,9325006,1993,LEE Jung-eun,6,40,Asian Cup High1resort (KOR),2024-03-04
7,57.60,CHN,1129982,1994,ZANG Ruxin,7,36,Asian Cup High1resort (KOR),2024-03-04
8,51.20,JPN,9305430,2002,OSHIMA Sakura,8,32,Asian Cup High1resort (KOR),2024-03-04
9,46.40,JPN,9305291,1996,TOYODA Asa,9,29,Asian Cup High1resort (KOR),2024-03-04
10,41.60,CHN,9125008,1996,PENG Cheng,10,26,Asian Cup High1resort (KOR),2024-03-04
11,38.40,JPN,9305437,2003,YOGO Sakura,11,24,Asian Cup High1resort (KOR),2024-03-04
12,35.20,JPN,9305265,1994,KOSHISAKA Ayana,12,22,Asian Cup High1resort (KOR),2024-03-04
13,32.00,KOR,9325059,2002,JUNG Da Woon,13,20,Asian Cup High1resort (KOR),2024-03-04
14,28.80,JPN,9305403,2002,MURATA Noa,14,18,Asian Cup High1resort (KOR),2024-03-04
15,25.60,KOR,9325082,2006,JUNG Seo-Yeong,15,16,Asian Cup High1resort (KOR),2024-03-04
16,24.00,KOR,9325090,2008,KIM Yena,16,15,Asian Cup High1resort (KOR),2024-03-04
17,22.40,JPN,9305476,2005,MAEDA Suzumi,17,14,Asian Cup High1resort (KOR),2024-03-04
18,20.80,KOR,9325079,2006,YOO Jiwoo,18,13,Asian Cup High1resort (KOR),2024-03-04
19,"",KOR,9325092,2007,CHO Sumin,19,12,Asian Cup High1resort (KOR),2024-03-04
20,"",JPN,9305407,2002,NOZAKI Ran,"","",Asian Cup High1resort (KOR),2024-03-04
21,"",JPN,9305252,1994,UENO Koto,"","",Asian Cup High1resort (KOR),2024-03-04
22,"",JPN,9305482,2003,KAMATA Mizuki,"","",Asian Cup High1resort (KOR),2024-03-04
23,"",KOR,9325094,2008,LEE Yoojeong,"","",Asian Cup High1resort (KOR),2024-03-04
