RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,360.00,1:04.92,SUI,9515082,1992,27,1,ZOGG Julie,100,European Cup St. Moritz (SUI),2024-03-17
2,288.00,1:05.56,AUT,9055032,1992,33,2,SCHOEFFMANN Sabine,80,European Cup St. Moritz (SUI),2024-03-17
3,216.00,1:06.51,SUI,9515102,1993,20,3,JENNY Ladina,60,European Cup St. Moritz (SUI),2024-03-17
4,180.00,1:06.42,ITA,9295145,1997,30,4,DALMASSO Lucia,50,European Cup St. Moritz (SUI),2024-03-17
5,162.00,1:05.77,UKR,1699945,1990,39,5,DANCHA Annamari,45,European Cup St. Moritz (SUI),2024-03-17
6,144.00,1:06.57,GER,9205050,1994,46,6,LOCH Cheyenne,40,European Cup St. Moritz (SUI),2024-03-17
7,129.60,1:06.68,GER,9205056,1996,47,7,HOCHREITER Melanie,36,European Cup St. Moritz (SUI),2024-03-17
8,115.20,1:08.13,NED,9405023,1996,36,8,DEKKER Michelle,32,European Cup St. Moritz (SUI),2024-03-17
9,104.40,1:06.02,SLO,1569955,1989,24,9,KOTNIK Gloria,29,European Cup St. Moritz (SUI),2024-03-17
10,93.60,1:07.07,ITA,9295132,1999,44,10,CAFFONT Elisa,26,European Cup St. Moritz (SUI),2024-03-17
11,86.40,1:07.23,CAN,9105518,2005,25,11,MOISAN Aurelie,24,European Cup St. Moritz (SUI),2024-03-17
12,79.20,1:07.42,AUT,1004920,1973,41,12,RIEGLER Claudia,22,European Cup St. Moritz (SUI),2024-03-17
13,72.00,1:08.05,SUI,9515213,2004,18,13,BAETSCHI Laila Ursina,20,European Cup St. Moritz (SUI),2024-03-17
14,64.80,1:08.26,KOR,9325017,1995,52,14,JEONG Haerim,18,European Cup St. Moritz (SUI),2024-03-17
15,57.60,1:08.58,AUT,9055107,2003,23,15,SCHOEFFMANN Pia,16,European Cup St. Moritz (SUI),2024-03-17
16,54.00,1:08.70,SUI,9515154,1997,50,16,GASSER Larissa,15,European Cup St. Moritz (SUI),2024-03-17
17,50.40,1:09.22,ITA,9295158,2003,32,17,FAVA Elisa,14,European Cup St. Moritz (SUI),2024-03-17
18,46.80,1:09.66,USA,9535569,2003,49,18,PFLUM Iris,13,European Cup St. Moritz (SUI),2024-03-17
19,43.20,1:10.46,CAN,9105371,2000,43,19,BUCK Kaylie,12,European Cup St. Moritz (SUI),2024-03-17
20,39.60,1:11.28,POL,9435070,1999,55,20,BUKOWSKA-CHYC Maria,11,European Cup St. Moritz (SUI),2024-03-17
21,36.00,1:11.34,SUI,9515196,2002,40,21,HAUSER Ricarda,10,European Cup St. Moritz (SUI),2024-03-17
22,32.40,1:11.57,SUI,9515236,2007,19,22,VON SIEBENTHAL Xenia,9,European Cup St. Moritz (SUI),2024-03-17
23,28.80,1:12.24,UKR,9695036,2003,26,23,HAPATYN Nadiia,8,European Cup St. Moritz (SUI),2024-03-17
24,25.20,1:12.66,USA,9535668,2006,56,24,DOMINO Grace,7,European Cup St. Moritz (SUI),2024-03-17
25,21.60,1:12.87,CAN,9105317,1998,57,25,VAN GRONINGEN Abby,6,European Cup St. Moritz (SUI),2024-03-17
26,18.00,1:12.97,POL,9435104,2006,37,26,DAWIDEK Weronika,5,European Cup St. Moritz (SUI),2024-03-17
27,16.20,1:14.06,ITA,9295200,2004,38,27,FACHIN Fabiana,4,European Cup St. Moritz (SUI),2024-03-17
28,14.40,1:14.17,POL,9435094,2004,58,28,KACICZAK Olga,3,European Cup St. Moritz (SUI),2024-03-17
29,12.96,1:16.18,POL,9435098,2004,63,29,PIWOWARCZYK Natasza,2,European Cup St. Moritz (SUI),2024-03-17
30,11.52,1:25.05,USA,9535541,2001,67,30,JONES Cecelia,1,European Cup St. Moritz (SUI),2024-03-17
31,10.08,33.75,CZE,9155107,2005,42,31,KECLIKOVA Adela,"",European Cup St. Moritz (SUI),2024-03-17
32,9.36,37.12,AUT,9055100,2002,29,32,PICHELKASTNER Jessica,"",European Cup St. Moritz (SUI),2024-03-17
33,8.64,37.13,POL,9435097,2004,62,33,POLTORAK Karolina,"",European Cup St. Moritz (SUI),2024-03-17
34,7.92,37.28,USA,9535431,1999,54,34,KIZUKA Kaiya,"",European Cup St. Moritz (SUI),2024-03-17
35,7.20,37.90,CZE,9155137,2007,64,35,OTIPKOVA Hana,"",European Cup St. Moritz (SUI),2024-03-17
