RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
33,24.00,56.64,POL,9435098,2004,57,PIWOWARCZYK Natasza,33,"",World Cup Krynica (POL),2024-02-24
34,22.00,56.84,POL,9435094,2004,53,KACICZAK Olga,34,"",World Cup Krynica (POL),2024-02-24
35,"",57.00,POL,9435077,2000,38,KWIATKOWSKA Olimpia,35,"",World Cup Krynica (POL),2024-02-24
36,"",57.67,POL,9435100,2005,54,ZAPALA Sonia,36,"",World Cup Krynica (POL),2024-02-24
37,"",1:03.97,AUT,9055100,2002,49,PICHELKASTNER Jessica,37,"",World Cup Krynica (POL),2024-02-24
38,"","",BUL,1605641,1982,52,PENTCHEVA Teodora,"","",World Cup Krynica (POL),2024-02-24
39,"","",POL,9435030,1991,51,BIELA-NOWACZYK Weronika,"","",World Cup Krynica (POL),2024-02-24
40,"","",CZE,9155107,2005,48,KECLIKOVA Adela,"","",World Cup Krynica (POL),2024-02-24
41,"","",AUT,9055093,2001,45,KAINZ Carmen,"","",World Cup Krynica (POL),2024-02-24
1,1000.00,1:38.96,GER,9205058,1996,4,HOFMEISTER Ramona Theresia,1,100,World Cup Krynica (POL),2024-02-24
2,800.00,1:38.29,SUI,9515082,1992,2,ZOGG Julie,2,80,World Cup Krynica (POL),2024-02-24
3,600.00,1:40.09,NED,9405023,1996,6,DEKKER Michelle,3,60,World Cup Krynica (POL),2024-02-24
4,500.00,1:38.23,AUT,9055071,1998,1,ULBING Daniela,4,50,World Cup Krynica (POL),2024-02-24
5,450.00,1:40.31,SUI,9515102,1993,7,JENNY Ladina,5,45,World Cup Krynica (POL),2024-02-24
6,400.00,1:40.80,AUT,1004920,1973,9,RIEGLER Claudia,6,40,World Cup Krynica (POL),2024-02-24
7,360.00,1:41.12,GER,9205056,1996,12,HOCHREITER Melanie,7,36,World Cup Krynica (POL),2024-02-24
8,320.00,1:41.74,ITA,9295132,1999,14,CAFFONT Elisa,8,32,World Cup Krynica (POL),2024-02-24
9,290.00,1:38.70,ITA,9295145,1997,3,DALMASSO Lucia,9,29,World Cup Krynica (POL),2024-02-24
10,260.00,1:39.93,SLO,1569955,1989,5,KOTNIK Gloria,10,26,World Cup Krynica (POL),2024-02-24
11,240.00,1:40.46,ITA,9295154,2001,8,CORATTI Jasmin,11,24,World Cup Krynica (POL),2024-02-24
12,220.00,1:40.94,GER,9205050,1994,10,LOCH Cheyenne,12,22,World Cup Krynica (POL),2024-02-24
13,200.00,1:41.01,UKR,1699945,1990,11,DANCHA Annamari,13,20,World Cup Krynica (POL),2024-02-24
14,180.00,1:41.12,AUT,9055032,1992,13,SCHOEFFMANN Sabine,14,18,World Cup Krynica (POL),2024-02-24
15,160.00,1:42.21,JPN,1543464,1983,15,TAKEUCHI Tomoka,15,16,World Cup Krynica (POL),2024-02-24
16,150.00,1:42.24,KOR,9325017,1995,16,JEONG Haerim,16,15,World Cup Krynica (POL),2024-02-24
17,140.00,1:42.43,CZE,9155072,2003,31,MADEROVA Zuzana,17,14,World Cup Krynica (POL),2024-02-24
18,130.00,1:43.71,JPN,9305427,2003,29,MIKI Tsubaki,18,13,World Cup Krynica (POL),2024-02-24
19,120.00,1:43.98,ITA,9295158,2003,43,FAVA Elisa,19,12,World Cup Krynica (POL),2024-02-24
20,110.00,1:44.15,USA,9535569,2003,34,PFLUM Iris,20,11,World Cup Krynica (POL),2024-02-24
21,100.00,1:44.31,POL,9435104,2006,40,DAWIDEK Weronika,21,10,World Cup Krynica (POL),2024-02-24
22,90.00,1:44.91,CZE,9155071,2003,41,SONKOVA Klara,22,9,World Cup Krynica (POL),2024-02-24
23,80.00,1:45.99,UKR,9695036,2003,44,HAPATYN Nadiia,23,8,World Cup Krynica (POL),2024-02-24
24,70.00,1:46.09,CAN,9105371,2000,39,BUCK Kaylie,24,7,World Cup Krynica (POL),2024-02-24
25,60.00,1:46.56,POL,9435070,1999,37,BUKOWSKA-CHYC Maria,25,6,World Cup Krynica (POL),2024-02-24
26,50.00,1:46.67,AUT,9055101,2002,46,WEIS Miriam,26,5,World Cup Krynica (POL),2024-02-24
27,45.00,1:47.36,UKR,1699984,1997,47,MALOVANNA Oleksandra,27,4,World Cup Krynica (POL),2024-02-24
28,40.00,1:48.69,SUI,9515154,1997,36,GASSER Larissa,28,3,World Cup Krynica (POL),2024-02-24
29,36.00,1:49.85,POL,9435099,2004,55,STOKLOSA Natalia,29,2,World Cup Krynica (POL),2024-02-24
30,32.00,1:51.31,POL,9435097,2004,56,POLTORAK Karolina,30,1,World Cup Krynica (POL),2024-02-24
31,28.00,1:51.90,JPN,9305432,2003,50,KANAZAWA Noa,31,"",World Cup Krynica (POL),2024-02-24
32,26.00,1:56.02,CAN,9105518,2005,42,MOISAN Aurelie,32,"",World Cup Krynica (POL),2024-02-24
