RowID,FIS Points,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
22,19.80,CAN,9101030,2001,100,22,CARPENTIER Justin,9,European Cup Moninec (CZE),2023-12-19
23,17.60,ITA,9290441,2004,134,23,DORFMANN Simon,8,European Cup Moninec (CZE),2023-12-19
24,15.40,CZE,9150168,1999,118,24,POCINEK Adam,7,European Cup Moninec (CZE),2023-12-19
25,13.20,ITA,9290515,2007,117,25,RABANSER Tommy,6,European Cup Moninec (CZE),2023-12-19
26,11.00,POL,9430169,1999,121,26,RUTKOWSKI Mikolaj,5,European Cup Moninec (CZE),2023-12-19
27,9.90,AUT,9050308,2004,129,27,TREFFLER Julian,4,European Cup Moninec (CZE),2023-12-19
28,8.80,GER,9200201,2004,141,28,SOBINGER Tim,3,European Cup Moninec (CZE),2023-12-19
29,7.92,CAN,9100939,2000,101,29,NAZWASKI Michael,2,European Cup Moninec (CZE),2023-12-19
30,7.04,USA,9530791,1994,106,30,ROSENCRANZ Ryan,1,European Cup Moninec (CZE),2023-12-19
31,6.16,KOR,9320197,2002,113,31,MA Junho,"",European Cup Moninec (CZE),2023-12-19
32,5.72,GEO,1684990,1985,145,32,NAZGAIDZE Revaz,"",European Cup Moninec (CZE),2023-12-19
33,5.28,UKR,9690132,1993,133,33,HACHAK Stanislav,"",European Cup Moninec (CZE),2023-12-19
34,4.84,UKR,9690062,1995,124,34,BELINSKYI Oleksandr,"",European Cup Moninec (CZE),2023-12-19
35,4.40,CZE,9150343,2006,138,35,TULACH Ondrej,"",European Cup Moninec (CZE),2023-12-19
36,4.33,POL,9430208,2006,143,36,KULPINSKI Anatol,"",European Cup Moninec (CZE),2023-12-19
37,4.27,JPN,9300459,1992,163,37,MOMONO Shinya,"",European Cup Moninec (CZE),2023-12-19
38,4.20,CZE,9150345,2008,160,38,MARES Filip,"",European Cup Moninec (CZE),2023-12-19
39,4.14,KOR,9320243,2006,132,39,LEE Jeong-Gil,"",European Cup Moninec (CZE),2023-12-19
40,4.07,UKR,9690175,2005,137,40,BILOUS Nestor,"",European Cup Moninec (CZE),2023-12-19
