RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,1000.00,51.71,ITA,9290200,1994,1,1,BORMOLINI Maurizio,100,World Cup Bad Gastein (AUT),2024-01-16
2,800.00,52.69,AUT,9050238,1997,11,2,AUNER Arvid,80,World Cup Bad Gastein (AUT),2024-01-16
3,600.00,52.17,AUT,9050217,1996,4,3,OBMANN Fabian,60,World Cup Bad Gastein (AUT),2024-01-16
4,500.00,52.63,AUT,1054984,1985,10,4,KARL Benjamin,50,World Cup Bad Gastein (AUT),2024-01-16
5,450.00,51.94,ITA,9290107,1991,2,5,CORATTI Edwin,45,World Cup Bad Gastein (AUT),2024-01-16
6,400.00,51.95,ITA,9290227,1995,3,6,BAGOZZA Daniele,40,World Cup Bad Gastein (AUT),2024-01-16
7,360.00,52.59,GER,9200092,1993,9,7,BAUMEISTER Stefan,36,World Cup Bad Gastein (AUT),2024-01-16
8,320.00,52.75,BUL,1094969,1990,12,8,YANKOV Radoslav,32,World Cup Bad Gastein (AUT),2024-01-16
9,290.00,52.53,SLO,1659088,1984,6,9,KOSIR Zan,29,World Cup Bad Gastein (AUT),2024-01-16
10,290.00,52.53,USA,9531244,2000,5,9,WINTERS Cody,29,World Cup Bad Gastein (AUT),2024-01-16
11,240.00,52.56,SUI,9510316,1995,7,11,CAVIEZEL Dario,24,World Cup Bad Gastein (AUT),2024-01-16
12,220.00,52.57,CAN,9100945,2000,8,12,GAUDET Arnaud,22,World Cup Bad Gastein (AUT),2024-01-16
13,200.00,52.80,ITA,7538766,1986,13,13,MARCH Aaron,20,World Cup Bad Gastein (AUT),2024-01-16
14,180.00,52.91,KOR,9320091,1995,14,14,LEE Sangho,18,World Cup Bad Gastein (AUT),2024-01-16
15,160.00,52.95,AUT,9050029,1988,15,15,KISLINGER Sebastian,16,World Cup Bad Gastein (AUT),2024-01-16
16,150.00,52.99,SUI,9510417,2000,16,16,CASANOVA Gian,15,World Cup Bad Gastein (AUT),2024-01-16
17,140.00,53.04,JPN,7300127,1986,49,17,SHIBA Masaki,14,World Cup Bad Gastein (AUT),2024-01-16
18,140.00,53.04,AUT,9050279,2001,44,17,BURGSTALLER Dominik,14,World Cup Bad Gastein (AUT),2024-01-16
19,120.00,53.26,AUT,1093190,1980,29,19,PROMMEGGER Andreas,12,World Cup Bad Gastein (AUT),2024-01-16
20,110.00,53.37,CZE,9150333,2006,61,20,MINARIK Krystof,11,World Cup Bad Gastein (AUT),2024-01-16
21,100.00,53.39,AUT,9050196,1995,48,21,JURITZ Aron,10,World Cup Bad Gastein (AUT),2024-01-16
22,100.00,53.39,AUT,9050272,2001,42,21,PINK Matthaeus,10,World Cup Bad Gastein (AUT),2024-01-16
23,80.00,53.47,SLO,7560012,1986,34,23,MARGUC Rok,8,World Cup Bad Gastein (AUT),2024-01-16
24,70.00,53.51,POL,9430120,1996,35,24,KWIATKOWSKI Oskar,7,World Cup Bad Gastein (AUT),2024-01-16
25,60.00,53.94,AUT,9050042,1989,19,25,PAYER Alexander,6,World Cup Bad Gastein (AUT),2024-01-16
26,50.00,53.98,SLO,9560053,1991,20,26,MASTNAK Tim,5,World Cup Bad Gastein (AUT),2024-01-16
27,45.00,54.00,CAN,9100940,2000,53,27,BEHAN Jamie,4,World Cup Bad Gastein (AUT),2024-01-16
28,40.00,54.33,CAN,9101129,2002,38,28,HELDMAN Ben,3,World Cup Bad Gastein (AUT),2024-01-16
29,36.00,54.35,GER,9200128,1999,40,29,HUBER Elias,2,World Cup Bad Gastein (AUT),2024-01-16
30,32.00,54.76,CAN,9100570,1996,58,30,LEFEBVRE Jules,1,World Cup Bad Gastein (AUT),2024-01-16
31,28.00,55.51,POL,9430124,1996,43,31,NOWACZYK Michal,"",World Cup Bad Gastein (AUT),2024-01-16
32,26.00,"",AUT,9050297,2003,50,32,KARNER Christoph,"",World Cup Bad Gastein (AUT),2024-01-16
33,24.00,27.31,GER,9200158,2001,46,33,PRANTL Ole-Mikkel,"",World Cup Bad Gastein (AUT),2024-01-16
34,22.00,27.53,KOR,9320197,2002,64,34,MA Junho,"",World Cup Bad Gastein (AUT),2024-01-16
35,20.00,27.58,GER,9200145,2000,47,35,ANGENEND Yannik,"",World Cup Bad Gastein (AUT),2024-01-16
36,19.70,27.72,ITA,9290151,1992,37,36,FELICETTI Mirko,"",World Cup Bad Gastein (AUT),2024-01-16
37,19.40,27.95,GER,9200208,2005,68,37,RIEL Benedikt,"",World Cup Bad Gastein (AUT),2024-01-16
38,19.10,28.09,GER,9200191,2003,54,38,KUEHNHAUSER Max,"",World Cup Bad Gastein (AUT),2024-01-16
39,18.80,28.10,CAN,9100939,2000,55,39,NAZWASKI Michael,"",World Cup Bad Gastein (AUT),2024-01-16
40,18.50,28.11,USA,9530791,1994,63,40,ROSENCRANZ Ryan,"",World Cup Bad Gastein (AUT),2024-01-16
41,18.20,28.26,USA,9531069,1997,60,41,UDOLF Dylan,"",World Cup Bad Gastein (AUT),2024-01-16
42,17.90,28.41,CAN,9100748,1998,62,42,KILMER-CHOI Richard Riley,"",World Cup Bad Gastein (AUT),2024-01-16
43,17.60,28.45,AUS,9040213,1999,69,43,EDMANSON Harvey,"",World Cup Bad Gastein (AUT),2024-01-16
44,17.60,28.45,JPN,9300905,2002,51,43,KANEMATSU Naoki,"",World Cup Bad Gastein (AUT),2024-01-16
45,"",28.55,CAN,9101030,2001,56,45,CARPENTIER Justin,"",World Cup Bad Gastein (AUT),2024-01-16
46,"",29.13,JPN,9300870,2001,59,46,SHIMIZU Daichi,"",World Cup Bad Gastein (AUT),2024-01-16
47,"",29.48,CZE,9150168,1999,66,47,POCINEK Adam,"",World Cup Bad Gastein (AUT),2024-01-16
48,"",34.23,UKR,9690121,1999,52,48,KHARUK Mykhailo,"",World Cup Bad Gastein (AUT),2024-01-16
49,"","",UKR,9690062,1995,67,"",BELINSKYI Oleksandr,"",World Cup Bad Gastein (AUT),2024-01-16
50,"","",KOR,9320222,2005,65,"",PARK Jisung,"",World Cup Bad Gastein (AUT),2024-01-16
51,"","",AUT,9050316,2005,57,"",PIETSCH Werner,"",World Cup Bad Gastein (AUT),2024-01-16
52,"","",KOR,9320014,1989,39,"",KIM Sangkyum,"",World Cup Bad Gastein (AUT),2024-01-16
53,"","",ITA,1163127,1980,36,"",FISCHNALLER Roland,"",World Cup Bad Gastein (AUT),2024-01-16
