RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Event Name,Date
1,290.00,1:23.80,ITA,9290151,1992,21,1,FELICETTI Mirko,National Championships Funes - Vilnoess (ITA),2024-02-08
2,232.00,1:23.83,ITA,9290200,1994,30,2,BORMOLINI Maurizio,National Championships Funes - Vilnoess (ITA),2024-02-08
3,232.00,1:23.83,ITA,9290227,1995,23,2,BAGOZZA Daniele,National Championships Funes - Vilnoess (ITA),2024-02-08
4,145.00,1:24.10,ITA,1163127,1980,20,4,FISCHNALLER Roland,National Championships Funes - Vilnoess (ITA),2024-02-08
5,130.50,1:24.66,ITA,7538766,1986,17,5,MARCH Aaron,National Championships Funes - Vilnoess (ITA),2024-02-08
6,116.00,1:25.24,GER,9200128,1999,29,6,HUBER Elias,National Championships Funes - Vilnoess (ITA),2024-02-08
7,104.40,1:25.52,GER,9200092,1993,22,7,BAUMEISTER Stefan,National Championships Funes - Vilnoess (ITA),2024-02-08
8,92.80,1:25.53,GER,9200145,2000,18,8,ANGENEND Yannik,National Championships Funes - Vilnoess (ITA),2024-02-08
9,84.10,1:26.42,ITA,9290463,2005,27,9,SANTUARI Mike,National Championships Funes - Vilnoess (ITA),2024-02-08
10,75.40,1:26.52,ITA,9290395,2002,19,10,LANTSCHNER Fabian,National Championships Funes - Vilnoess (ITA),2024-02-08
11,69.60,1:26.53,ITA,9290107,1991,31,11,CORATTI Edwin,National Championships Funes - Vilnoess (ITA),2024-02-08
12,63.80,1:26.79,ITA,9290515,2007,26,12,RABANSER Tommy,National Championships Funes - Vilnoess (ITA),2024-02-08
13,58.00,1:27.34,SUI,9510417,2000,28,13,CASANOVA Gian,National Championships Funes - Vilnoess (ITA),2024-02-08
14,52.20,1:27.47,SUI,9510316,1995,24,14,CAVIEZEL Dario,National Championships Funes - Vilnoess (ITA),2024-02-08
15,46.40,1:27.61,GER,9200158,2001,32,15,PRANTL Ole-Mikkel,National Championships Funes - Vilnoess (ITA),2024-02-08
16,43.50,1:27.67,GER,9200203,2004,39,16,VOJTASEK Samuel,National Championships Funes - Vilnoess (ITA),2024-02-08
17,40.60,1:27.80,GER,9200191,2003,25,17,KUEHNHAUSER Max,National Championships Funes - Vilnoess (ITA),2024-02-08
18,37.70,1:28.39,AUS,9040213,1999,38,18,EDMANSON Harvey,National Championships Funes - Vilnoess (ITA),2024-02-08
19,34.80,1:28.54,LAT,9550007,1983,48,19,KORDE Edijs,National Championships Funes - Vilnoess (ITA),2024-02-08
20,31.90,1:28.66,ITA,1020634,1973,42,20,RABANSER Georg,National Championships Funes - Vilnoess (ITA),2024-02-08
21,29.00,1:28.81,GER,9200176,2002,34,21,TANIGUCHI Kaijo,National Championships Funes - Vilnoess (ITA),2024-02-08
22,26.10,1:29.16,POL,9430169,1999,40,22,RUTKOWSKI Mikolaj,National Championships Funes - Vilnoess (ITA),2024-02-08
23,23.20,1:29.49,ITA,9290497,2006,36,23,HALLER Manuel,National Championships Funes - Vilnoess (ITA),2024-02-08
24,20.30,1:30.00,GER,9200208,2005,35,24,RIEL Benedikt,National Championships Funes - Vilnoess (ITA),2024-02-08
25,17.40,1:30.19,CZE,9150168,1999,37,25,POCINEK Adam,National Championships Funes - Vilnoess (ITA),2024-02-08
26,14.50,1:30.32,ITA,9290330,1999,54,26,CASTELLO Jamie Lee,National Championships Funes - Vilnoess (ITA),2024-02-08
27,13.05,1:30.55,CZE,9150343,2006,44,27,TULACH Ondrej,National Championships Funes - Vilnoess (ITA),2024-02-08
28,11.60,1:31.83,ITA,9290514,2007,51,28,CRAZZOLARA Kevin,National Championships Funes - Vilnoess (ITA),2024-02-08
29,10.44,1:32.11,ITA,9290524,2007,45,29,MUTSCHLECHNER Philipp,National Championships Funes - Vilnoess (ITA),2024-02-08
30,9.28,1:32.13,ITA,9290437,2004,43,30,DA COL Tommaso Felice,National Championships Funes - Vilnoess (ITA),2024-02-08
31,8.12,1:32.22,ITA,9290441,2004,41,31,DORFMANN Simon,National Championships Funes - Vilnoess (ITA),2024-02-08
32,7.54,1:35.68,CZE,9150387,2007,49,32,KLEIN Krystof,National Championships Funes - Vilnoess (ITA),2024-02-08
33,6.96,45.36,GER,9200201,2004,46,33,SOBINGER Tim,National Championships Funes - Vilnoess (ITA),2024-02-08
34,6.38,45.76,ITA,9290530,2007,52,34,DA COL Edoardo Leone,National Championships Funes - Vilnoess (ITA),2024-02-08
35,5.80,48.62,FRA,1580324,1985,62,35,MERMET-GUYENET Julien,National Championships Funes - Vilnoess (ITA),2024-02-08
36,5.71,50.45,ITA,9290547,2008,61,36,POMPANIN Alessandro,National Championships Funes - Vilnoess (ITA),2024-02-08
37,5.63,51.25,ITA,1333459,1961,55,37,FAVA Fabrizio,National Championships Funes - Vilnoess (ITA),2024-02-08
38,5.54,51.98,GER,9200210,2005,53,38,ADLER Felix Nepomuk,National Championships Funes - Vilnoess (ITA),2024-02-08
39,5.45,52.02,POL,9430229,2008,63,39,MIKA Stanislaw,National Championships Funes - Vilnoess (ITA),2024-02-08
40,5.36,53.27,CZE,9150345,2008,50,40,MARES Filip,National Championships Funes - Vilnoess (ITA),2024-02-08
41,5.28,53.37,ITA,9290532,2008,60,41,APOLLONIO Luca,National Championships Funes - Vilnoess (ITA),2024-02-08
42,5.19,53.50,FRA,9190583,1972,58,42,BRUN Jean Christophe,National Championships Funes - Vilnoess (ITA),2024-02-08
43,5.10,53.70,GER,9200234,2008,56,43,SCHWERDT Samuel,National Championships Funes - Vilnoess (ITA),2024-02-08
