RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,140.00,1:15.69,POL,9435104,2006,26,DAWIDEK Weronika,1,Junior Simonhöhe (AUT),2024-01-05
2,112.00,1:16.43,GER,9205104,2006,24,JANSING Salome,2,Junior Simonhöhe (AUT),2024-01-05
3,84.00,1:18.15,POL,9435100,2005,17,ZAPALA Sonia,3,Junior Simonhöhe (AUT),2024-01-05
4,70.00,1:19.02,ITA,9295211,2005,22,RABANSER Sophie,4,Junior Simonhöhe (AUT),2024-01-05
5,63.00,1:18.62,GER,9205112,2008,30,JANSING Zoe,5,Junior Simonhöhe (AUT),2024-01-05
6,56.00,1:19.13,AUT,9055118,2006,18,GAMS Marie,6,Junior Simonhöhe (AUT),2024-01-05
7,50.40,1:19.67,GER,9205097,2005,28,TANIGUCHI Yuna,7,Junior Simonhöhe (AUT),2024-01-05
8,44.80,1:20.18,GER,9205105,2006,27,GUNKEL Hannah,8,Junior Simonhöhe (AUT),2024-01-05
9,40.60,1:19.78,ITA,9295200,2004,21,FACHIN Fabiana,9,Junior Simonhöhe (AUT),2024-01-05
10,36.40,1:20.67,GER,9205103,2006,19,SCHEID Mathilda,10,Junior Simonhöhe (AUT),2024-01-05
11,33.60,1:21.97,ITA,9295224,2006,32,MAMMONE Anna Victoria,11,Junior Simonhöhe (AUT),2024-01-05
12,30.80,1:22.04,POL,9435094,2004,23,KACICZAK Olga,12,Junior Simonhöhe (AUT),2024-01-05
13,28.00,1:24.39,AUT,9055128,2008,42,DABRINGER Franziska,13,Junior Simonhöhe (AUT),2024-01-05
14,25.20,1:25.12,ITA,9295228,2005,20,LAMBER Viktoria,14,Junior Simonhöhe (AUT),2024-01-05
15,22.40,1:25.22,POL,9435098,2004,31,PIWOWARCZYK Natasza,15,Junior Simonhöhe (AUT),2024-01-05
16,21.00,1:25.96,GER,9205106,2007,33,REICHELMEIR Ina,16,Junior Simonhöhe (AUT),2024-01-05
17,19.60,1:27.91,AUT,9055112,2004,29,NEUMANN Lisa,17,Junior Simonhöhe (AUT),2024-01-05
18,18.20,1:29.00,ITA,9295208,2005,40,ZIMMERHOFER Marlis,18,Junior Simonhöhe (AUT),2024-01-05
19,16.80,1:29.82,ITA,9295238,2007,34,FEDERSPIELER Sofia,19,Junior Simonhöhe (AUT),2024-01-05
20,15.40,1:31.75,ITA,9295234,2008,35,CARNEVALI Giorgia,20,Junior Simonhöhe (AUT),2024-01-05
21,14.00,1:32.10,GER,9205100,2005,25,BUCCIONI Aurelia,21,Junior Simonhöhe (AUT),2024-01-05
22,12.60,1:35.03,ITA,9295236,2008,39,CALL Lucy,22,Junior Simonhöhe (AUT),2024-01-05
23,11.20,1:39.30,AUT,9055126,2008,41,ARZBERGER Valentina,23,Junior Simonhöhe (AUT),2024-01-05
24,"",1:41.10,GER,9205107,2007,36,VOJTASEKOVA Simona,24,Junior Simonhöhe (AUT),2024-01-05
25,"",1:48.16,HUN,1249973,2008,37,FARKAS Katalin,25,Junior Simonhöhe (AUT),2024-01-05
26,"","",ITA,9295240,2008,38,DORFMANN Emma,"",Junior Simonhöhe (AUT),2024-01-05
