RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
33,SUI,9515196,2002,34.64,42,HAUSER Ricarda,33,Qualification Pamporovo (BUL),2024-01-20
34,JPN,9305265,1994,35.93,52,KOSHISAKA Ayana,34,Qualification Pamporovo (BUL),2024-01-20
35,SUI,9515154,1997,37.32,33,GASSER Larissa,35,Qualification Pamporovo (BUL),2024-01-20
36,SUI,9515212,2003,39.58,37,BAETSCHI Flurina Neva,36,Qualification Pamporovo (BUL),2024-01-20
37,UKR,1699945,1990,40.36,32,DANCHA Annamari,37,Qualification Pamporovo (BUL),2024-01-20
38,USA,9535569,2003,40.90,19,PFLUM Iris,38,Qualification Pamporovo (BUL),2024-01-20
1,CZE,1159979,1995,1:01.10,34,LEDECKA Ester,1,Qualification Pamporovo (BUL),2024-01-20
2,ITA,9295145,1997,1:01.45,23,DALMASSO Lucia,2,Qualification Pamporovo (BUL),2024-01-20
3,GER,9205058,1996,1:03.24,28,HOFMEISTER Ramona Theresia,3,Qualification Pamporovo (BUL),2024-01-20
4,JPN,9305427,2003,1:03.30,21,MIKI Tsubaki,4,Qualification Pamporovo (BUL),2024-01-20
5,GER,9205050,1994,1:03.70,27,LOCH Cheyenne,5,Qualification Pamporovo (BUL),2024-01-20
6,NED,9405023,1996,1:03.83,24,DEKKER Michelle,6,Qualification Pamporovo (BUL),2024-01-20
7,ITA,9295154,2001,1:03.86,26,CORATTI Jasmin,7,Qualification Pamporovo (BUL),2024-01-20
8,SUI,9515082,1992,1:04.00,31,ZOGG Julie,8,Qualification Pamporovo (BUL),2024-01-20
9,SLO,1569955,1989,1:04.01,17,KOTNIK Gloria,9,Qualification Pamporovo (BUL),2024-01-20
10,CZE,9155072,2003,1:04.18,29,MADEROVA Zuzana,10,Qualification Pamporovo (BUL),2024-01-20
11,AUT,1004920,1973,1:05.70,22,RIEGLER Claudia,11,Qualification Pamporovo (BUL),2024-01-20
12,AUT,9055032,1992,1:05.76,20,SCHOEFFMANN Sabine,12,Qualification Pamporovo (BUL),2024-01-20
13,SUI,9515102,1993,1:05.94,25,JENNY Ladina,13,Qualification Pamporovo (BUL),2024-01-20
14,AUT,9055101,2002,1:06.05,45,WEIS Miriam,14,Qualification Pamporovo (BUL),2024-01-20
15,GER,9205056,1996,1:06.17,30,HOCHREITER Melanie,15,Qualification Pamporovo (BUL),2024-01-20
16,SUI,9515213,2004,1:06.84,47,BAETSCHI Laila Ursina,16,Qualification Pamporovo (BUL),2024-01-20
17,KOR,9325017,1995,1:07.32,35,JEONG Haerim,17,Qualification Pamporovo (BUL),2024-01-20
18,ITA,9295158,2003,1:07.39,50,FAVA Elisa,18,Qualification Pamporovo (BUL),2024-01-20
19,POL,9435104,2006,1:07.44,48,DAWIDEK Weronika,19,Qualification Pamporovo (BUL),2024-01-20
20,SUI,9515236,2007,1:07.94,36,VON SIEBENTHAL Xenia,20,Qualification Pamporovo (BUL),2024-01-20
21,CAN,9105371,2000,1:08.08,38,BUCK Kaylie,21,Qualification Pamporovo (BUL),2024-01-20
22,AUT,9055100,2002,1:08.23,46,PICHELKASTNER Jessica,22,Qualification Pamporovo (BUL),2024-01-20
23,AUS,9045081,1997,1:08.23,39,BONGIORNO Millie,22,Qualification Pamporovo (BUL),2024-01-20
24,UKR,9695036,2003,1:08.26,44,HAPATYN Nadiia,24,Qualification Pamporovo (BUL),2024-01-20
25,AUT,9055093,2001,1:08.27,49,KAINZ Carmen,25,Qualification Pamporovo (BUL),2024-01-20
26,ITA,9295182,2003,1:08.73,53,VALLE Sofia,26,Qualification Pamporovo (BUL),2024-01-20
27,POL,9435070,1999,1:08.74,41,BUKOWSKA-CHYC Maria,27,Qualification Pamporovo (BUL),2024-01-20
28,POL,9435077,2000,1:09.46,43,KWIATKOWSKA Olimpia,28,Qualification Pamporovo (BUL),2024-01-20
29,USA,9535431,1999,1:10.11,51,KIZUKA Kaiya,29,Qualification Pamporovo (BUL),2024-01-20
30,ITA,9295132,1999,1:10.43,18,CAFFONT Elisa,30,Qualification Pamporovo (BUL),2024-01-20
31,ITA,9295200,2004,1:12.71,54,FACHIN Fabiana,31,Qualification Pamporovo (BUL),2024-01-20
32,BUL,1605641,1982,"",40,PENTCHEVA Teodora,32,Qualification Pamporovo (BUL),2024-01-20
