RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,MKD,1568975,1:04.20,1979,20,KACARSKI Aleksandar,1,National Championships Stara Planina (SRB),2024-02-25
2,40.00,CZE,1473042,1:06.47,1980,25,BRUZEK Viktor,2,National Championships Stara Planina (SRB),2024-02-25
3,30.00,GRE,1234963,1:16.72,1994,52,DOUMOS Ioannis,3,National Championships Stara Planina (SRB),2024-02-25
4,25.00,MKD,1569654,1:18.80,1977,17,SIMEONOVSKI Dragan,4,National Championships Stara Planina (SRB),2024-02-25
5,22.50,MKD,1754966,1:19.35,1987,19,DEBALOVSKI Tomas,5,National Championships Stara Planina (SRB),2024-02-25
6,20.00,CZE,1697403,1:27.99,1957,18,PROKOPEC Leos Sen.,6,National Championships Stara Planina (SRB),2024-02-25
7,18.00,GRE,9230001,1:28.06,2005,23,KARAFYLLIAS Drosos,7,National Championships Stara Planina (SRB),2024-02-25
8,16.00,SRB,9310042,1:29.91,2002,21,PESIC Nemanja,8,National Championships Stara Planina (SRB),2024-02-25
9,14.50,MKD,1754995,1:34.60,1989,24,JOVANOVSKI Jovan,9,National Championships Stara Planina (SRB),2024-02-25
10,"",SRB,9310012,"",2000,34,JOVIC Todor,"",National Championships Stara Planina (SRB),2024-02-25
