RowID,FIS Points,Nation,FIS code,Year,Athlete,Rank,Cup Points,Event Name,Date
1,290.00,ITA,9295158,2003,FAVA Elisa,1,100,European Cup Pamporovo (BUL),2024-01-23
2,232.00,UKR,9695023,2001,BODNARUK Vita,2,80,European Cup Pamporovo (BUL),2024-01-23
3,174.00,UKR,9695036,2003,HAPATYN Nadiia,3,60,European Cup Pamporovo (BUL),2024-01-23
4,145.00,UKR,9695046,2005,PAVLIUK Eleonora,4,50,European Cup Pamporovo (BUL),2024-01-23
5,130.50,UKR,1699945,1990,DANCHA Annamari,5,45,European Cup Pamporovo (BUL),2024-01-23
6,116.00,AUS,9045081,1997,BONGIORNO Millie,6,40,European Cup Pamporovo (BUL),2024-01-23
7,104.40,SUI,9515236,2007,VON SIEBENTHAL Xenia,7,36,European Cup Pamporovo (BUL),2024-01-23
8,92.80,BUL,1605641,1982,PENTCHEVA Teodora,8,32,European Cup Pamporovo (BUL),2024-01-23
9,84.10,AUT,9055100,2002,PICHELKASTNER Jessica,9,29,European Cup Pamporovo (BUL),2024-01-23
10,75.40,AUT,9055101,2002,WEIS Miriam,10,26,European Cup Pamporovo (BUL),2024-01-23
11,69.60,ITA,9295182,2003,VALLE Sofia,11,24,European Cup Pamporovo (BUL),2024-01-23
12,63.80,AUT,9055093,2001,KAINZ Carmen,12,22,European Cup Pamporovo (BUL),2024-01-23
13,58.00,AUT,9055107,2003,SCHOEFFMANN Pia,13,20,European Cup Pamporovo (BUL),2024-01-23
14,52.20,ITA,9295200,2004,FACHIN Fabiana,14,18,European Cup Pamporovo (BUL),2024-01-23
15,46.40,SUI,9515213,2004,BAETSCHI Laila Ursina,15,16,European Cup Pamporovo (BUL),2024-01-23
16,43.50,POL,9435100,2005,ZAPALA Sonia,16,15,European Cup Pamporovo (BUL),2024-01-23
17,40.60,UKR,1699984,1997,MALOVANNA Oleksandra,17,14,European Cup Pamporovo (BUL),2024-01-23
18,37.70,POL,9435094,2004,KACICZAK Olga,18,13,European Cup Pamporovo (BUL),2024-01-23
19,34.80,SUI,9515212,2003,BAETSCHI Flurina Neva,19,12,European Cup Pamporovo (BUL),2024-01-23
20,31.90,BUL,9095022,1994,UZUNOVA Zhivka,20,11,European Cup Pamporovo (BUL),2024-01-23
21,29.00,BUL,9095077,2008,GEORGIEVA Aglika,21,10,European Cup Pamporovo (BUL),2024-01-23
22,26.10,BUL,9095059,2005,DIMITROVA Savina,22,9,European Cup Pamporovo (BUL),2024-01-23
23,23.20,POL,9435104,2006,DAWIDEK Weronika,23,8,European Cup Pamporovo (BUL),2024-01-23
24,20.30,SUI,9515196,2002,HAUSER Ricarda,24,7,European Cup Pamporovo (BUL),2024-01-23
25,17.40,UKR,9695053,2008,HORDIICHUK Iryna,25,6,European Cup Pamporovo (BUL),2024-01-23
26,"",POL,9435097,2004,POLTORAK Karolina,26,5,European Cup Pamporovo (BUL),2024-01-23
27,"",BUL,9095067,2006,ANDONOVA Yordanka,27,4,European Cup Pamporovo (BUL),2024-01-23
28,"",BUL,9095076,2007,ZASHOVA Branimira,"","",European Cup Pamporovo (BUL),2024-01-23
