RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,IRI,1663647,1:23.65,1983,23,KALHOR J Hossein,1,FIS Dizin (IRI),2024-03-10
2,40.00,IRI,9260003,1:28.11,1977,16,MOGHDID Rahmatollah,2,FIS Dizin (IRI),2024-03-10
3,30.00,IRI,1264984,1:28.71,1984,11,SEYD Seyed Hossein,3,FIS Dizin (IRI),2024-03-10
4,25.00,IRI,9260023,1:35.76,1981,12,SAVEHDARBANDSARI Mohammad,4,FIS Dizin (IRI),2024-03-10
5,22.50,IRI,9260029,1:41.32,1989,21,JEYRODI Mahdi,5,FIS Dizin (IRI),2024-03-10
6,20.00,IRI,9260138,1:41.75,2002,13,JANI Ilia,6,FIS Dizin (IRI),2024-03-10
7,18.00,IRI,9260059,1:48.54,1990,15,KIASHEMSHAKI Pooria,7,FIS Dizin (IRI),2024-03-10
8,16.00,IRI,9260078,1:50.80,1988,24,KAVIANI Mahdi,8,FIS Dizin (IRI),2024-03-10
9,14.50,IRI,9260159,1:57.05,2004,25,SOLGHANI Amirmahdi,9,FIS Dizin (IRI),2024-03-10
10,13.00,IRI,9260064,2:01.05,1987,20,SAVEHDARBANDSARI Mohammad,10,FIS Dizin (IRI),2024-03-10
11,12.00,IRI,1264992,2:02.09,1970,18,KALHOR Feyzolah,11,FIS Dizin (IRI),2024-03-10
12,11.00,IRI,9260072,2:02.54,1993,22,DARBANDSARI Ali,12,FIS Dizin (IRI),2024-03-10
13,10.00,IRI,9260168,2:30.08,1993,27,SOHRABI Hossein,13,FIS Dizin (IRI),2024-03-10
14,9.00,IRI,9260165,2:48.80,1986,26,ASADKHANI Amir,14,FIS Dizin (IRI),2024-03-10
15,"",IRI,9260152,49.03,2002,14,SOLGHANI Amirhassan,15,FIS Dizin (IRI),2024-03-10
16,"",IRI,9260065,"",1978,17,AZHDARI MOGHADAM nima,"",FIS Dizin (IRI),2024-03-10
17,"",IRI,9260001,"",1986,19,KALHOR Hassan,"",FIS Dizin (IRI),2024-03-10
