RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,160.00,1:07.20,SUI,9515236,2007,25,VON SIEBENTHAL Xenia,1,Junior Götschen (GER),2023-12-10
2,128.00,1:06.83,GER,9205105,2006,21,GUNKEL Hannah,2,Junior Götschen (GER),2023-12-10
3,96.00,1:08.60,SUI,9515213,2004,29,BAETSCHI Laila Ursina,3,Junior Götschen (GER),2023-12-10
4,80.00,1:07.12,UKR,9695046,2005,18,PAVLIUK Eleonora,4,Junior Götschen (GER),2023-12-10
5,72.00,1:07.80,ITA,9295200,2004,34,FACHIN Fabiana,5,Junior Götschen (GER),2023-12-10
6,64.00,1:08.06,CZE,9155107,2005,28,KECLIKOVA Adela,6,Junior Götschen (GER),2023-12-10
7,57.60,1:08.46,JPN,9305461,2004,24,OSHIMA Hinano,7,Junior Götschen (GER),2023-12-10
8,51.20,1:09.24,ITA,9295224,2006,40,MAMMONE Anna Victoria,8,Junior Götschen (GER),2023-12-10
9,46.40,1:07.29,GER,9205103,2006,30,SCHEID Mathilda,9,Junior Götschen (GER),2023-12-10
10,41.60,1:07.35,GER,9205100,2005,33,BUCCIONI Aurelia,10,Junior Götschen (GER),2023-12-10
11,38.40,1:07.54,ITA,9295211,2005,39,RABANSER Sophie,11,Junior Götschen (GER),2023-12-10
12,35.20,1:07.74,AUT,9055118,2006,31,GAMS Marie,12,Junior Götschen (GER),2023-12-10
13,32.00,1:07.98,GER,9205112,2008,43,JANSING Zoe,13,Junior Götschen (GER),2023-12-10
14,28.80,1:09.37,GER,9205106,2007,41,REICHELMEIR Ina,14,Junior Götschen (GER),2023-12-10
15,25.60,1:09.63,UKR,9695053,2008,44,HORDIICHUK Iryna,15,Junior Götschen (GER),2023-12-10
16,24.00,1:10.18,CZE,9155116,2006,37,MARESOVA Emma Maya,16,Junior Götschen (GER),2023-12-10
17,22.40,1:10.20,POL,9435099,2004,22,STOKLOSA Natalia,17,Junior Götschen (GER),2023-12-10
18,20.80,1:10.79,POL,9435094,2004,20,KACICZAK Olga,18,Junior Götschen (GER),2023-12-10
19,19.20,1:12.24,ITA,9295234,2008,47,CARNEVALI Giorgia,19,Junior Götschen (GER),2023-12-10
20,17.60,1:12.52,POL,9435097,2004,23,POLTORAK Karolina,20,Junior Götschen (GER),2023-12-10
21,16.00,1:12.82,CHN,9125092,2004,27,PANG Yu,21,Junior Götschen (GER),2023-12-10
22,14.40,1:12.92,JPN,9305476,2005,32,MAEDA Suzumi,22,Junior Götschen (GER),2023-12-10
23,12.80,1:12.93,CZE,9155137,2007,38,OTIPKOVA Hana,23,Junior Götschen (GER),2023-12-10
24,11.20,1:14.95,CZE,9155110,2006,36,BIEGELOVA Sofie,24,Junior Götschen (GER),2023-12-10
25,9.60,1:14.98,GER,9205097,2005,17,TANIGUCHI Yuna,25,Junior Götschen (GER),2023-12-10
26,8.00,1:15.61,CZE,9155098,2004,35,ZVIRECI Jana,26,Junior Götschen (GER),2023-12-10
27,7.20,1:19.05,POL,9435105,2006,42,MICHURA Klaudia,27,Junior Götschen (GER),2023-12-10
28,"",1:25.52,GER,9205107,2007,45,VOJTASEKOVA Simona,28,Junior Götschen (GER),2023-12-10
29,"",1:49.06,KOR,9325092,2007,46,CHO Sumin,29,Junior Götschen (GER),2023-12-10
30,"","",POL,9435100,2005,26,ZAPALA Sonia,"",Junior Götschen (GER),2023-12-10
31,"","",GER,9205104,2006,19,JANSING Salome,"",Junior Götschen (GER),2023-12-10
