RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,USA,9535431,1:15.82,1999,11,KIZUKA Kaiya,1,100,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
2,128.00,USA,9535668,1:17.52,2006,24,DOMINO Grace,2,80,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
3,96.00,JPN,9305291,1:17.32,1996,12,TOYODA Asa,3,60,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
4,80.00,CAN,9105317,1:17.99,1998,23,VAN GRONINGEN Abby,4,50,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
5,72.00,USA,9535525,1:20.95,2002,16,KIZUKA Mika,5,45,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
6,64.00,USA,9535684,1:23.60,2006,21,KIZUKA Akina,6,40,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
7,57.60,CZE,9155117,1:23.79,2007,27,JECHOVA Linda,7,36,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
8,51.20,USA,9535701,1:27.96,2006,31,WOLKOWINSKY Wesley,8,32,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
9,46.40,USA,9535531,1:17.83,2000,14,BULLIS Alexa,9,29,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
10,41.60,USA,9535557,1:24.46,2002,13,WILSON Sydney,10,26,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
11,38.40,CAN,9105491,1:24.82,2004,19,BETTEZ Anne-Laurie,11,24,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
12,35.20,CAN,9105568,1:24.84,2007,18,SWEENEY Rowan,12,22,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
13,32.00,USA,9535541,1:27.74,2001,15,JONES Cecelia,13,20,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
14,28.80,AUS,9045159,1:28.62,2004,20,BROSE Georgia,14,18,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
15,25.60,AUS,9045127,1:31.66,2003,17,CHAWNER Mia,15,16,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
16,24.00,USA,9535542,1:32.21,2001,22,DARROW Catherine,16,15,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
17,22.40,USA,9535736,1:32.89,2005,28,MAJOR Nicole,17,14,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
18,"",USA,9535758,1:48.05,2006,29,CZUDAY Madison,18,13,"Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
19,"",USA,9535722,"",2007,30,STRUPP Olivia,"","","Nor-Am Cup Holiday Valley Resort, NY (USA)",2024-02-27
