RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,TUR,9520020,2005,19,KELESOGLU omer Faruk,1,FIS Kayseri / Erciyes (TUR),2024-03-17
2,40.00,TUR,9520019,2005,13,YUCEDAL Efe,2,FIS Kayseri / Erciyes (TUR),2024-03-17
3,30.00,TUR,1524991,2000,11,BOYDAK Emre,3,FIS Kayseri / Erciyes (TUR),2024-03-17
4,25.00,TUR,9520011,2002,17,UCANOGLU Uras,4,FIS Kayseri / Erciyes (TUR),2024-03-17
5,22.50,TUR,9520009,2002,21,KOCAK Ugur,5,FIS Kayseri / Erciyes (TUR),2024-03-17
6,20.00,FRA,1580324,1985,14,MERMET-GUYENET Julien,6,FIS Kayseri / Erciyes (TUR),2024-03-17
7,18.00,UZB,1214949,2005,20,MIRZALIEV Elnur,7,FIS Kayseri / Erciyes (TUR),2024-03-17
8,16.00,UZB,1214946,2002,18,SAPARBAEV Aziz,8,FIS Kayseri / Erciyes (TUR),2024-03-17
9,14.50,UZB,1214952,2001,12,KENJEBAEV Timur,9,FIS Kayseri / Erciyes (TUR),2024-03-17
10,13.00,UZB,1214947,2001,16,MIRZALIEV Ruslan,10,FIS Kayseri / Erciyes (TUR),2024-03-17
11,"",UZB,1214951,1998,15,DAUBAEV Otabek,11,FIS Kayseri / Erciyes (TUR),2024-03-17
