RowID,Nation,FIS code,Year,Time,Bib,Athlete,Rank,Event Name,Date
1,KOR,9320091,1995,1:11.96,20,LEE Sangho,1,Qualification Carezza (ITA),2023-12-14
2,ITA,9290107,1991,1:12.04,22,CORATTI Edwin,2,Qualification Carezza (ITA),2023-12-14
3,AUT,1054984,1985,1:12.34,18,KARL Benjamin,3,Qualification Carezza (ITA),2023-12-14
4,SLO,1659088,1984,1:12.38,31,KOSIR Zan,4,Qualification Carezza (ITA),2023-12-14
5,ITA,9290200,1994,1:12.39,21,BORMOLINI Maurizio,5,Qualification Carezza (ITA),2023-12-14
6,AUT,9050217,1996,1:12.73,27,OBMANN Fabian,6,Qualification Carezza (ITA),2023-12-14
7,SUI,9510316,1995,1:13.22,19,CAVIEZEL Dario,7,Qualification Carezza (ITA),2023-12-14
8,ITA,7538766,1986,1:13.31,32,MARCH Aaron,8,Qualification Carezza (ITA),2023-12-14
9,AUT,1093190,1980,1:13.34,29,PROMMEGGER Andreas,9,Qualification Carezza (ITA),2023-12-14
10,AUT,9050238,1997,1:13.38,40,AUNER Arvid,10,Qualification Carezza (ITA),2023-12-14
11,ITA,1163127,1980,1:13.39,28,FISCHNALLER Roland,11,Qualification Carezza (ITA),2023-12-14
12,ITA,9290151,1992,1:13.59,17,FELICETTI Mirko,12,Qualification Carezza (ITA),2023-12-14
13,AUT,9050042,1989,1:13.63,30,PAYER Alexander,13,Qualification Carezza (ITA),2023-12-14
14,POL,9430120,1996,1:13.70,23,KWIATKOWSKI Oskar,14,Qualification Carezza (ITA),2023-12-14
15,KOR,9320014,1989,1:13.97,26,KIM Sangkyum,15,Qualification Carezza (ITA),2023-12-14
16,SUI,9510417,2000,1:13.99,41,CASANOVA Gian,16,Qualification Carezza (ITA),2023-12-14
17,CAN,9100945,2000,1:14.02,44,GAUDET Arnaud,17,Qualification Carezza (ITA),2023-12-14
18,AUT,9050279,2001,1:14.03,48,BURGSTALLER Dominik,18,Qualification Carezza (ITA),2023-12-14
19,GER,9200092,1993,1:14.06,24,BAUMEISTER Stefan,19,Qualification Carezza (ITA),2023-12-14
20,SLO,9560053,1991,1:14.17,25,MASTNAK Tim,20,Qualification Carezza (ITA),2023-12-14
21,CAN,9101129,2002,1:14.47,42,HELDMAN Ben,21,Qualification Carezza (ITA),2023-12-14
22,SLO,7560012,1986,1:14.57,39,MARGUC Rok,22,Qualification Carezza (ITA),2023-12-14
