RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,CZE,1473042,1:10.50,1980,25,BRUZEK Viktor,1,FIS Stara Planina (SRB),2024-02-25
2,40.00,SRB,9310012,1:17.14,2000,34,JOVIC Todor,2,FIS Stara Planina (SRB),2024-02-25
3,30.00,SRB,9310055,1:20.04,1981,33,MIJATOVIC Milan,3,FIS Stara Planina (SRB),2024-02-25
4,25.00,SRB,9310042,1:21.07,2002,21,PESIC Nemanja,4,FIS Stara Planina (SRB),2024-02-25
5,22.50,GRE,1234963,1:21.43,1994,52,DOUMOS Ioannis,5,FIS Stara Planina (SRB),2024-02-25
6,20.00,MKD,1754966,1:22.37,1987,19,DEBALOVSKI Tomas,6,FIS Stara Planina (SRB),2024-02-25
7,18.00,GRE,9230001,1:23.35,2005,23,KARAFYLLIAS Drosos,7,FIS Stara Planina (SRB),2024-02-25
8,16.00,CZE,1697403,1:32.22,1957,18,PROKOPEC Leos Sen.,8,FIS Stara Planina (SRB),2024-02-25
9,"",MKD,1569654,"",1977,17,SIMEONOVSKI Dragan,"",FIS Stara Planina (SRB),2024-02-25
10,"",MKD,1568975,"",1979,20,KACARSKI Aleksandar,"",FIS Stara Planina (SRB),2024-02-25
11,"",MKD,1754995,"",1989,24,JOVANOVSKI Jovan,"",FIS Stara Planina (SRB),2024-02-25
