RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,1000.00,59.53,KOR,9320091,1995,4,1,LEE Sangho,100,World Cup Pamporovo (BUL),2024-01-21
2,800.00,59.81,AUT,1093190,1980,7,2,PROMMEGGER Andreas,80,World Cup Pamporovo (BUL),2024-01-21
3,600.00,59.72,AUT,9050217,1996,6,3,OBMANN Fabian,60,World Cup Pamporovo (BUL),2024-01-21
4,500.00,1:00.65,USA,9531244,2000,16,4,WINTERS Cody,50,World Cup Pamporovo (BUL),2024-01-21
5,450.00,59.10,BUL,1094969,1990,2,5,YANKOV Radoslav,45,World Cup Pamporovo (BUL),2024-01-21
6,400.00,59.71,ITA,9290151,1992,5,6,FELICETTI Mirko,40,World Cup Pamporovo (BUL),2024-01-21
7,360.00,59.92,AUT,1054984,1985,8,7,KARL Benjamin,36,World Cup Pamporovo (BUL),2024-01-21
8,320.00,1:00.29,AUT,9050042,1989,14,8,PAYER Alexander,32,World Cup Pamporovo (BUL),2024-01-21
9,290.00,58.82,AUT,9050238,1997,1,9,AUNER Arvid,29,World Cup Pamporovo (BUL),2024-01-21
10,260.00,59.18,ITA,9290200,1994,3,10,BORMOLINI Maurizio,26,World Cup Pamporovo (BUL),2024-01-21
11,240.00,1:00.04,AUT,9050279,2001,9,11,BURGSTALLER Dominik,24,World Cup Pamporovo (BUL),2024-01-21
12,220.00,1:00.11,ITA,7538766,1986,10,12,MARCH Aaron,22,World Cup Pamporovo (BUL),2024-01-21
13,200.00,1:00.15,AUT,9050196,1995,11,13,JURITZ Aron,20,World Cup Pamporovo (BUL),2024-01-21
14,180.00,1:00.25,CAN,9101129,2002,13,14,HELDMAN Ben,18,World Cup Pamporovo (BUL),2024-01-21
15,180.00,1:00.25,GER,9200092,1993,12,14,BAUMEISTER Stefan,18,World Cup Pamporovo (BUL),2024-01-21
16,150.00,1:00.49,AUT,9050029,1988,15,16,KISLINGER Sebastian,15,World Cup Pamporovo (BUL),2024-01-21
17,140.00,1:00.84,JPN,7300127,1986,44,17,SHIBA Masaki,14,World Cup Pamporovo (BUL),2024-01-21
18,130.00,1:00.90,AUT,9050272,2001,40,18,PINK Matthaeus,13,World Cup Pamporovo (BUL),2024-01-21
19,120.00,1:01.10,BUL,9090161,2005,55,19,GERGYOVSKI Petar,12,World Cup Pamporovo (BUL),2024-01-21
20,120.00,1:01.10,BUL,9090160,2005,50,19,ZAMFIROV Tervel,12,World Cup Pamporovo (BUL),2024-01-21
21,100.00,1:01.15,POL,9430120,1996,35,21,KWIATKOWSKI Oskar,10,World Cup Pamporovo (BUL),2024-01-21
22,90.00,1:01.43,SLO,9560053,1991,33,22,MASTNAK Tim,9,World Cup Pamporovo (BUL),2024-01-21
23,80.00,1:02.16,CAN,9100945,2000,29,23,GAUDET Arnaud,8,World Cup Pamporovo (BUL),2024-01-21
24,70.00,1:02.98,KOR,9320014,1989,42,24,KIM Sangkyum,7,World Cup Pamporovo (BUL),2024-01-21
25,60.00,1:04.31,KOR,9320197,2002,66,25,MA Junho,6,World Cup Pamporovo (BUL),2024-01-21
26,50.00,1:04.73,BUL,9090158,2004,54,26,KRASHNIAK Alexander,5,World Cup Pamporovo (BUL),2024-01-21
27,45.00,1:05.14,CAN,9101030,2001,58,27,CARPENTIER Justin,4,World Cup Pamporovo (BUL),2024-01-21
28,40.00,1:11.20,JPN,9300870,2001,62,28,SHIMIZU Daichi,3,World Cup Pamporovo (BUL),2024-01-21
29,36.00,1:18.47,CAN,9100748,1998,64,29,KILMER-CHOI Richard Riley,2,World Cup Pamporovo (BUL),2024-01-21
30,32.00,"",SLO,1659088,1984,25,30,KOSIR Zan,1,World Cup Pamporovo (BUL),2024-01-21
31,28.00,"",ITA,1163127,1980,34,31,FISCHNALLER Roland,"",World Cup Pamporovo (BUL),2024-01-21
32,26.00,"",GER,9200128,1999,45,32,HUBER Elias,"",World Cup Pamporovo (BUL),2024-01-21
33,24.00,31.16,BUL,9090159,2004,67,33,GEORGIEV Kristian,"",World Cup Pamporovo (BUL),2024-01-21
34,22.00,31.79,AUT,9050316,2005,59,34,PIETSCH Werner,"",World Cup Pamporovo (BUL),2024-01-21
35,20.00,32.16,USA,9531069,1997,63,35,UDOLF Dylan,"",World Cup Pamporovo (BUL),2024-01-21
