RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
33,"",CZE,9150387,2007,86,KLEIN Krystof,"",Junior Haus im Ennstal (AUT),2024-02-03
34,"",ITA,9290463,2005,80,SANTUARI Mike,"",Junior Haus im Ennstal (AUT),2024-02-03
35,"",CZE,9150344,2006,90,SONKA Antonin,"",Junior Haus im Ennstal (AUT),2024-02-03
1,140.00,AUT,9050308,2004,54,TREFFLER Julian,1,Junior Haus im Ennstal (AUT),2024-02-03
2,112.00,ITA,9290515,2007,52,RABANSER Tommy,2,Junior Haus im Ennstal (AUT),2024-02-03
3,84.00,AUT,9050316,2005,51,PIETSCH Werner,3,Junior Haus im Ennstal (AUT),2024-02-03
4,70.00,ITA,9290464,2005,53,ZIMMERHOFER Elias,4,Junior Haus im Ennstal (AUT),2024-02-03
5,63.00,GER,9200208,2005,56,RIEL Benedikt,5,Junior Haus im Ennstal (AUT),2024-02-03
6,56.00,ITA,9290441,2004,57,DORFMANN Simon,6,Junior Haus im Ennstal (AUT),2024-02-03
7,50.40,POL,9430191,2004,58,WILK Michal,7,Junior Haus im Ennstal (AUT),2024-02-03
8,44.80,AUT,9050324,2007,62,GRAVOGL Joachim,8,Junior Haus im Ennstal (AUT),2024-02-03
9,40.60,ITA,9290437,2004,55,DA COL Tommaso Felice,9,Junior Haus im Ennstal (AUT),2024-02-03
10,36.40,ITA,9290497,2006,59,HALLER Manuel,10,Junior Haus im Ennstal (AUT),2024-02-03
11,33.60,GER,9200203,2004,60,VOJTASEK Samuel,11,Junior Haus im Ennstal (AUT),2024-02-03
12,30.80,ITA,9290524,2007,61,MUTSCHLECHNER Philipp,12,Junior Haus im Ennstal (AUT),2024-02-03
13,28.00,GER,9200201,2004,63,SOBINGER Tim,13,Junior Haus im Ennstal (AUT),2024-02-03
14,25.20,AUT,9050318,2006,64,HAMMERSCHMIDT Lion,14,Junior Haus im Ennstal (AUT),2024-02-03
15,22.40,POL,9430193,2004,65,MIKOLAJCZYK Maciej,15,Junior Haus im Ennstal (AUT),2024-02-03
16,21.00,POL,9430208,2006,66,KULPINSKI Anatol,16,Junior Haus im Ennstal (AUT),2024-02-03
17,19.60,GER,9200220,2006,98,RIEDEL Arne,17,Junior Haus im Ennstal (AUT),2024-02-03
18,18.20,CZE,9150345,2008,87,MARES Filip,18,Junior Haus im Ennstal (AUT),2024-02-03
19,16.80,ITA,9290530,2007,88,DA COL Edoardo Leone,19,Junior Haus im Ennstal (AUT),2024-02-03
20,15.40,CZE,9150336,2004,99,KRAUTMAN Christopher Joseph,20,Junior Haus im Ennstal (AUT),2024-02-03
21,14.00,SUI,9510518,2005,93,KATHRINER Arne,21,Junior Haus im Ennstal (AUT),2024-02-03
22,12.60,SUI,9510555,2007,96,MOSCA Nuri,22,Junior Haus im Ennstal (AUT),2024-02-03
23,11.20,AUT,9050320,2007,92,PROELL Linus,23,Junior Haus im Ennstal (AUT),2024-02-03
24,9.80,ITA,9290514,2007,89,CRAZZOLARA Kevin,24,Junior Haus im Ennstal (AUT),2024-02-03
25,8.40,GER,9200210,2005,91,ADLER Felix Nepomuk,25,Junior Haus im Ennstal (AUT),2024-02-03
26,7.00,CZE,9150343,2006,70,TULACH Ondrej,26,Junior Haus im Ennstal (AUT),2024-02-03
27,6.30,SUI,9510546,2006,94,MEISSER Nicola,27,Junior Haus im Ennstal (AUT),2024-02-03
28,"",AUT,9050315,2004,73,PAHEINER Andreas,28,Junior Haus im Ennstal (AUT),2024-02-03
29,"",SUI,9510574,2008,100,SCHIBLI Alec,29,Junior Haus im Ennstal (AUT),2024-02-03
30,"",CZE,9150394,2008,101,DYBAL Marek,"",Junior Haus im Ennstal (AUT),2024-02-03
31,"",GER,9200234,2008,95,SCHWERDT Samuel,"",Junior Haus im Ennstal (AUT),2024-02-03
32,"",CZE,9150395,2008,97,MICHAL Tomas,"",Junior Haus im Ennstal (AUT),2024-02-03
