RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,120.00,56.31,AUT,9050308,2004,127,TREFFLER Julian,1,FIS Senales - Schnals (ITA),2024-03-09
2,96.00,58.12,ITA,1020634,1973,120,RABANSER Georg,2,FIS Senales - Schnals (ITA),2024-03-09
3,72.00,57.05,AUT,9050318,2006,126,HAMMERSCHMIDT Lion,3,FIS Senales - Schnals (ITA),2024-03-09
4,60.00,56.88,ITA,9290330,1999,135,CASTELLO Jamie Lee,4,FIS Senales - Schnals (ITA),2024-03-09
5,54.00,57.67,CZE,9150343,2006,121,TULACH Ondrej,5,FIS Senales - Schnals (ITA),2024-03-09
6,48.00,57.79,GEO,1684990,1985,123,NAZGAIDZE Revaz,6,FIS Senales - Schnals (ITA),2024-03-09
7,43.20,58.69,ITA,9290437,2004,119,DA COL Tommaso Felice,7,FIS Senales - Schnals (ITA),2024-03-09
8,38.40,1:04.16,ITA,9290497,2006,130,HALLER Manuel,8,FIS Senales - Schnals (ITA),2024-03-09
9,34.80,56.86,ITA,9290441,2004,122,DORFMANN Simon,9,FIS Senales - Schnals (ITA),2024-03-09
10,31.20,58.60,AUT,9050324,2007,125,GRAVOGL Joachim,10,FIS Senales - Schnals (ITA),2024-03-09
11,28.80,1:00.05,ITA,9290530,2007,128,DA COL Edoardo Leone,11,FIS Senales - Schnals (ITA),2024-03-09
12,26.40,1:00.30,GER,9200201,2004,118,SOBINGER Tim,12,FIS Senales - Schnals (ITA),2024-03-09
13,24.00,1:03.69,ITA,9290377,2001,140,OCHNER Elias,13,FIS Senales - Schnals (ITA),2024-03-09
14,21.60,1:03.78,GER,9200234,2008,141,SCHWERDT Samuel,14,FIS Senales - Schnals (ITA),2024-03-09
15,19.20,1:03.81,CZE,9150395,2008,136,MICHAL Tomas,15,FIS Senales - Schnals (ITA),2024-03-09
16,18.00,1:08.30,GER,9200220,2006,139,RIEDEL Arne,16,FIS Senales - Schnals (ITA),2024-03-09
17,16.80,1:08.87,CZE,9150336,2004,124,KRAUTMAN Christopher Joseph,17,FIS Senales - Schnals (ITA),2024-03-09
18,15.60,1:10.61,GER,9200210,2005,137,ADLER Felix Nepomuk,18,FIS Senales - Schnals (ITA),2024-03-09
19,14.40,1:11.50,HUN,9240046,2005,134,SZABO Marcell,19,FIS Senales - Schnals (ITA),2024-03-09
20,13.20,1:12.20,ITA,9290515,2007,131,RABANSER Tommy,20,FIS Senales - Schnals (ITA),2024-03-09
21,"",1:12.94,ITA,1333459,1961,138,FAVA Fabrizio,21,FIS Senales - Schnals (ITA),2024-03-09
22,"",1:13.69,CZE,9150344,2006,133,SONKA Antonin,22,FIS Senales - Schnals (ITA),2024-03-09
23,"","",ITA,9290524,2007,129,MUTSCHLECHNER Philipp,"",FIS Senales - Schnals (ITA),2024-03-09
24,"","",AUT,9050315,2004,117,PAHEINER Andreas,"",FIS Senales - Schnals (ITA),2024-03-09
25,"","",ITA,9290514,2007,132,CRAZZOLARA Kevin,"",FIS Senales - Schnals (ITA),2024-03-09
