RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,290.00,SUI,9515082,50.81,1992,27,ZOGG Julie,1,National Championships Samnaun (SUI),2024-04-06
2,232.00,SUI,9515102,51.77,1993,30,JENNY Ladina,2,National Championships Samnaun (SUI),2024-04-06
3,174.00,SUI,9515212,51.78,2003,35,BAETSCHI Flurina Neva,3,National Championships Samnaun (SUI),2024-04-06
4,145.00,SUI,9515236,52.85,2007,26,VON SIEBENTHAL Xenia,4,National Championships Samnaun (SUI),2024-04-06
5,130.50,SUI,9515213,54.80,2004,24,BAETSCHI Laila Ursina,5,National Championships Samnaun (SUI),2024-04-06
6,116.00,SUI,9515196,55.85,2002,23,HAUSER Ricarda,6,National Championships Samnaun (SUI),2024-04-06
7,104.40,POL,9435094,57.08,2004,29,KACICZAK Olga,7,National Championships Samnaun (SUI),2024-04-06
8,92.80,JPN,9305265,57.51,1994,28,KOSHISAKA Ayana,8,National Championships Samnaun (SUI),2024-04-06
9,84.10,CZE,9155116,57.48,2006,25,MARESOVA Emma Maya,9,National Championships Samnaun (SUI),2024-04-06
10,75.40,JPN,9305437,57.57,2003,31,YOGO Sakura,10,National Championships Samnaun (SUI),2024-04-06
11,69.60,POL,9435097,57.99,2004,34,POLTORAK Karolina,11,National Championships Samnaun (SUI),2024-04-06
12,63.80,SUI,9515198,58.60,2002,33,KLEESATTEL Eliane,12,National Championships Samnaun (SUI),2024-04-06
13,58.00,POL,9435099,59.47,2004,36,STOKLOSA Natalia,13,National Championships Samnaun (SUI),2024-04-06
14,52.20,CZE,9155071,1:00.00,2003,32,SONKOVA Klara,14,National Championships Samnaun (SUI),2024-04-06
15,46.40,CZE,9155108,1:03.56,2005,39,KECLIKOVA Barbora,15,National Championships Samnaun (SUI),2024-04-06
16,"",SUI,9515251,1:08.33,2008,40,DE FILIPPO Giada,16,National Championships Samnaun (SUI),2024-04-06
17,"",POL,9435095,"",2004,38,KULA Maria,"",National Championships Samnaun (SUI),2024-04-06
18,"",CZE,9155137,"",2007,37,OTIPKOVA Hana,"",National Championships Samnaun (SUI),2024-04-06
