RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,70.00,UKR,9695046,2005,1,PAVLIUK Eleonora,1,Junior Moninec (CZE),2023-12-22
2,56.00,AUT,9055118,2006,2,GAMS Marie,2,Junior Moninec (CZE),2023-12-22
3,42.00,CZE,9155137,2007,8,OTIPKOVA Hana,3,Junior Moninec (CZE),2023-12-22
4,35.00,CZE,9155116,2006,5,MARESOVA Emma Maya,4,Junior Moninec (CZE),2023-12-22
5,31.50,GER,9205106,2007,10,REICHELMEIR Ina,5,Junior Moninec (CZE),2023-12-22
6,28.00,CZE,9155110,2006,3,BIEGELOVA Sofie,6,Junior Moninec (CZE),2023-12-22
7,25.20,CZE,9155098,2004,6,ZVIRECI Jana,7,Junior Moninec (CZE),2023-12-22
8,22.40,CZE,9155149,2008,11,KOZELSKA Ivana,8,Junior Moninec (CZE),2023-12-22
9,20.30,CZE,9155117,2007,4,JECHOVA Linda,9,Junior Moninec (CZE),2023-12-22
10,18.20,CZE,9155148,2008,12,KOZELSKA Adela,10,Junior Moninec (CZE),2023-12-22
11,16.80,UKR,9695053,2008,9,HORDIICHUK Iryna,11,Junior Moninec (CZE),2023-12-22
12,"",CZE,9155108,2005,7,KECLIKOVA Barbora,12,Junior Moninec (CZE),2023-12-22
