RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,CZE,9150345,54.06,2008,23,MARES Filip,1,Junior Spindleruv Mlyn (CZE),2024-03-16
2,40.00,CZE,9150336,55.72,2004,22,KRAUTMAN Christopher Joseph,2,Junior Spindleruv Mlyn (CZE),2024-03-16
3,30.00,CZE,9150317,55.93,2004,21,KRUPA Adam,3,Junior Spindleruv Mlyn (CZE),2024-03-16
4,25.00,HUN,9240046,1:03.11,2005,27,SZABO Marcell,4,Junior Spindleruv Mlyn (CZE),2024-03-16
5,22.50,POL,9430231,1:04.38,2008,26,KULESZA Antoni,5,Junior Spindleruv Mlyn (CZE),2024-03-16
6,20.00,CZE,9150344,1:06.40,2006,28,SONKA Antonin,6,Junior Spindleruv Mlyn (CZE),2024-03-16
7,18.00,CZE,9150394,1:22.63,2008,25,DYBAL Marek,7,Junior Spindleruv Mlyn (CZE),2024-03-16
8,16.00,CZE,9150316,30.01,2004,24,BIEGEL Benjamin,8,Junior Spindleruv Mlyn (CZE),2024-03-16
