RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,70.00,USA,9535706,88.00,2009,223,DHAWORNVEJ Lily,1,"National Championships Copper Mountain, CO (USA)",2024-04-04
2,56.30,USA,9535716,79.67,2009,238,PERLMUTTER Jessica,2,"National Championships Copper Mountain, CO (USA)",2024-04-04
3,45.00,USA,9535671,73.33,2008,245,PARK Gwyneth,3,"National Championships Copper Mountain, CO (USA)",2024-04-04
4,35.80,ITA,9295214,71.67,2004,229,VERGANI Arianna,4,"National Championships Copper Mountain, CO (USA)",2024-04-04
5,28.20,USA,9535695,43.00,2006,222,MURPHY Kiara,5,"National Championships Copper Mountain, CO (USA)",2024-04-04
6,21.70,USA,9535665,29.00,2008,206,LAHIFF Keira,6,"National Championships Copper Mountain, CO (USA)",2024-04-04
7,16.20,USA,9535694,36.67,2007,217,Weitzel Lily,7,"National Championships Copper Mountain, CO (USA)",2024-04-04
8,11.50,USA,9535715,34.00,2004,219,JONES Olivia,8,"National Championships Copper Mountain, CO (USA)",2024-04-04
9,7.30,AUS,9535661,33.33,2006,243,HAMMERLEIN Freya,9,"National Championships Copper Mountain, CO (USA)",2024-04-04
10,3.50,USA,9535719,30.00,2005,253,WARREN Bella,10,"National Championships Copper Mountain, CO (USA)",2024-04-04
11,0.10,ITA,9295213,21.67,2004,228,VERGANI Alessia,11,"National Championships Copper Mountain, CO (USA)",2024-04-04
12,"",USA,9535779,"",2008,232,HANNA Samantha,"","National Championships Copper Mountain, CO (USA)",2024-04-04
