RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,70.00,BUL,1605641,1:18.14,1982,13,PENTCHEVA Teodora,1,National Championships Bansko (BUL),2024-04-04
2,56.00,BUL,9095070,1:16.40,2006,12,KOTSINOVA Andrea,2,National Championships Bansko (BUL),2024-04-04
3,42.00,BUL,9095077,1:17.47,2008,14,GEORGIEVA Aglika,3,National Championships Bansko (BUL),2024-04-04
4,35.00,BUL,9095022,1:23.48,1994,11,UZUNOVA Zhivka,4,National Championships Bansko (BUL),2024-04-04
5,31.50,BUL,9095082,1:22.85,2008,16,RAYCHEVA Anita,5,National Championships Bansko (BUL),2024-04-04
6,28.00,KOR,9325082,1:24.95,2006,15,JUNG Seo-Yeong,6,National Championships Bansko (BUL),2024-04-04
7,25.20,BUL,9095067,1:25.80,2006,4,ANDONOVA Yordanka,7,National Championships Bansko (BUL),2024-04-04
8,22.40,TUR,9525036,1:28.65,2007,2,ACAR Azra,8,National Championships Bansko (BUL),2024-04-04
9,20.30,UKR,9695051,1:29.43,2006,9,BODNAR Anastasiia,9,National Championships Bansko (BUL),2024-04-04
10,18.20,TUR,9525029,1:29.75,2004,1,OZSOY Nisa,10,National Championships Bansko (BUL),2024-04-04
11,16.80,SRB,9315020,1:33.42,2006,10,DJOGIC Andjela,11,National Championships Bansko (BUL),2024-04-04
12,15.40,MKD,9755002,1:42.46,2006,3,BASHOSKA Eva,12,National Championships Bansko (BUL),2024-04-04
13,14.00,SRB,9315028,1:46.74,2007,5,PESIC Nia,13,National Championships Bansko (BUL),2024-04-04
14,"",MKD,9755006,1:48.71,2006,7,DJAGORA Eva,14,National Championships Bansko (BUL),2024-04-04
15,"",BUL,9095075,"",2007,17,SAVOVA Natali,"",National Championships Bansko (BUL),2024-04-04
16,"",CZE,9155071,"",2003,8,SONKOVA Klara,"",National Championships Bansko (BUL),2024-04-04
17,"",BUL,9095076,"",2007,6,ZASHOVA Branimira,"",National Championships Bansko (BUL),2024-04-04
