RowID,FIS Points,FIS code,Score,Nation,Year,Bib,Rank,Athlete,Event Name,Date
1,50.00,1469958,1:18.11,ROU,1989,14,1,POPESCU Ioana Dana,FIS Kopaonik (SRB),2024-01-18
2,40.00,9315020,1:28.26,SRB,2006,19,2,DJOGIC Andjela,FIS Kopaonik (SRB),2024-01-18
3,30.00,9755002,1:30.76,MKD,2006,15,3,BASHOSKA Eva,FIS Kopaonik (SRB),2024-01-18
4,25.00,9315028,1:35.33,SRB,2007,16,4,PESIC Nia,FIS Kopaonik (SRB),2024-01-18
5,22.50,9315025,1:38.39,SRB,2008,21,5,ACKOVIC Daria,FIS Kopaonik (SRB),2024-01-18
