RowID,FIS Points,Nation,FIS code,Year,Athlete,Rank,Event Name,Date
33,"",KOR,9320274,2008,KIM Chan Oh,33,FIS High1resort (KOR),2024-02-01
34,"",KOR,9320253,1986,JO Jun,"",FIS High1resort (KOR),2024-02-01
35,"",KOR,9320122,1997,CHO Soung-hee,"",FIS High1resort (KOR),2024-02-01
36,"",KOR,9320272,2008,GILL Hyeok Jae,"",FIS High1resort (KOR),2024-02-01
1,220.00,KOR,9320091,1995,LEE Sangho,1,FIS High1resort (KOR),2024-02-01
2,176.00,KOR,9320127,1998,HONG Seung-Yeong,2,FIS High1resort (KOR),2024-02-01
3,132.00,KOR,9320171,2000,KWON Yong-Hwi,3,FIS High1resort (KOR),2024-02-01
4,110.00,KOR,9320129,1998,CHO Wan-Hee,4,FIS High1resort (KOR),2024-02-01
5,99.00,KOR,9320014,1989,KIM Sangkyum,5,FIS High1resort (KOR),2024-02-01
6,88.00,JPN,9301081,2006,TAKEKAWA Shin,6,FIS High1resort (KOR),2024-02-01
7,79.20,JPN,9300905,2002,KANEMATSU Naoki,7,FIS High1resort (KOR),2024-02-01
8,70.40,KOR,9320064,1992,LEE Je Jung,8,FIS High1resort (KOR),2024-02-01
9,63.80,KOR,9320217,2004,KIL Geon Ho,9,FIS High1resort (KOR),2024-02-01
10,57.20,KOR,9320197,2002,MA Junho,10,FIS High1resort (KOR),2024-02-01
11,52.80,JPN,9301037,2005,SUMINAGA Shogo,11,FIS High1resort (KOR),2024-02-01
12,48.40,KOR,9320214,2004,KIM Hyoungbin,12,FIS High1resort (KOR),2024-02-01
13,44.00,KOR,9320237,2006,PARK Jaemin,13,FIS High1resort (KOR),2024-02-01
14,39.60,KOR,9320168,2000,SHIN Gyung-Rok,14,FIS High1resort (KOR),2024-02-01
15,35.20,JPN,9300973,2001,YOGO Ryusho,15,FIS High1resort (KOR),2024-02-01
16,33.00,KOR,9320222,2005,PARK Jisung,16,FIS High1resort (KOR),2024-02-01
17,30.80,KOR,9320223,2005,YUN Chang Ha,17,FIS High1resort (KOR),2024-02-01
18,28.60,KOR,9320140,1978,JEON Byeong-Cheol,18,FIS High1resort (KOR),2024-02-01
19,26.40,KOR,9320160,1999,KIM Kyu-Won,19,FIS High1resort (KOR),2024-02-01
20,24.20,KOR,9320195,2002,LEE Junghoo,20,FIS High1resort (KOR),2024-02-01
21,22.00,KOR,9320257,2008,KIM Minjae,21,FIS High1resort (KOR),2024-02-01
22,19.80,KOR,9320240,2006,KIM Ji Eon,22,FIS High1resort (KOR),2024-02-01
23,17.60,KOR,9320225,2005,LEE Jae Geon,23,FIS High1resort (KOR),2024-02-01
24,15.40,KOR,9320243,2006,LEE Jeong-Gil,24,FIS High1resort (KOR),2024-02-01
25,13.20,KOR,9320267,2008,LEE Hyunseok,25,FIS High1resort (KOR),2024-02-01
26,11.00,KOR,9320207,2002,YONG Gi-Beom,26,FIS High1resort (KOR),2024-02-01
27,9.90,JPN,9301164,2008,WAKAMATSU Ryunosuke,27,FIS High1resort (KOR),2024-02-01
28,8.80,KOR,9320246,2006,KIM Sangyun,28,FIS High1resort (KOR),2024-02-01
29,7.92,KOR,9320256,2006,LEE Aaron,29,FIS High1resort (KOR),2024-02-01
30,7.04,KOR,9320239,2006,PAK Han Beom,30,FIS High1resort (KOR),2024-02-01
31,"",KOR,9320263,2008,CHOI Jiho,31,FIS High1resort (KOR),2024-02-01
32,"",KOR,9320255,2007,KIM Minseong,32,FIS High1resort (KOR),2024-02-01
