RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,180.00,50.28,ITA,9290463,2005,20,SANTUARI Mike,1,100,European Cup Lenzerheide (SUI),2024-03-09
2,144.00,49.91,GER,9200191,2003,26,KUEHNHAUSER Max,2,80,European Cup Lenzerheide (SUI),2024-03-09
3,108.00,49.72,KOR,9320197,2002,18,MA Junho,3,60,European Cup Lenzerheide (SUI),2024-03-09
4,90.00,50.75,LAT,9550007,1983,31,KORDE Edijs,4,50,European Cup Lenzerheide (SUI),2024-03-09
5,81.00,49.25,UKR,9690121,1999,19,KHARUK Mykhailo,5,45,European Cup Lenzerheide (SUI),2024-03-09
6,72.00,49.34,GER,9200203,2004,25,VOJTASEK Samuel,6,40,European Cup Lenzerheide (SUI),2024-03-09
7,64.80,49.86,AUT,9050316,2005,17,PIETSCH Werner,7,36,European Cup Lenzerheide (SUI),2024-03-09
8,57.60,49.98,ITA,9290395,2002,24,LANTSCHNER Fabian,8,32,European Cup Lenzerheide (SUI),2024-03-09
9,52.20,51.31,GER,9200208,2005,23,RIEL Benedikt,9,29,European Cup Lenzerheide (SUI),2024-03-09
10,46.80,51.81,POL,9430169,1999,28,RUTKOWSKI Mikolaj,10,26,European Cup Lenzerheide (SUI),2024-03-09
11,43.20,52.00,UKR,9690174,2005,30,KABALIUK Mykhailo,11,24,European Cup Lenzerheide (SUI),2024-03-09
12,39.60,52.08,USA,9530791,1994,36,ROSENCRANZ Ryan,12,22,European Cup Lenzerheide (SUI),2024-03-09
13,36.00,52.14,UKR,9690183,2007,35,BAZHAN Sviatoslav,13,20,European Cup Lenzerheide (SUI),2024-03-09
14,32.40,52.47,POL,9430012,1987,29,GASIENICA-DANIEL Andrzej,14,18,European Cup Lenzerheide (SUI),2024-03-09
15,28.80,53.16,UKR,9690180,2006,33,POPADYCH Oleksandr,15,16,European Cup Lenzerheide (SUI),2024-03-09
16,27.00,53.27,UKR,9690132,1993,32,HACHAK Stanislav,16,15,European Cup Lenzerheide (SUI),2024-03-09
17,25.20,54.12,USA,9530046,1988,37,BOTERO Emilio,17,14,European Cup Lenzerheide (SUI),2024-03-09
18,23.40,54.78,ITA,9290464,2005,22,ZIMMERHOFER Elias,18,13,European Cup Lenzerheide (SUI),2024-03-09
19,21.60,56.01,SUI,9510555,2007,39,MOSCA Nuri,19,12,European Cup Lenzerheide (SUI),2024-03-09
20,19.80,56.39,SUI,9510546,2006,38,MEISSER Nicola,20,11,European Cup Lenzerheide (SUI),2024-03-09
21,18.00,56.44,UKR,9690175,2005,34,BILOUS Nestor,21,10,European Cup Lenzerheide (SUI),2024-03-09
22,16.20,58.55,SUI,9510518,2005,40,KATHRINER Arne,22,9,European Cup Lenzerheide (SUI),2024-03-09
23,14.40,59.60,SUI,9510576,2008,43,BACCHI Gino,23,8,European Cup Lenzerheide (SUI),2024-03-09
24,12.60,1:00.26,SUI,9510574,2008,41,SCHIBLI Alec,24,7,European Cup Lenzerheide (SUI),2024-03-09
25,10.80,23.12,CZE,9150333,2006,21,MINARIK Krystof,25,6,European Cup Lenzerheide (SUI),2024-03-09
26,"",23.34,GER,9200176,2002,27,TANIGUCHI Kaijo,26,5,European Cup Lenzerheide (SUI),2024-03-09
27,"",30.73,SUI,9510572,2008,42,THURNHEER Leon,27,4,European Cup Lenzerheide (SUI),2024-03-09
