RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,MKD,1568975,1:17.82,1979,20,KACARSKI Aleksandar,1,FIS Stara Planina (SRB),2024-02-24
2,40.00,CZE,1473042,1:20.51,1980,25,BRUZEK Viktor,2,FIS Stara Planina (SRB),2024-02-24
3,30.00,GRE,1234963,1:21.52,1994,22,DOUMOS Ioannis,3,FIS Stara Planina (SRB),2024-02-24
4,25.00,MKD,1569654,1:29.57,1977,17,SIMEONOVSKI Dragan,4,FIS Stara Planina (SRB),2024-02-24
5,22.50,SRB,9310055,1:34.83,1981,33,MIJATOVIC Milan,5,FIS Stara Planina (SRB),2024-02-24
6,20.00,SRB,9310042,1:38.96,2002,21,PESIC Nemanja,6,FIS Stara Planina (SRB),2024-02-24
7,18.00,GRE,9230001,1:41.07,2005,23,KARAFYLLIAS Drosos,7,FIS Stara Planina (SRB),2024-02-24
8,16.00,CZE,1697403,1:46.98,1957,18,PROKOPEC Leos Sen.,8,FIS Stara Planina (SRB),2024-02-24
9,14.50,MKD,1754995,1:50.29,1989,24,JOVANOVSKI Jovan,9,FIS Stara Planina (SRB),2024-02-24
10,"",MKD,1754966,"",1987,19,DEBALOVSKI Tomas,"",FIS Stara Planina (SRB),2024-02-24
