RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,360.00,51.70,AUT,9050238,1997,25,1,AUNER Arvid,100,European Cup Götschen (GER),2023-12-08
2,288.00,51.16,AUT,9050279,2001,22,2,BURGSTALLER Dominik,80,European Cup Götschen (GER),2023-12-08
3,216.00,52.51,AUT,9050297,2003,23,3,KARNER Christoph,60,European Cup Götschen (GER),2023-12-08
4,180.00,52.38,GER,9200158,2001,31,4,PRANTL Ole-Mikkel,50,European Cup Götschen (GER),2023-12-08
5,180.00,52.38,CAN,9101129,2002,20,4,HELDMAN Ben,50,European Cup Götschen (GER),2023-12-08
6,144.00,52.45,AUT,9050042,1989,17,6,PAYER Alexander,40,European Cup Götschen (GER),2023-12-08
7,129.60,52.73,CAN,9100945,2000,28,7,GAUDET Arnaud,36,European Cup Götschen (GER),2023-12-08
8,115.20,52.92,GER,9200128,1999,32,8,HUBER Elias,32,European Cup Götschen (GER),2023-12-08
9,104.40,53.00,JPN,7300127,1986,21,9,SHIBA Masaki,29,European Cup Götschen (GER),2023-12-08
10,93.60,53.14,JPN,9300856,2001,44,10,SHINOHARA Ryusuke,26,European Cup Götschen (GER),2023-12-08
11,86.40,53.38,ITA,9290395,2002,18,11,LANTSCHNER Fabian,24,European Cup Götschen (GER),2023-12-08
12,79.20,53.57,ITA,9290464,2005,48,12,ZIMMERHOFER Elias,22,European Cup Götschen (GER),2023-12-08
13,72.00,53.86,CAN,9100940,2000,33,13,BEHAN Jamie,20,European Cup Götschen (GER),2023-12-08
14,64.80,53.92,UKR,9690121,1999,27,14,KHARUK Mykhailo,18,European Cup Götschen (GER),2023-12-08
15,57.60,53.94,GER,9200145,2000,30,15,ANGENEND Yannik,16,European Cup Götschen (GER),2023-12-08
16,54.00,54.16,CHN,1124993,2002,39,16,BAN Xuefu,15,European Cup Götschen (GER),2023-12-08
17,50.40,54.24,KOR,9320197,2002,46,17,MA Junho,14,European Cup Götschen (GER),2023-12-08
18,46.80,54.54,GER,9200203,2004,61,18,VOJTASEK Samuel,13,European Cup Götschen (GER),2023-12-08
19,43.20,54.61,JPN,9300870,2001,40,19,SHIMIZU Daichi,12,European Cup Götschen (GER),2023-12-08
20,39.60,54.65,LAT,9550007,1983,74,20,KORDE Edijs,11,European Cup Götschen (GER),2023-12-08
21,36.00,54.66,CZE,9150333,2006,54,21,MINARIK Krystof,10,European Cup Götschen (GER),2023-12-08
22,32.40,54.73,USA,9531069,1997,41,22,UDOLF Dylan,9,European Cup Götschen (GER),2023-12-08
23,28.80,54.84,JPN,9301037,2005,47,23,SUMINAGA Shogo,8,European Cup Götschen (GER),2023-12-08
24,25.20,55.18,AUT,9050308,2004,62,24,TREFFLER Julian,7,European Cup Götschen (GER),2023-12-08
25,21.60,55.27,CAN,9100748,1998,43,25,KILMER-CHOI Richard Riley,6,European Cup Götschen (GER),2023-12-08
26,18.00,55.49,POL,9430208,2006,73,26,KULPINSKI Anatol,5,European Cup Götschen (GER),2023-12-08
27,16.20,55.77,AUT,9050272,2001,29,27,PINK Matthaeus,4,European Cup Götschen (GER),2023-12-08
28,14.40,56.71,AUT,9050316,2005,37,28,PIETSCH Werner,3,European Cup Götschen (GER),2023-12-08
29,12.96,1:01.47,ITA,9290497,2006,56,29,HALLER Manuel,2,European Cup Götschen (GER),2023-12-08
30,11.52,26.33,KOR,9320127,1998,26,30,HONG Seung-Yeong,1,European Cup Götschen (GER),2023-12-08
31,10.08,27.10,GER,9200176,2002,49,31,TANIGUCHI Kaijo,"",European Cup Götschen (GER),2023-12-08
32,9.36,27.27,CAN,9101030,2001,36,32,CARPENTIER Justin,"",European Cup Götschen (GER),2023-12-08
33,8.64,27.29,CZE,9150168,1999,52,33,POCINEK Adam,"",European Cup Götschen (GER),2023-12-08
34,8.64,27.29,ITA,9290463,2005,38,33,SANTUARI Mike,"",European Cup Götschen (GER),2023-12-08
35,8.64,27.29,CAN,9100939,2000,34,33,NAZWASKI Michael,"",European Cup Götschen (GER),2023-12-08
36,7.09,27.47,JPN,9300905,2002,24,36,KANEMATSU Naoki,"",European Cup Götschen (GER),2023-12-08
37,6.98,27.50,POL,9430012,1987,42,37,GASIENICA-DANIEL Andrzej,"",European Cup Götschen (GER),2023-12-08
38,6.88,27.54,ITA,9290515,2007,51,38,RABANSER Tommy,"",European Cup Götschen (GER),2023-12-08
39,6.77,27.59,ITA,9290437,2004,68,39,DA COL Tommaso Felice,"",European Cup Götschen (GER),2023-12-08
40,6.66,27.64,GER,9200191,2003,35,40,KUEHNHAUSER Max,"",European Cup Götschen (GER),2023-12-08
41,6.55,27.71,AUT,9050318,2006,57,41,HAMMERSCHMIDT Lion,"",European Cup Götschen (GER),2023-12-08
42,6.44,27.76,CHN,1124990,2001,89,42,DING Xuedong,"",European Cup Götschen (GER),2023-12-08
43,6.34,27.83,GER,9200208,2005,69,43,RIEL Benedikt,"",European Cup Götschen (GER),2023-12-08
44,6.23,27.84,AUS,9040213,1999,77,44,EDMANSON Harvey,"",European Cup Götschen (GER),2023-12-08
45,6.12,27.90,AUT,9050324,2007,63,45,GRAVOGL Joachim,"",European Cup Götschen (GER),2023-12-08
46,6.01,27.98,CZE,9150343,2006,70,46,TULACH Ondrej,"",European Cup Götschen (GER),2023-12-08
47,5.90,28.19,GEO,1684990,1985,76,47,NAZGAIDZE Revaz,"",European Cup Götschen (GER),2023-12-08
48,5.80,28.23,ITA,9290441,2004,67,48,DORFMANN Simon,"",European Cup Götschen (GER),2023-12-08
49,5.69,28.34,UKR,9690062,1995,58,49,BELINSKYI Oleksandr,"",European Cup Götschen (GER),2023-12-08
50,5.58,28.41,ITA,1020634,1973,65,50,RABANSER Georg,"",European Cup Götschen (GER),2023-12-08
51,5.47,28.45,UKR,9690140,2001,53,51,KABALIUK Andrii,"",European Cup Götschen (GER),2023-12-08
52,5.36,28.49,JPN,9300973,2001,50,52,YOGO Ryusho,"",European Cup Götschen (GER),2023-12-08
53,5.26,28.57,ITA,9290514,2007,78,53,CRAZZOLARA Kevin,"",European Cup Götschen (GER),2023-12-08
54,5.15,28.60,USA,9530791,1994,45,54,ROSENCRANZ Ryan,"",European Cup Götschen (GER),2023-12-08
55,5.04,28.87,CZE,9150317,2004,71,55,KRUPA Adam,"",European Cup Götschen (GER),2023-12-08
56,4.93,28.96,POL,9430193,2004,64,56,MIKOLAJCZYK Maciej,"",European Cup Götschen (GER),2023-12-08
57,4.82,29.01,CZE,9150213,1981,60,57,URBAN Ales,"",European Cup Götschen (GER),2023-12-08
58,4.72,29.29,POL,9430191,2004,83,58,WILK Michal,"",European Cup Götschen (GER),2023-12-08
59,4.61,29.72,SUI,9510546,2006,86,59,MEISSER Nicola,"",European Cup Götschen (GER),2023-12-08
60,4.50,30.06,GER,9200234,2008,92,60,SCHWERDT Samuel,"",European Cup Götschen (GER),2023-12-08
61,4.39,30.17,CZE,1473042,1980,59,61,BRUZEK Viktor,"",European Cup Götschen (GER),2023-12-08
62,4.28,30.54,ITA,9290530,2007,79,62,DA COL Edoardo Leone,"",European Cup Götschen (GER),2023-12-08
63,4.18,30.60,SUI,9510555,2007,88,63,MOSCA Nuri,"",European Cup Götschen (GER),2023-12-08
64,4.07,30.89,SUI,9510518,2005,85,64,KATHRINER Arne,"",European Cup Götschen (GER),2023-12-08
65,3.96,31.06,GER,9200210,2005,84,65,ADLER Felix Nepomuk,"",European Cup Götschen (GER),2023-12-08
66,"",31.07,GER,9200220,2006,87,66,RIEDEL Arne,"",European Cup Götschen (GER),2023-12-08
67,"",31.80,KOR,9320243,2006,66,67,LEE Jeong-Gil,"",European Cup Götschen (GER),2023-12-08
68,"",32.01,CZE,9150395,2008,93,68,MICHAL Tomas,"",European Cup Götschen (GER),2023-12-08
69,"",33.52,POL,9430169,1999,55,69,RUTKOWSKI Mikolaj,"",European Cup Götschen (GER),2023-12-08
70,"",35.50,CZE,9150344,2006,80,70,SONKA Antonin,"",European Cup Götschen (GER),2023-12-08
71,"",37.93,CZE,9150345,2008,90,71,MARES Filip,"",European Cup Götschen (GER),2023-12-08
72,"",39.94,CZE,9150316,2004,75,72,BIEGEL Benjamin,"",European Cup Götschen (GER),2023-12-08
73,"","",ITA,9290532,2008,91,"",APOLLONIO Luca,"",European Cup Götschen (GER),2023-12-08
74,"","",HUN,9240046,2005,82,"",SZABO Marcell,"",European Cup Götschen (GER),2023-12-08
75,"","",POL,9430207,2006,81,"",SLEDZ Stanislaw,"",European Cup Götschen (GER),2023-12-08
76,"","",GER,9200201,2004,72,"",SOBINGER Tim,"",European Cup Götschen (GER),2023-12-08
77,"","",SLO,7560012,1986,19,"",MARGUC Rok,"",European Cup Götschen (GER),2023-12-08
