RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,70.00,GRE,1234963,1:17.61,1994,13,DOUMOS Ioannis,1,FIS Kopaonik (SRB),2024-03-19
2,56.00,ROU,1653462,1:17.93,1976,16,MORTILA ZAHARESCU Toma-Andrei,2,FIS Kopaonik (SRB),2024-03-19
3,42.00,IND,1624963,1:25.23,1997,18,KHAN Mehraj Ud Din,3,FIS Kopaonik (SRB),2024-03-19
4,35.00,SRB,9310055,1:27.21,1981,11,MIJATOVIC Milan,4,FIS Kopaonik (SRB),2024-03-19
5,31.50,GRE,9230001,1:27.38,2005,14,KARAFYLLIAS Drosos,5,FIS Kopaonik (SRB),2024-03-19
6,28.00,ROU,1653656,1:28.35,1973,15,TEODORESCU Adrian,6,FIS Kopaonik (SRB),2024-03-19
7,"",MKD,1568975,"",1979,12,KACARSKI Aleksandar,"",FIS Kopaonik (SRB),2024-03-19
8,"",SRB,9310061,"",2007,21,BORIC Luka,"",FIS Kopaonik (SRB),2024-03-19
9,"",SRB,9310060,"",2004,20,MILOVANOVIC David,"",FIS Kopaonik (SRB),2024-03-19
10,"",SRB,9310054,"",2008,19,GUKIC Janko,"",FIS Kopaonik (SRB),2024-03-19
11,"",MEX,1544938,"",1990,17,ADUNA CASTILLO Josue,"",FIS Kopaonik (SRB),2024-03-19
