RowID,FIS Points,Nation,FIS code,Year,Bib,Rank,Athlete,Event Name,Date
1,20.00,SRB,9310050,2009,60,1,PESIC Jug,FIS Kopaonik (SRB),2024-01-20
2,15.30,SRB,9310013,2002,53,2,EDELMAN Stefan Vladislav,FIS Kopaonik (SRB),2024-01-20
3,11.40,MKD,1754997,2009,97,3,RISTEVSKI Evgeni,FIS Kopaonik (SRB),2024-01-20
4,8.00,SRB,9310051,2009,59,4,PESIC Ilija,FIS Kopaonik (SRB),2024-01-20
5,5.00,SRB,9310042,2002,57,5,PESIC Nemanja,FIS Kopaonik (SRB),2024-01-20
6,2.40,MKD,1754996,2009,56,6,SAZDOVSKI Slobodan,FIS Kopaonik (SRB),2024-01-20
7,0.10,MKD,1754979,1998,54,7,STOJCHEVSKI Hristijan,FIS Kopaonik (SRB),2024-01-20
