RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,TUR,9525030,2004,5,GULER Selin Gulce,1,FIS Kayseri / Erciyes (TUR),2024-03-18
2,40.00,TUR,9525031,2005,1,OZSOY Miray,2,FIS Kayseri / Erciyes (TUR),2024-03-18
3,30.00,TUR,9525021,2001,9,GEZER Irem,3,FIS Kayseri / Erciyes (TUR),2024-03-18
4,25.00,TUR,9525035,2006,2,SENGUL Nesibe Yagmur,4,FIS Kayseri / Erciyes (TUR),2024-03-18
5,22.50,TUR,9525026,2002,3,BAYHAN Nursu Zisan,5,FIS Kayseri / Erciyes (TUR),2024-03-18
6,20.00,TUR,9525036,2007,6,ACAR Azra,6,FIS Kayseri / Erciyes (TUR),2024-03-18
7,18.00,UZB,1219972,2000,8,DJUBAYEVA Dinara,7,FIS Kayseri / Erciyes (TUR),2024-03-18
8,16.00,LBN,1349950,1985,7,EL HAGE Marwa,8,FIS Kayseri / Erciyes (TUR),2024-03-18
9,14.50,TUR,9525029,2004,4,OZSOY Nisa,9,FIS Kayseri / Erciyes (TUR),2024-03-18
