RowID,Nation Year,Nation,FIS code,Order,Year,Bib,Name,Event Name,Date
70,"","",9101068,14,CAN,11,CANADA 2,FIS Junior World Championships Lachtal (AUT),2024-03-24
71,2005,"",9101355,"","",11-1,FREEMAN Luis,FIS Junior World Championships Lachtal (AUT),2024-03-24
72,2004,"",9105491,"","",11-2,BETTEZ Anne-Laurie,FIS Junior World Championships Lachtal (AUT),2024-03-24
73,"","",9690145,14,UKR,22,UKRAINE 2,FIS Junior World Championships Lachtal (AUT),2024-03-24
74,2005,"",9690175,"","",22-1,BILOUS Nestor,FIS Junior World Championships Lachtal (AUT),2024-03-24
75,2008,"",9695053,"","",22-2,HORDIICHUK Iryna,FIS Junior World Championships Lachtal (AUT),2024-03-24
76,"","",9090136,15,BUL,14,BULGARIA 2,FIS Junior World Championships Lachtal (AUT),2024-03-24
77,2005,"",9090160,"","",14-1,ZAMFIROV Tervel,FIS Junior World Championships Lachtal (AUT),2024-03-24
78,2006,"",9095070,"","",14-2,KOTSINOVA Andrea,FIS Junior World Championships Lachtal (AUT),2024-03-24
79,"","",9535481,15,USA,19,UNITED STATES OF AMERICA 2,FIS Junior World Championships Lachtal (AUT),2024-03-24
80,2006,"",9531727,"","",19-1,SMITH Michael,FIS Junior World Championships Lachtal (AUT),2024-03-24
81,2006,"",9535684,"","",19-2,KIZUKA Akina,FIS Junior World Championships Lachtal (AUT),2024-03-24
82,"","",9200153,16,GER,3,GERMANY 1,FIS Junior World Championships Lachtal (AUT),2024-03-24
83,2005,"",9200208,"","",3-1,RIEL Benedikt,FIS Junior World Championships Lachtal (AUT),2024-03-24
84,2006,"",9205104,"","",3-2,JANSING Salome,FIS Junior World Championships Lachtal (AUT),2024-03-24
