RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,IRI,1663647,1:02.59,1983,15,KALHOR J Hossein,1,FIS Dizin (IRI),2024-02-20
2,40.00,IRI,1264984,1:03.58,1984,20,SEYD Seyed Hossein,2,FIS Dizin (IRI),2024-02-20
3,30.00,IRI,9260029,1:05.63,1989,19,JEYRODI Mahdi,3,FIS Dizin (IRI),2024-02-20
4,25.00,IRI,9260003,1:06.17,1977,23,MOGHDID Rahmatollah,4,FIS Dizin (IRI),2024-02-20
5,22.50,IRI,9260152,1:07.30,2002,21,SOLGHANI Amirhassan,5,FIS Dizin (IRI),2024-02-20
6,20.00,IRI,9260138,1:08.69,2002,12,JANI Ilia,6,FIS Dizin (IRI),2024-02-20
7,18.00,IRI,9260023,1:12.14,1981,16,SAVEHDARBANDSARI Mohammad,7,FIS Dizin (IRI),2024-02-20
8,16.00,IRI,9260059,1:13.98,1990,14,KIASHEMSHAKI Pooria,8,FIS Dizin (IRI),2024-02-20
9,14.50,IRI,9260065,1:13.99,1978,13,AZHDARI MOGHADAM nima,9,FIS Dizin (IRI),2024-02-20
10,13.00,IRI,9260078,1:15.58,1988,18,KAVIANI Mahdi,10,FIS Dizin (IRI),2024-02-20
11,12.00,IRI,9260159,1:16.85,2004,22,SOLGHANI Amirmahdi,11,FIS Dizin (IRI),2024-02-20
12,11.00,IRI,9260072,1:23.63,1993,25,DARBANDSARI Ali,12,FIS Dizin (IRI),2024-02-20
13,10.00,IRI,9260064,1:25.59,1987,11,SAVEHDARBANDSARI Mohammad,13,FIS Dizin (IRI),2024-02-20
14,9.00,IRI,1264992,1:25.70,1970,17,KALHOR Feyzolah,14,FIS Dizin (IRI),2024-02-20
15,"",IRI,9260167,2:01.91,2004,24,PARSIAVASH Mani,15,FIS Dizin (IRI),2024-02-20
