RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,100.00,USA,9531730,2006,156,CARR Taggert,1,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
2,80.00,USA,9531727,2006,152,SMITH Michael,2,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
3,60.00,USA,9531136,1990,165,BURNS Robert,3,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
4,50.00,JPN,9301035,2004,159,SUGIMOTO Shikoh,4,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
5,45.00,USA,9531571,2004,149,PIERCE Nicholas,5,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
6,40.00,GBR,9220173,2006,161,CARPENTER Samuel,6,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
7,36.00,USA,7537128,1987,148,MACCUTCHEON Steven,7,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
8,32.00,JPN,9301078,2006,150,YAMADA Rion,8,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
9,29.00,CAN,9101366,2006,174,HELDMAN Matthew,9,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
10,26.00,USA,9531068,1972,158,MCEWAN Everett,10,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
11,24.00,USA,9531835,2007,163,DEVITO Nathan,11,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
12,22.00,GBR,9220145,2002,177,CARPENTER Benjamin,12,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
13,20.00,IND,1624962,1997,162,AHMAD LONE Zubair,13,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
14,18.00,USA,9531492,2003,164,MCALLISTER Owen,14,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
15,16.00,USA,9532016,1977,168,LOCKWOOD Bill,15,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
16,15.00,USA,9531967,2008,167,DIBELER Zachary,16,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
17,14.00,USA,9531675,1981,178,BEKIROGLU Burak,17,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
18,"",USA,9531945,2008,170,DEVITO Landon,18,FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
19,"",USA,9531573,2006,153,OVERSTAKE Walker,"",FIS Steamboat Ski and Resort / Howelsen Hill (USA),2024-01-10
