RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,70.00,JPN,9301035,56.21,2004,34,SUGIMOTO Shikoh,1,FIS Horseshoe Resort (CAN),2024-01-27
2,56.00,CAN,9101490,1:01.78,2008,42,HUNE Luke,2,FIS Horseshoe Resort (CAN),2024-01-27
3,42.00,CAN,9101355,58.16,2005,39,FREEMAN Luis,3,FIS Horseshoe Resort (CAN),2024-01-27
4,35.00,JPN,9301087,56.85,2005,40,SEINO Yoshiki,4,FIS Horseshoe Resort (CAN),2024-01-27
5,31.50,CAN,9101119,57.84,2002,35,FARBER Jacob,5,FIS Horseshoe Resort (CAN),2024-01-27
6,28.00,JPN,9300994,1:00.99,2003,36,SAEKI Reishi,6,FIS Horseshoe Resort (CAN),2024-01-27
7,25.20,CAN,9101366,1:02.08,2006,38,HELDMAN Matthew,7,FIS Horseshoe Resort (CAN),2024-01-27
8,22.40,JPN,9301135,1:02.37,2007,32,OKUDA Rento,8,FIS Horseshoe Resort (CAN),2024-01-27
9,20.30,CAN,9101297,1:02.24,2004,31,WOOD Gabriel,9,FIS Horseshoe Resort (CAN),2024-01-27
10,18.20,CAN,9101491,1:03.96,2008,41,THOMSON Cole,10,FIS Horseshoe Resort (CAN),2024-01-27
11,16.80,CAN,9101331,1:05.05,2005,33,HOWDEN William,11,FIS Horseshoe Resort (CAN),2024-01-27
12,15.40,JPN,9300979,1:12.71,2002,37,YAMADA Daigo,12,FIS Horseshoe Resort (CAN),2024-01-27
13,"",CAN,9101503,1:15.81,2007,43,WOOD Finlay,13,FIS Horseshoe Resort (CAN),2024-01-27
