RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,100.00,ITA,9290497,2006,33,HALLER Manuel,1,FIS Gosau (AUT),2024-01-13
2,80.00,ITA,9290515,2007,26,RABANSER Tommy,2,FIS Gosau (AUT),2024-01-13
3,60.00,AUT,9050318,2006,25,HAMMERSCHMIDT Lion,3,FIS Gosau (AUT),2024-01-13
4,50.00,ITA,9290441,2004,30,DORFMANN Simon,4,FIS Gosau (AUT),2024-01-13
5,45.00,AUT,9050308,2004,29,TREFFLER Julian,5,FIS Gosau (AUT),2024-01-13
6,40.00,AUT,9050324,2007,32,GRAVOGL Joachim,6,FIS Gosau (AUT),2024-01-13
7,36.00,ITA,1020634,1973,22,RABANSER Georg,7,FIS Gosau (AUT),2024-01-13
8,32.00,ITA,9290437,2004,31,DA COL Tommaso Felice,8,FIS Gosau (AUT),2024-01-13
9,29.00,ITA,9290514,2007,27,CRAZZOLARA Kevin,9,FIS Gosau (AUT),2024-01-13
10,26.00,CZE,9150343,2006,36,TULACH Ondrej,10,FIS Gosau (AUT),2024-01-13
11,24.00,SUI,9510555,2007,41,MOSCA Nuri,11,FIS Gosau (AUT),2024-01-13
12,22.00,GER,9200234,2008,42,SCHWERDT Samuel,12,FIS Gosau (AUT),2024-01-13
13,20.00,SUI,9510546,2006,38,MEISSER Nicola,13,FIS Gosau (AUT),2024-01-13
14,18.00,ITA,9290530,2007,23,DA COL Edoardo Leone,14,FIS Gosau (AUT),2024-01-13
15,16.00,KOR,9320222,2005,35,PARK Jisung,15,FIS Gosau (AUT),2024-01-13
16,15.00,GER,9200220,2006,39,RIEDEL Arne,16,FIS Gosau (AUT),2024-01-13
17,14.00,AUT,9050315,2004,24,PAHEINER Andreas,17,FIS Gosau (AUT),2024-01-13
18,13.00,SUI,9510574,2008,44,SCHIBLI Alec,18,FIS Gosau (AUT),2024-01-13
19,12.00,SUI,9510572,2008,45,THURNHEER Leon,19,FIS Gosau (AUT),2024-01-13
20,11.00,FRA,9190630,1973,43,ABADIE William,20,FIS Gosau (AUT),2024-01-13
21,"",HUN,9240040,2004,46,FARKAS Zoltan Tamas,21,FIS Gosau (AUT),2024-01-13
22,"",AUT,9050320,2007,34,PROELL Linus,22,FIS Gosau (AUT),2024-01-13
23,"",CZE,9150345,2008,40,MARES Filip,"",FIS Gosau (AUT),2024-01-13
24,"",SUI,9510518,2005,37,KATHRINER Arne,"",FIS Gosau (AUT),2024-01-13
25,"",GER,9200201,2004,28,SOBINGER Tim,"",FIS Gosau (AUT),2024-01-13
26,"",GER,9200210,2005,21,ADLER Felix Nepomuk,"",FIS Gosau (AUT),2024-01-13
