RowID,FIS Points,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,260.00,CAN,9105371,2000,6,1,BUCK Kaylie,100,European Cup Moninec (CZE),2023-12-19
2,208.00,SUI,9515212,2003,4,2,BAETSCHI Flurina Neva,80,European Cup Moninec (CZE),2023-12-19
3,156.00,ITA,9295158,2003,10,3,FAVA Elisa,60,European Cup Moninec (CZE),2023-12-19
4,130.00,CZE,9155072,2003,1,4,MADEROVA Zuzana,50,European Cup Moninec (CZE),2023-12-19
5,117.00,SUI,9515236,2007,2,5,VON SIEBENTHAL Xenia,45,European Cup Moninec (CZE),2023-12-19
6,104.00,CAN,9105518,2005,3,6,MOISAN Aurelie,40,European Cup Moninec (CZE),2023-12-19
7,93.60,AUT,9055093,2001,5,7,KAINZ Carmen,36,European Cup Moninec (CZE),2023-12-19
8,83.20,SUI,9515196,2002,9,8,HAUSER Ricarda,32,European Cup Moninec (CZE),2023-12-19
9,75.40,AUT,9055101,2002,7,9,WEIS Miriam,29,European Cup Moninec (CZE),2023-12-19
10,67.60,GER,9205104,2006,8,10,JANSING Salome,26,European Cup Moninec (CZE),2023-12-19
11,62.40,AUT,9055107,2003,11,11,SCHOEFFMANN Pia,24,European Cup Moninec (CZE),2023-12-19
12,57.20,POL,9435104,2006,12,12,DAWIDEK Weronika,22,European Cup Moninec (CZE),2023-12-19
13,52.00,JPN,9305461,2004,13,13,OSHIMA Hinano,20,European Cup Moninec (CZE),2023-12-19
14,46.80,CZE,9155107,2005,14,14,KECLIKOVA Adela,18,European Cup Moninec (CZE),2023-12-19
15,41.60,USA,9535569,2003,15,15,PFLUM Iris,16,European Cup Moninec (CZE),2023-12-19
16,39.00,AUS,9045081,1997,16,16,BONGIORNO Millie,15,European Cup Moninec (CZE),2023-12-19
17,36.40,UKR,9695023,2001,47,17,BODNARUK Vita,14,European Cup Moninec (CZE),2023-12-19
18,33.80,SUI,9515213,2004,41,18,BAETSCHI Laila Ursina,13,European Cup Moninec (CZE),2023-12-19
19,31.20,USA,9535531,2000,19,19,BULLIS Alexa,12,European Cup Moninec (CZE),2023-12-19
20,28.60,AUT,9055100,2002,37,20,PICHELKASTNER Jessica,11,European Cup Moninec (CZE),2023-12-19
21,26.00,ITA,9295182,2003,40,21,VALLE Sofia,10,European Cup Moninec (CZE),2023-12-19
22,23.40,JPN,9305291,1996,51,22,TOYODA Asa,9,European Cup Moninec (CZE),2023-12-19
23,20.80,GER,9205103,2006,36,23,SCHEID Mathilda,8,European Cup Moninec (CZE),2023-12-19
24,18.20,CAN,9105317,1998,34,24,VAN GRONINGEN Abby,7,European Cup Moninec (CZE),2023-12-19
25,15.60,UKR,9695046,2005,49,25,PAVLIUK Eleonora,6,European Cup Moninec (CZE),2023-12-19
26,13.00,CZE,9155071,2003,35,26,SONKOVA Klara,5,European Cup Moninec (CZE),2023-12-19
27,11.70,SUI,9515198,2002,66,27,KLEESATTEL Eliane,4,European Cup Moninec (CZE),2023-12-19
28,10.40,GER,9205105,2006,50,28,GUNKEL Hannah,3,European Cup Moninec (CZE),2023-12-19
29,9.36,POL,9435100,2005,46,29,ZAPALA Sonia,2,European Cup Moninec (CZE),2023-12-19
30,8.32,UKR,9695036,2003,17,30,HAPATYN Nadiia,1,European Cup Moninec (CZE),2023-12-19
31,7.28,UKR,1699984,1997,45,31,MALOVANNA Oleksandra,"",European Cup Moninec (CZE),2023-12-19
32,6.76,JPN,9305432,2003,44,32,KANAZAWA Noa,"",European Cup Moninec (CZE),2023-12-19
33,6.24,ITA,9295211,2005,61,33,RABANSER Sophie,"",European Cup Moninec (CZE),2023-12-19
34,6.24,GER,9205112,2008,57,33,JANSING Zoe,"",European Cup Moninec (CZE),2023-12-19
35,5.20,JPN,9305476,2005,43,35,MAEDA Suzumi,"",European Cup Moninec (CZE),2023-12-19
36,5.12,POL,9435094,2004,39,36,KACICZAK Olga,"",European Cup Moninec (CZE),2023-12-19
37,5.04,CZE,9155116,2006,59,37,MARESOVA Emma Maya,"",European Cup Moninec (CZE),2023-12-19
38,4.97,GER,9205100,2005,54,38,BUCCIONI Aurelia,"",European Cup Moninec (CZE),2023-12-19
39,4.89,GER,9205097,2005,42,39,TANIGUCHI Yuna,"",European Cup Moninec (CZE),2023-12-19
40,4.81,POL,9435099,2004,52,40,STOKLOSA Natalia,"",European Cup Moninec (CZE),2023-12-19
41,4.73,ITA,9295224,2006,64,41,MAMMONE Anna Victoria,"",European Cup Moninec (CZE),2023-12-19
42,4.65,ITA,9295178,2003,63,42,BOSSA Rachele,"",European Cup Moninec (CZE),2023-12-19
43,4.58,CZE,9155110,2006,58,43,BIEGELOVA Sofie,"",European Cup Moninec (CZE),2023-12-19
44,4.50,ITA,9295200,2004,56,44,FACHIN Fabiana,"",European Cup Moninec (CZE),2023-12-19
45,4.42,JPN,9305438,2003,62,45,IIOKA Maika,"",European Cup Moninec (CZE),2023-12-19
