RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Rank,Athlete,Event Name,Date
1,50.00,GRE,1239980,1:20.19,2008,20,1,ZOGRAFOU Margarita,FIS Vorras (GRE),2024-02-27
2,40.00,GRE,1239975,1:26.66,2004,19,2,MANI Danai Ioanna,FIS Vorras (GRE),2024-02-27
3,30.00,GRE,1239984,1:29.42,2007,17,3,STAFYLIDOU Olga,FIS Vorras (GRE),2024-02-27
4,25.00,GRE,1239991,1:31.46,1982,16,4,ELEFTHERIADOU Maria,FIS Vorras (GRE),2024-02-27
5,22.50,GRE,1239982,2:15.26,2007,18,5,ALEXANDRIDOU Aikaterini,FIS Vorras (GRE),2024-02-27
6,20.00,GRE,1239978,2:16.37,2007,23,6,KARAFYLLIA Harikleia,FIS Vorras (GRE),2024-02-27
