RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
33,24.00,33.46,CZE,9150168,1999,56,POCINEK Adam,33,"",World Cup Rogla (SLO),2024-01-25
34,22.00,33.54,CAN,9101030,2001,51,CARPENTIER Justin,34,"",World Cup Rogla (SLO),2024-01-25
35,"",33.63,CAN,9100748,1998,54,KILMER-CHOI Richard Riley,35,"",World Cup Rogla (SLO),2024-01-25
36,"",33.76,BUL,1094969,1990,36,YANKOV Radoslav,36,"",World Cup Rogla (SLO),2024-01-25
37,"",33.83,CAN,9100940,2000,50,BEHAN Jamie,37,"",World Cup Rogla (SLO),2024-01-25
38,"","",AUT,9050272,2001,45,PINK Matthaeus,"","",World Cup Rogla (SLO),2024-01-25
39,"","",GER,9200092,1993,29,BAUMEISTER Stefan,"","",World Cup Rogla (SLO),2024-01-25
40,"","",SLO,1659088,1984,21,KOSIR Zan,"","",World Cup Rogla (SLO),2024-01-25
1,1000.00,1:03.63,AUT,1054984,1985,3,KARL Benjamin,1,100,World Cup Rogla (SLO),2024-01-25
2,800.00,1:04.16,ITA,7538766,1986,8,MARCH Aaron,2,80,World Cup Rogla (SLO),2024-01-25
3,600.00,1:04.12,ITA,9290151,1992,7,FELICETTI Mirko,3,60,World Cup Rogla (SLO),2024-01-25
4,500.00,1:03.77,ITA,9290107,1991,5,CORATTI Edwin,4,50,World Cup Rogla (SLO),2024-01-25
5,450.00,1:03.33,KOR,9320091,1995,1,LEE Sangho,5,45,World Cup Rogla (SLO),2024-01-25
6,400.00,1:03.45,ITA,9290227,1995,2,BAGOZZA Daniele,6,40,World Cup Rogla (SLO),2024-01-25
7,360.00,1:04.26,SLO,7560012,1986,11,MARGUC Rok,7,36,World Cup Rogla (SLO),2024-01-25
8,320.00,1:04.55,AUT,9050238,1997,13,AUNER Arvid,8,32,World Cup Rogla (SLO),2024-01-25
9,290.00,1:03.71,AUT,1093190,1980,4,PROMMEGGER Andreas,9,29,World Cup Rogla (SLO),2024-01-25
10,260.00,1:03.88,SLO,9560053,1991,6,MASTNAK Tim,10,26,World Cup Rogla (SLO),2024-01-25
11,240.00,1:04.23,POL,9430120,1996,10,KWIATKOWSKI Oskar,11,24,World Cup Rogla (SLO),2024-01-25
12,240.00,1:04.23,ITA,9290200,1994,9,BORMOLINI Maurizio,11,24,World Cup Rogla (SLO),2024-01-25
13,200.00,1:04.49,AUT,9050217,1996,12,OBMANN Fabian,13,20,World Cup Rogla (SLO),2024-01-25
14,180.00,1:04.58,AUT,9050042,1989,14,PAYER Alexander,14,18,World Cup Rogla (SLO),2024-01-25
15,160.00,1:04.59,SUI,9510316,1995,15,CAVIEZEL Dario,15,16,World Cup Rogla (SLO),2024-01-25
16,150.00,1:04.71,CAN,9101129,2002,16,HELDMAN Ben,16,15,World Cup Rogla (SLO),2024-01-25
17,140.00,1:04.72,AUT,9050029,1988,46,KISLINGER Sebastian,17,14,World Cup Rogla (SLO),2024-01-25
18,130.00,1:04.77,AUT,9050279,2001,42,BURGSTALLER Dominik,18,13,World Cup Rogla (SLO),2024-01-25
19,120.00,1:04.80,KOR,9320014,1989,19,KIM Sangkyum,19,12,World Cup Rogla (SLO),2024-01-25
20,110.00,1:04.81,AUT,9050196,1995,44,JURITZ Aron,20,11,World Cup Rogla (SLO),2024-01-25
21,100.00,1:04.98,JPN,7300127,1986,37,SHIBA Masaki,21,10,World Cup Rogla (SLO),2024-01-25
22,90.00,1:05.01,GER,9200145,2000,43,ANGENEND Yannik,22,9,World Cup Rogla (SLO),2024-01-25
23,80.00,1:05.07,POL,9430124,1996,39,NOWACZYK Michal,23,8,World Cup Rogla (SLO),2024-01-25
24,70.00,1:05.38,GER,9200128,1999,33,HUBER Elias,24,7,World Cup Rogla (SLO),2024-01-25
25,60.00,1:05.42,CAN,9100945,2000,41,GAUDET Arnaud,25,6,World Cup Rogla (SLO),2024-01-25
26,50.00,1:05.74,CAN,9100939,2000,48,NAZWASKI Michael,26,5,World Cup Rogla (SLO),2024-01-25
27,45.00,1:05.96,SUI,9510417,2000,35,CASANOVA Gian,27,4,World Cup Rogla (SLO),2024-01-25
28,40.00,1:06.03,JPN,9300870,2001,52,SHIMIZU Daichi,28,3,World Cup Rogla (SLO),2024-01-25
29,36.00,1:07.13,CAN,9100570,1996,47,LEFEBVRE Jules,29,2,World Cup Rogla (SLO),2024-01-25
30,32.00,1:07.96,JPN,9300856,2001,55,SHINOHARA Ryusuke,30,1,World Cup Rogla (SLO),2024-01-25
31,28.00,1:07.98,USA,9531069,1997,53,UDOLF Dylan,31,"",World Cup Rogla (SLO),2024-01-25
32,26.00,"",AUT,9050297,2003,49,KARNER Christoph,32,"",World Cup Rogla (SLO),2024-01-25
