RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,120.00,JPN,9305432,2003,1,KANAZAWA Noa,1,FIS Akan (JPN),2024-03-02
2,96.00,KOR,9325057,2002,6,JANG Seo Hee,2,FIS Akan (JPN),2024-03-02
3,72.00,JPN,9305476,2005,16,MAEDA Suzumi,3,FIS Akan (JPN),2024-03-02
4,60.00,JPN,9305474,2005,10,JIGE Ayane,4,FIS Akan (JPN),2024-03-02
5,54.00,JPN,9305461,2004,2,OSHIMA Hinano,5,FIS Akan (JPN),2024-03-02
6,48.00,JPN,9305437,2003,11,YOGO Sakura,6,FIS Akan (JPN),2024-03-02
7,43.20,JPN,9305430,2002,4,OSHIMA Sakura,7,FIS Akan (JPN),2024-03-02
8,38.40,JPN,9305445,2003,13,KAGAYA Sora,8,FIS Akan (JPN),2024-03-02
9,34.80,JPN,9305438,2003,3,IIOKA Maika,9,FIS Akan (JPN),2024-03-02
10,31.20,JPN,9305482,2003,5,KAMATA Mizuki,10,FIS Akan (JPN),2024-03-02
11,28.80,JPN,9305517,2006,8,MIYAO Ichika,11,FIS Akan (JPN),2024-03-02
12,26.40,JPN,9305252,1994,15,UENO Koto,12,FIS Akan (JPN),2024-03-02
13,24.00,JPN,9305403,2002,7,MURATA Noa,13,FIS Akan (JPN),2024-03-02
14,21.60,JPN,9305528,2007,12,FUJISHIMA Riho,14,FIS Akan (JPN),2024-03-02
15,19.20,JPN,9305458,2004,9,KAMOBE Shizuku,15,FIS Akan (JPN),2024-03-02
16,"",JPN,9305547,2003,17,ITO Marino,16,FIS Akan (JPN),2024-03-02
17,"",JPN,9305501,2006,14,NANASAKI Riho,"",FIS Akan (JPN),2024-03-02
