RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,CHN,9125001,1:20.99,1998,1,GONG Naiying,1,100,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
2,128.00,CHN,9125028,1:20.31,2001,5,KONG Binbin,2,80,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
3,96.00,CHN,9125009,1:17.00,1997,4,DONG Xue,3,60,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
4,80.00,CHN,9125008,1:18.14,1996,7,PENG Cheng,4,50,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
5,72.00,KOR,9325057,1:18.99,2002,3,JANG Seo Hee,5,45,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
6,64.00,JPN,9305265,1:20.60,1994,11,KOSHISAKA Ayana,6,40,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
7,57.60,CHN,9125142,1:21.09,2006,12,DONG Yuyue,7,36,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
8,51.20,CHN,9125033,1:21.77,2000,14,KAN Binbin,8,32,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
9,46.40,CHN,1129982,1:22.11,1994,10,ZANG Ruxin,9,29,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
10,41.60,CHN,9125153,1:25.27,2005,9,DU Duowen,10,26,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
11,38.40,JPN,9305437,1:25.75,2003,13,YOGO Sakura,11,24,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
12,35.20,CHN,9125093,1:28.05,2002,2,BAI Xinhui,12,22,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
13,32.00,KOR,9325082,1:43.70,2006,8,JUNG Seo-Yeong,13,20,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
14,"",KOR,9325090,1:52.71,2008,15,KIM Yena,14,18,Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
15,"",JPN,9305403,"",2002,6,MURATA Noa,"","",Asian Cup Cuiyunshan Galaxy Ski Resort (CHN),2024-03-13
