RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Rank,Athlete,Event Name,Date
1,50.00,GRE,1239980,1:39.20,2008,20,1,ZOGRAFOU Margarita,National Championships Vorras (GRE),2024-02-28
2,40.00,GRE,1239978,3:19.53,2007,22,2,KARAFYLLIA Harikleia,National Championships Vorras (GRE),2024-02-28
3,30.00,GRE,1239982,3:22.73,2007,17,3,ALEXANDRIDOU Aikaterini,National Championships Vorras (GRE),2024-02-28
4,"",GRE,1239985,"",2006,21,"",KOROGIANNOU Aikaterini,National Championships Vorras (GRE),2024-02-28
5,"",GRE,1239975,"",2004,18,"",MANI Danai Ioanna,National Championships Vorras (GRE),2024-02-28
6,"",GRE,1239984,"",2007,16,"",STAFYLIDOU Olga,National Championships Vorras (GRE),2024-02-28
