RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,GRE,1336660,1:01.95,1982,2,ZARKADAS Anastassios,1,National Championships Vorras (GRE),2024-02-27
2,40.00,GRE,1234963,1:02.01,1994,1,DOUMOS Ioannis,2,National Championships Vorras (GRE),2024-02-27
3,30.00,GRE,9230001,1:02.34,2005,3,KARAFYLLIAS Drosos,3,National Championships Vorras (GRE),2024-02-27
4,25.00,BUL,9090138,1:03.69,2002,6,KAMBOUROV Vladi,4,National Championships Vorras (GRE),2024-02-27
5,22.50,GRE,1234911,1:13.36,1982,11,PAVLOS Dimos,5,National Championships Vorras (GRE),2024-02-27
6,20.00,GRE,9230012,1:14.06,2007,4,GIOVANOPOULOS Dimitrios,6,National Championships Vorras (GRE),2024-02-27
7,18.00,GRE,9230002,1:15.15,2006,10,ARVANITIDIS Theofilos,7,National Championships Vorras (GRE),2024-02-27
8,16.00,GRE,9230021,2:04.48,2002,8,ALMPANIDIS Georgios,8,National Championships Vorras (GRE),2024-02-27
9,"",GRE,9230014,"",2008,13,ATHANASIOU Dimitrios,"",National Championships Vorras (GRE),2024-02-27
10,"",GRE,9230004,"",2004,9,VASILEIADIS Antonios,"",National Championships Vorras (GRE),2024-02-27
11,"",GRE,9230039,"",1988,40,MPIROZIS Petros,"",National Championships Vorras (GRE),2024-02-27
