RowID,Nation,FIS code,Year,Bib,Time,Athlete,Rank,Event Name,Date
1,SUI,9515212,2003,25,1:08.28,BAETSCHI Flurina Neva,1,Qualification Folgaria (ITA),2024-01-12
2,SUI,9515236,2007,22,1:08.93,VON SIEBENTHAL Xenia,2,Qualification Folgaria (ITA),2024-01-12
3,GER,9205104,2006,30,1:08.97,JANSING Salome,3,Qualification Folgaria (ITA),2024-01-12
4,AUT,9055093,2001,17,1:09.47,KAINZ Carmen,4,Qualification Folgaria (ITA),2024-01-12
5,SUI,9515196,2002,18,1:10.04,HAUSER Ricarda,5,Qualification Folgaria (ITA),2024-01-12
6,AUT,9055100,2002,26,1:10.65,PICHELKASTNER Jessica,6,Qualification Folgaria (ITA),2024-01-12
7,AUT,9055107,2003,21,1:10.66,SCHOEFFMANN Pia,7,Qualification Folgaria (ITA),2024-01-12
8,POL,9435104,2006,29,1:11.40,DAWIDEK Weronika,8,Qualification Folgaria (ITA),2024-01-12
9,SUI,9515213,2004,24,1:11.59,BAETSCHI Laila Ursina,9,Qualification Folgaria (ITA),2024-01-12
10,CZE,9155107,2005,32,1:12.01,KECLIKOVA Adela,10,Qualification Folgaria (ITA),2024-01-12
11,UKR,9695036,2003,31,1:12.07,HAPATYN Nadiia,11,Qualification Folgaria (ITA),2024-01-12
12,GER,9205103,2006,20,1:12.63,SCHEID Mathilda,12,Qualification Folgaria (ITA),2024-01-12
13,AUT,9055101,2002,27,1:12.67,WEIS Miriam,13,Qualification Folgaria (ITA),2024-01-12
14,ITA,9295182,2003,19,1:12.81,VALLE Sofia,14,Qualification Folgaria (ITA),2024-01-12
15,ITA,9295200,2004,36,1:13.66,FACHIN Fabiana,15,Qualification Folgaria (ITA),2024-01-12
16,ITA,9295211,2005,41,1:14.50,RABANSER Sophie,16,Qualification Folgaria (ITA),2024-01-12
17,CZE,9155071,2003,33,1:14.72,SONKOVA Klara,17,Qualification Folgaria (ITA),2024-01-12
18,ITA,9295224,2006,43,1:14.74,MAMMONE Anna Victoria,18,Qualification Folgaria (ITA),2024-01-12
19,ITA,9295158,2003,28,1:15.41,FAVA Elisa,19,Qualification Folgaria (ITA),2024-01-12
20,GER,9205112,2008,23,1:15.66,JANSING Zoe,20,Qualification Folgaria (ITA),2024-01-12
21,SUI,9515198,2002,34,1:15.94,KLEESATTEL Eliane,21,Qualification Folgaria (ITA),2024-01-12
22,POL,9435100,2005,38,1:17.43,ZAPALA Sonia,22,Qualification Folgaria (ITA),2024-01-12
23,POL,9435094,2004,39,1:18.82,KACICZAK Olga,23,Qualification Folgaria (ITA),2024-01-12
24,GER,9205105,2006,35,1:19.36,GUNKEL Hannah,24,Qualification Folgaria (ITA),2024-01-12
25,ITA,9295234,2008,37,1:21.14,CARNEVALI Giorgia,25,Qualification Folgaria (ITA),2024-01-12
26,ITA,9295178,2003,42,1:24.76,BOSSA Rachele,26,Qualification Folgaria (ITA),2024-01-12
27,ITA,9295228,2005,44,1:31.39,LAMBER Viktoria,27,Qualification Folgaria (ITA),2024-01-12
28,CZE,9155052,1996,40,"",HOUZVICKOVA Kristyna,"",Qualification Folgaria (ITA),2024-01-12
