RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,1000.00,1:04.18,ITA,9290227,1995,1,1,BAGOZZA Daniele,100,World Cup Simonhöhe (AUT),2024-01-27
2,800.00,1:04.31,AUT,1054984,1985,3,2,KARL Benjamin,80,World Cup Simonhöhe (AUT),2024-01-27
3,600.00,1:04.71,AUT,9050217,1996,12,3,OBMANN Fabian,60,World Cup Simonhöhe (AUT),2024-01-27
4,500.00,1:04.51,ITA,1163127,1980,7,4,FISCHNALLER Roland,50,World Cup Simonhöhe (AUT),2024-01-27
5,450.00,1:04.26,AUT,9050279,2001,2,5,BURGSTALLER Dominik,45,World Cup Simonhöhe (AUT),2024-01-27
6,400.00,1:04.36,POL,9430120,1996,4,6,KWIATKOWSKI Oskar,40,World Cup Simonhöhe (AUT),2024-01-27
7,360.00,1:04.62,SLO,9560053,1991,8,7,MASTNAK Tim,36,World Cup Simonhöhe (AUT),2024-01-27
8,320.00,1:04.66,ITA,9290151,1992,11,8,FELICETTI Mirko,32,World Cup Simonhöhe (AUT),2024-01-27
9,290.00,1:04.40,GER,9200128,1999,5,9,HUBER Elias,29,World Cup Simonhöhe (AUT),2024-01-27
10,260.00,1:04.50,ITA,9290200,1994,6,10,BORMOLINI Maurizio,26,World Cup Simonhöhe (AUT),2024-01-27
11,240.00,1:04.64,SLO,1659088,1984,9,11,KOSIR Zan,24,World Cup Simonhöhe (AUT),2024-01-27
12,220.00,1:04.66,AUT,1093190,1980,10,12,PROMMEGGER Andreas,22,World Cup Simonhöhe (AUT),2024-01-27
13,200.00,1:04.76,ITA,7538766,1986,13,13,MARCH Aaron,20,World Cup Simonhöhe (AUT),2024-01-27
14,180.00,1:04.86,JPN,7300127,1986,14,14,SHIBA Masaki,18,World Cup Simonhöhe (AUT),2024-01-27
15,160.00,1:04.93,ITA,9290107,1991,15,15,CORATTI Edwin,16,World Cup Simonhöhe (AUT),2024-01-27
16,150.00,1:04.94,AUT,9050042,1989,16,16,PAYER Alexander,15,World Cup Simonhöhe (AUT),2024-01-27
17,140.00,1:05.03,SUI,9510417,2000,36,17,CASANOVA Gian,14,World Cup Simonhöhe (AUT),2024-01-27
18,130.00,1:05.10,SUI,9510316,1995,28,18,CAVIEZEL Dario,13,World Cup Simonhöhe (AUT),2024-01-27
19,120.00,1:05.12,SLO,7560012,1986,37,19,MARGUC Rok,12,World Cup Simonhöhe (AUT),2024-01-27
20,110.00,1:05.15,CAN,9100945,2000,43,20,GAUDET Arnaud,11,World Cup Simonhöhe (AUT),2024-01-27
21,100.00,1:05.16,POL,9430124,1996,41,21,NOWACZYK Michal,10,World Cup Simonhöhe (AUT),2024-01-27
