RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,GRE,1234963,54.77,1994,1,DOUMOS Ioannis,1,FIS Vorras (GRE),2024-02-27
2,40.00,GRE,1336660,59.00,1982,2,ZARKADAS Anastassios,2,FIS Vorras (GRE),2024-02-27
3,30.00,GRE,9230001,1:01.03,2005,3,KARAFYLLIAS Drosos,3,FIS Vorras (GRE),2024-02-27
4,25.00,BUL,9090138,1:01.89,2002,6,KAMBOUROV Vladi,4,FIS Vorras (GRE),2024-02-27
5,22.50,GRE,1234911,1:14.62,1982,11,PAVLOS Dimos,5,FIS Vorras (GRE),2024-02-27
6,20.00,GRE,9230002,1:24.43,2006,10,ARVANITIDIS Theofilos,6,FIS Vorras (GRE),2024-02-27
7,18.00,GRE,9230021,2:09.24,2002,8,ALMPANIDIS Georgios,7,FIS Vorras (GRE),2024-02-27
8,"",GRE,9230028,"",1988,14,KALANTZIS Efstathios,"",FIS Vorras (GRE),2024-02-27
9,"",GRE,9230014,"",2008,13,ATHANASIOU Dimitrios,"",FIS Vorras (GRE),2024-02-27
10,"",GRE,9230004,"",2004,9,VASILEIADIS Antonios,"",FIS Vorras (GRE),2024-02-27
11,"",GRE,9230012,"",2007,4,GIOVANOPOULOS Dimitrios,"",FIS Vorras (GRE),2024-02-27
12,"",GRE,9230039,"",1988,40,MPIROZIS Petros,"",FIS Vorras (GRE),2024-02-27
