RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Event Name,Date
1,240.00,53.78,GER,9200203,2004,6,1,VOJTASEK Samuel,FIS Junior World Championships Lachtal (AUT),2024-03-22
2,192.00,53.01,BUL,9090160,2005,1,2,ZAMFIROV Tervel,FIS Junior World Championships Lachtal (AUT),2024-03-22
3,144.00,53.91,BUL,9090161,2005,7,3,GERGYOVSKI Petar,FIS Junior World Championships Lachtal (AUT),2024-03-22
4,120.00,53.49,BUL,9090159,2004,4,4,GEORGIEV Kristian,FIS Junior World Championships Lachtal (AUT),2024-03-22
5,108.00,53.17,BUL,9090158,2004,2,5,KRASHNIAK Alexander,FIS Junior World Championships Lachtal (AUT),2024-03-22
6,96.00,53.27,ITA,9290515,2007,3,6,RABANSER Tommy,FIS Junior World Championships Lachtal (AUT),2024-03-22
7,86.40,53.61,JPN,9301081,2006,5,7,TAKEKAWA Shin,FIS Junior World Championships Lachtal (AUT),2024-03-22
8,76.80,54.04,ITA,9290464,2005,9,8,ZIMMERHOFER Elias,FIS Junior World Championships Lachtal (AUT),2024-03-22
9,69.60,53.98,AUT,9050324,2007,8,9,GRAVOGL Joachim,FIS Junior World Championships Lachtal (AUT),2024-03-22
10,62.40,54.07,CZE,9150333,2006,10,10,MINARIK Krystof,FIS Junior World Championships Lachtal (AUT),2024-03-22
11,57.60,54.14,AUT,9050308,2004,11,11,TREFFLER Julian,FIS Junior World Championships Lachtal (AUT),2024-03-22
12,52.80,54.28,ITA,9290441,2004,12,12,DORFMANN Simon,FIS Junior World Championships Lachtal (AUT),2024-03-22
13,48.00,54.53,GER,9200208,2005,13,13,RIEL Benedikt,FIS Junior World Championships Lachtal (AUT),2024-03-22
14,43.20,55.03,USA,9531573,2006,14,14,OVERSTAKE Walker,FIS Junior World Championships Lachtal (AUT),2024-03-22
15,38.40,55.19,UKR,9690175,2005,15,15,BILOUS Nestor,FIS Junior World Championships Lachtal (AUT),2024-03-22
16,36.00,55.83,UKR,9690174,2005,16,16,KABALIUK Mykhailo,FIS Junior World Championships Lachtal (AUT),2024-03-22
17,33.60,55.95,AUT,9050315,2004,42,17,PAHEINER Andreas,FIS Junior World Championships Lachtal (AUT),2024-03-22
18,31.20,56.00,USA,9531727,2006,36,18,SMITH Michael,FIS Junior World Championships Lachtal (AUT),2024-03-22
