RowID,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,USA,9535716,2009,238,PERLMUTTER Jessica,1,"National Championships Copper Mountain, CO (USA)",2024-03-30
2,ITA,9295213,2004,228,VERGANI Alessia,2,"National Championships Copper Mountain, CO (USA)",2024-03-30
3,ITA,9295214,2004,229,VERGANI Arianna,3,"National Championships Copper Mountain, CO (USA)",2024-03-30
4,USA,9535719,2005,253,WARREN Bella,4,"National Championships Copper Mountain, CO (USA)",2024-03-30
5,AUS,9535661,2006,243,HAMMERLEIN Freya,5,"National Championships Copper Mountain, CO (USA)",2024-03-30
6,USA,9535665,2008,206,LAHIFF Keira,6,"National Championships Copper Mountain, CO (USA)",2024-03-30
7,USA,9535695,2006,222,MURPHY Kiara,7,"National Championships Copper Mountain, CO (USA)",2024-03-30
8,USA,9535590,1999,144,HENSLEY Kay,8,"National Championships Copper Mountain, CO (USA)",2024-03-30
9,USA,9535781,2003,1837,RUSSELL Lynn,9,"National Championships Copper Mountain, CO (USA)",2024-03-30
10,USA,9535671,2008,245,PARK Gwyneth,"","National Championships Copper Mountain, CO (USA)",2024-03-30
11,USA,9535762,2002,132,GOFF Haley,"","National Championships Copper Mountain, CO (USA)",2024-03-30
