RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
1,160.00,48.72,CAN,9105518,2005,111,MOISAN Aurelie,1,100,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
2,128.00,50.97,CAN,9105371,2000,113,BUCK Kaylie,2,80,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
3,96.00,52.17,JPN,9305432,2003,100,KANAZAWA Noa,3,60,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
4,80.00,51.27,JPN,9305291,1996,105,TOYODA Asa,4,50,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
5,72.00,52.48,USA,9535668,2006,102,DOMINO Grace,5,45,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
6,64.00,52.63,USA,9535531,2000,104,BULLIS Alexa,6,40,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
7,57.60,55.31,CAN,9105317,1998,103,VAN GRONINGEN Abby,7,36,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
8,51.20,57.35,USA,9535525,2002,112,KIZUKA Mika,8,32,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
9,46.40,55.55,USA,9535560,2003,115,JANOUSEK Lily,9,29,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
10,41.60,58.44,USA,9535684,2006,101,KIZUKA Akina,10,26,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
11,38.40,58.61,USA,9535557,2002,120,WILSON Sydney,11,24,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
12,35.20,58.64,USA,9535541,2001,106,JONES Cecelia,12,22,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
13,32.00,59.83,CAN,9105568,2007,110,SWEENEY Rowan,13,20,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
14,28.80,1:01.04,JPN,9305407,2002,114,NOZAKI Ran,14,18,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
15,25.60,1:02.35,USA,9535722,2007,124,STRUPP Olivia,15,16,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
16,24.00,1:02.83,CAN,9105491,2004,109,BETTEZ Anne-Laurie,16,15,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
17,22.40,1:03.00,USA,9535431,1999,107,KIZUKA Kaiya,17,14,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
18,20.80,1:03.66,USA,9535542,2001,123,DARROW Catherine,18,13,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
19,19.20,1:04.94,USA,9535606,2002,118,DIRADOUR Cannon,19,12,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
20,17.60,1:06.83,AUS,9045159,2004,117,BROSE Georgia,20,11,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
21,16.00,1:08.72,USA,9535585,2000,122,BLIZZARD Kaitlyn,21,10,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
22,14.40,1:09.32,USA,9535736,2005,121,MAJOR Nicole,22,9,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
23,12.80,1:09.43,USA,9535761,2008,125,ROPCHAK Alaina,23,8,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
24,11.20,1:12.23,AUS,9045127,2003,119,CHAWNER Mia,24,7,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
25,"",1:13.68,CAN,9105542,2006,116,ALTSHULLER Maya,25,6,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
26,"",1:16.48,JPN,9305498,2007,126,HOSHI Sarasa,26,5,Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
27,"","",USA,1024805,1967,108,OTT Lynn,"","",Nor-Am Cup Afton Alps Ski Area (USA),2024-01-04
