RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,110.00,GER,9205103,1:03.41,2006,29,SCHEID Mathilda,1,FIS Senales - Schnals (ITA),2024-03-09
2,88.00,GER,9205105,1:05.16,2006,20,GUNKEL Hannah,2,FIS Senales - Schnals (ITA),2024-03-09
3,66.00,GER,9205106,1:04.30,2007,25,REICHELMEIR Ina,3,FIS Senales - Schnals (ITA),2024-03-09
4,55.00,ITA,9295211,1:05.23,2005,21,RABANSER Sophie,4,FIS Senales - Schnals (ITA),2024-03-09
5,49.50,ITA,9295224,1:06.81,2006,30,MAMMONE Anna Victoria,5,FIS Senales - Schnals (ITA),2024-03-09
6,44.00,AUT,9055128,1:07.02,2008,24,DABRINGER Franziska,6,FIS Senales - Schnals (ITA),2024-03-09
7,39.60,CZE,9155116,1:07.30,2006,17,MARESOVA Emma Maya,7,FIS Senales - Schnals (ITA),2024-03-09
8,35.20,AUT,9055118,1:09.35,2006,31,GAMS Marie,8,FIS Senales - Schnals (ITA),2024-03-09
9,31.90,ITA,9295234,1:07.25,2008,22,CARNEVALI Giorgia,9,FIS Senales - Schnals (ITA),2024-03-09
10,28.60,CZE,9155137,1:07.43,2007,23,OTIPKOVA Hana,10,FIS Senales - Schnals (ITA),2024-03-09
11,26.40,ITA,9295238,1:09.81,2007,19,FEDERSPIELER Sofia,11,FIS Senales - Schnals (ITA),2024-03-09
12,24.20,ITA,9295208,1:09.94,2005,34,ZIMMERHOFER Marlis,12,FIS Senales - Schnals (ITA),2024-03-09
13,22.00,ITA,9295178,1:10.68,2003,18,BOSSA Rachele,13,FIS Senales - Schnals (ITA),2024-03-09
14,19.80,ITA,9295202,1:12.01,2004,35,OCHNER Anna,14,FIS Senales - Schnals (ITA),2024-03-09
15,17.60,ITA,9295228,1:13.24,2005,27,LAMBER Viktoria,15,FIS Senales - Schnals (ITA),2024-03-09
16,16.50,FIN,9185017,1:13.96,1989,40,HANHIKOSKI Cecilia,16,FIS Senales - Schnals (ITA),2024-03-09
17,15.40,CZE,9155110,1:14.11,2006,32,BIEGELOVA Sofie,17,FIS Senales - Schnals (ITA),2024-03-09
18,14.30,ITA,9295245,1:16.36,2008,39,IRSARA Bettina,18,FIS Senales - Schnals (ITA),2024-03-09
19,13.20,CZE,9155149,1:16.43,2008,28,KOZELSKA Ivana,19,FIS Senales - Schnals (ITA),2024-03-09
20,12.10,AUT,9055126,1:17.81,2008,33,ARZBERGER Valentina,20,FIS Senales - Schnals (ITA),2024-03-09
21,11.00,GER,9205100,1:18.64,2005,26,BUCCIONI Aurelia,21,FIS Senales - Schnals (ITA),2024-03-09
22,9.90,ITA,9295240,1:19.07,2008,38,DORFMANN Emma,22,FIS Senales - Schnals (ITA),2024-03-09
23,"",CZE,9155148,1:25.20,2008,36,KOZELSKA Adela,23,FIS Senales - Schnals (ITA),2024-03-09
24,"",GER,9205107,1:33.03,2007,37,VOJTASEKOVA Simona,24,FIS Senales - Schnals (ITA),2024-03-09
