RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,120.00,AUT,9050308,59.34,2004,130,TREFFLER Julian,1,FIS Senales - Schnals (ITA),2024-03-10
2,96.00,AUT,9050324,1:00.35,2007,124,GRAVOGL Joachim,2,FIS Senales - Schnals (ITA),2024-03-10
3,72.00,ITA,9290515,58.90,2007,129,RABANSER Tommy,3,FIS Senales - Schnals (ITA),2024-03-10
4,60.00,ITA,9290497,59.68,2006,125,HALLER Manuel,4,FIS Senales - Schnals (ITA),2024-03-10
5,54.00,ITA,9290441,1:00.02,2004,128,DORFMANN Simon,5,FIS Senales - Schnals (ITA),2024-03-10
6,48.00,AUT,9050318,1:01.30,2006,132,HAMMERSCHMIDT Lion,6,FIS Senales - Schnals (ITA),2024-03-10
7,43.20,CZE,9150343,1:02.04,2006,131,TULACH Ondrej,7,FIS Senales - Schnals (ITA),2024-03-10
8,38.40,ITA,9290530,1:02.56,2007,127,DA COL Edoardo Leone,8,FIS Senales - Schnals (ITA),2024-03-10
9,34.80,ITA,9290330,1:02.44,1999,134,CASTELLO Jamie Lee,9,FIS Senales - Schnals (ITA),2024-03-10
10,31.20,GER,9200201,1:03.20,2004,122,SOBINGER Tim,10,FIS Senales - Schnals (ITA),2024-03-10
11,28.80,AUT,9050315,1:03.28,2004,119,PAHEINER Andreas,11,FIS Senales - Schnals (ITA),2024-03-10
12,26.40,ITA,9290437,1:04.10,2004,120,DA COL Tommaso Felice,12,FIS Senales - Schnals (ITA),2024-03-10
13,24.00,ITA,1020634,1:04.25,1973,118,RABANSER Georg,13,FIS Senales - Schnals (ITA),2024-03-10
14,21.60,CZE,9150336,1:05.52,2004,117,KRAUTMAN Christopher Joseph,14,FIS Senales - Schnals (ITA),2024-03-10
15,19.20,CZE,9150395,1:06.65,2008,135,MICHAL Tomas,15,FIS Senales - Schnals (ITA),2024-03-10
16,18.00,ITA,9290524,1:06.88,2007,121,MUTSCHLECHNER Philipp,16,FIS Senales - Schnals (ITA),2024-03-10
17,16.80,GER,9200220,1:08.69,2006,137,RIEDEL Arne,17,FIS Senales - Schnals (ITA),2024-03-10
18,15.60,GER,9200210,1:12.22,2005,136,ADLER Felix Nepomuk,18,FIS Senales - Schnals (ITA),2024-03-10
19,14.40,GER,9200234,1:12.88,2008,139,SCHWERDT Samuel,19,FIS Senales - Schnals (ITA),2024-03-10
20,13.20,ITA,9290377,1:16.67,2001,138,OCHNER Elias,20,FIS Senales - Schnals (ITA),2024-03-10
21,"",HUN,9240046,1:19.35,2005,133,SZABO Marcell,21,FIS Senales - Schnals (ITA),2024-03-10
22,"",CZE,9150344,41.39,2006,123,SONKA Antonin,22,FIS Senales - Schnals (ITA),2024-03-10
23,"",GEO,1684990,"",1985,126,NAZGAIDZE Revaz,"",FIS Senales - Schnals (ITA),2024-03-10
