RowID,FIS Points,Nation,FIS code,Year,Bib,Athlete,Rank,Event Name,Date
1,290.00,AUT,9050029,1988,53,KISLINGER Sebastian,1,National Championships Hochficht/Zwiesel (AUT),2024-02-09
2,232.00,AUT,9050279,2001,60,BURGSTALLER Dominik,2,National Championships Hochficht/Zwiesel (AUT),2024-02-09
3,174.00,AUT,9050297,2003,56,KARNER Christoph,3,National Championships Hochficht/Zwiesel (AUT),2024-02-09
4,145.00,AUT,9050196,1995,59,JURITZ Aron,4,National Championships Hochficht/Zwiesel (AUT),2024-02-09
5,130.50,AUT,9050042,1989,57,PAYER Alexander,5,National Championships Hochficht/Zwiesel (AUT),2024-02-09
6,116.00,CZE,9150333,2006,64,MINARIK Krystof,6,National Championships Hochficht/Zwiesel (AUT),2024-02-09
7,104.40,AUT,9050238,1997,55,AUNER Arvid,7,National Championships Hochficht/Zwiesel (AUT),2024-02-09
8,104.40,AUT,9050324,2007,54,GRAVOGL Joachim,7,National Championships Hochficht/Zwiesel (AUT),2024-02-09
9,84.10,AUT,9050217,1996,63,OBMANN Fabian,9,National Championships Hochficht/Zwiesel (AUT),2024-02-09
10,75.40,AUT,9050316,2005,65,PIETSCH Werner,10,National Championships Hochficht/Zwiesel (AUT),2024-02-09
11,69.60,POL,9430012,1987,66,GASIENICA-DANIEL Andrzej,11,National Championships Hochficht/Zwiesel (AUT),2024-02-09
12,63.80,AUT,9050308,2004,67,TREFFLER Julian,12,National Championships Hochficht/Zwiesel (AUT),2024-02-09
13,58.00,AUT,9050318,2006,62,HAMMERSCHMIDT Lion,13,National Championships Hochficht/Zwiesel (AUT),2024-02-09
14,52.20,JPN,9300459,1992,76,MOMONO Shinya,14,National Championships Hochficht/Zwiesel (AUT),2024-02-09
15,46.40,AUT,1054984,1985,51,KARL Benjamin,15,National Championships Hochficht/Zwiesel (AUT),2024-02-09
16,43.50,CZE,9150213,1981,52,URBAN Ales,16,National Championships Hochficht/Zwiesel (AUT),2024-02-09
17,40.60,POL,9430191,2004,70,WILK Michal,17,National Championships Hochficht/Zwiesel (AUT),2024-02-09
18,37.70,POL,9430169,1999,61,RUTKOWSKI Mikolaj,18,National Championships Hochficht/Zwiesel (AUT),2024-02-09
19,34.80,SUI,9510555,2007,74,MOSCA Nuri,19,National Championships Hochficht/Zwiesel (AUT),2024-02-09
20,31.90,SUI,9510546,2006,73,MEISSER Nicola,20,National Championships Hochficht/Zwiesel (AUT),2024-02-09
21,29.00,CZE,9150336,2004,77,KRAUTMAN Christopher Joseph,21,National Championships Hochficht/Zwiesel (AUT),2024-02-09
22,26.10,AUT,9050320,2007,72,PROELL Linus,22,National Championships Hochficht/Zwiesel (AUT),2024-02-09
23,23.20,CZE,9150395,2008,75,MICHAL Tomas,23,National Championships Hochficht/Zwiesel (AUT),2024-02-09
24,"",AUT,9050315,2004,68,PAHEINER Andreas,24,National Championships Hochficht/Zwiesel (AUT),2024-02-09
25,"",POL,9430208,2006,69,KULPINSKI Anatol,25,National Championships Hochficht/Zwiesel (AUT),2024-02-09
26,"",POL,9430229,2008,79,MIKA Stanislaw,"",National Championships Hochficht/Zwiesel (AUT),2024-02-09
27,"",CZE,1697403,1957,78,PROKOPEC Leos Sen.,"",National Championships Hochficht/Zwiesel (AUT),2024-02-09
28,"",CZE,9150015,1984,71,RYS Michal,"",National Championships Hochficht/Zwiesel (AUT),2024-02-09
29,"",CZE,1473042,1980,58,BRUZEK Viktor,"",National Championships Hochficht/Zwiesel (AUT),2024-02-09
