RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,IRI,1663647,58.76,1983,13,KALHOR J Hossein,1,FIS Dizin (IRI),2024-02-21
2,40.00,IRI,1264984,1:01.84,1984,16,SEYD Seyed Hossein,2,FIS Dizin (IRI),2024-02-21
3,30.00,IRI,9260003,1:02.30,1977,23,MOGHDID Rahmatollah,3,FIS Dizin (IRI),2024-02-21
4,25.00,IRI,9260029,1:04.53,1989,22,JEYRODI Mahdi,4,FIS Dizin (IRI),2024-02-21
5,22.50,IRI,9260159,1:10.77,2004,12,SOLGHANI Amirmahdi,5,FIS Dizin (IRI),2024-02-21
6,20.00,IRI,9260059,1:15.72,1990,18,KIASHEMSHAKI Pooria,6,FIS Dizin (IRI),2024-02-21
7,18.00,IRI,9260078,1:17.40,1988,19,KAVIANI Mahdi,7,FIS Dizin (IRI),2024-02-21
8,16.00,IRI,9260072,1:19.38,1993,25,DARBANDSARI Ali,8,FIS Dizin (IRI),2024-02-21
9,14.50,IRI,1264992,1:23.13,1970,17,KALHOR Feyzolah,9,FIS Dizin (IRI),2024-02-21
10,"",IRI,9260152,34.40,2002,20,SOLGHANI Amirhassan,10,FIS Dizin (IRI),2024-02-21
11,"",IRI,9260167,"",2004,24,PARSIAVASH Mani,"",FIS Dizin (IRI),2024-02-21
12,"",IRI,9260065,"",1978,15,AZHDARI MOGHADAM nima,"",FIS Dizin (IRI),2024-02-21
13,"",IRI,9260064,"",1987,14,SAVEHDARBANDSARI Mohammad,"",FIS Dizin (IRI),2024-02-21
14,"",IRI,9260138,"",2002,11,JANI Ilia,"",FIS Dizin (IRI),2024-02-21
15,"",IRI,9260023,"",1981,21,SAVEHDARBANDSARI Mohammad,"",FIS Dizin (IRI),2024-02-21
