RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Athlete,Rank,Cup Points,Event Name,Date
33,"",31.52,AUT,9055093,2001,45,KAINZ Carmen,33,"",World Cup Bad Gastein (AUT),2024-01-16
34,"",31.89,JPN,9305265,1994,46,KOSHISAKA Ayana,34,"",World Cup Bad Gastein (AUT),2024-01-16
1,1000.00,56.38,GER,9205058,1996,1,HOFMEISTER Ramona Theresia,1,100,World Cup Bad Gastein (AUT),2024-01-16
2,800.00,57.59,AUT,9055032,1992,7,SCHOEFFMANN Sabine,2,80,World Cup Bad Gastein (AUT),2024-01-16
3,600.00,58.37,ITA,9295154,2001,12,CORATTI Jasmin,3,60,World Cup Bad Gastein (AUT),2024-01-16
4,500.00,57.01,SUI,9515082,1992,3,ZOGG Julie,4,50,World Cup Bad Gastein (AUT),2024-01-16
5,450.00,56.81,SLO,1569955,1989,2,KOTNIK Gloria,5,45,World Cup Bad Gastein (AUT),2024-01-16
6,400.00,57.06,JPN,9305427,2003,4,MIKI Tsubaki,6,40,World Cup Bad Gastein (AUT),2024-01-16
7,360.00,57.58,UKR,1699945,1990,6,DANCHA Annamari,7,36,World Cup Bad Gastein (AUT),2024-01-16
8,320.00,58.04,GER,9205056,1996,9,HOCHREITER Melanie,8,32,World Cup Bad Gastein (AUT),2024-01-16
9,290.00,57.24,ITA,9295145,1997,5,DALMASSO Lucia,9,29,World Cup Bad Gastein (AUT),2024-01-16
10,260.00,57.67,AUT,1004920,1973,8,RIEGLER Claudia,10,26,World Cup Bad Gastein (AUT),2024-01-16
11,240.00,58.13,ITA,9295132,1999,10,CAFFONT Elisa,11,24,World Cup Bad Gastein (AUT),2024-01-16
12,220.00,58.18,NED,9405023,1996,11,DEKKER Michelle,12,22,World Cup Bad Gastein (AUT),2024-01-16
13,200.00,58.40,SUI,9515102,1993,13,JENNY Ladina,13,20,World Cup Bad Gastein (AUT),2024-01-16
14,180.00,58.53,CZE,9155072,2003,14,MADEROVA Zuzana,14,18,World Cup Bad Gastein (AUT),2024-01-16
15,160.00,59.03,GER,9205104,2006,15,JANSING Salome,15,16,World Cup Bad Gastein (AUT),2024-01-16
16,150.00,59.50,USA,9535569,2003,16,PFLUM Iris,16,15,World Cup Bad Gastein (AUT),2024-01-16
17,140.00,59.59,SUI,9515154,1997,30,GASSER Larissa,17,14,World Cup Bad Gastein (AUT),2024-01-16
18,130.00,1:00.27,GER,9205050,1994,26,LOCH Cheyenne,18,13,World Cup Bad Gastein (AUT),2024-01-16
19,120.00,1:00.79,UKR,9695036,2003,47,HAPATYN Nadiia,19,12,World Cup Bad Gastein (AUT),2024-01-16
20,110.00,1:00.95,SUI,9515236,2007,35,VON SIEBENTHAL Xenia,20,11,World Cup Bad Gastein (AUT),2024-01-16
21,100.00,1:00.97,CZE,9155107,2005,43,KECLIKOVA Adela,21,10,World Cup Bad Gastein (AUT),2024-01-16
22,90.00,1:01.01,CAN,9105371,2000,37,BUCK Kaylie,22,9,World Cup Bad Gastein (AUT),2024-01-16
23,80.00,1:01.34,SUI,9515213,2004,50,BAETSCHI Laila Ursina,23,8,World Cup Bad Gastein (AUT),2024-01-16
24,70.00,1:01.41,AUS,9045081,1997,36,BONGIORNO Millie,24,7,World Cup Bad Gastein (AUT),2024-01-16
25,60.00,1:01.65,AUT,9055101,2002,41,WEIS Miriam,25,6,World Cup Bad Gastein (AUT),2024-01-16
26,50.00,1:01.69,AUT,9055100,2002,44,PICHELKASTNER Jessica,26,5,World Cup Bad Gastein (AUT),2024-01-16
27,45.00,1:01.94,SUI,9515196,2002,40,HAUSER Ricarda,27,4,World Cup Bad Gastein (AUT),2024-01-16
28,40.00,1:01.99,POL,9435070,1999,39,BUKOWSKA-CHYC Maria,28,3,World Cup Bad Gastein (AUT),2024-01-16
29,36.00,1:03.06,GER,9205103,2006,49,SCHEID Mathilda,29,2,World Cup Bad Gastein (AUT),2024-01-16
30,32.00,1:03.42,USA,9535431,1999,42,KIZUKA Kaiya,30,1,World Cup Bad Gastein (AUT),2024-01-16
31,28.00,"",SUI,9515212,2003,33,BAETSCHI Flurina Neva,31,"",World Cup Bad Gastein (AUT),2024-01-16
32,"","",POL,9435077,2000,38,KWIATKOWSKA Olimpia,32,"",World Cup Bad Gastein (AUT),2024-01-16
