RowID,FIS Points,Score,Nation,FIS code,Year,Bib,Rank,Athlete,Cup Points,Event Name,Date
1,1000.00,57.88,ITA,9290227,1995,3,1,BAGOZZA Daniele,100,World Cup Pamporovo (BUL),2024-01-20
2,800.00,57.47,ITA,9290107,1991,1,2,CORATTI Edwin,80,World Cup Pamporovo (BUL),2024-01-20
3,600.00,57.93,BUL,1094969,1990,4,3,YANKOV Radoslav,60,World Cup Pamporovo (BUL),2024-01-20
4,500.00,58.68,KOR,9320091,1995,15,4,LEE Sangho,50,World Cup Pamporovo (BUL),2024-01-20
5,450.00,58.12,AUT,1093190,1980,6,5,PROMMEGGER Andreas,45,World Cup Pamporovo (BUL),2024-01-20
6,400.00,58.46,SLO,1659088,1984,8,6,KOSIR Zan,40,World Cup Pamporovo (BUL),2024-01-20
7,360.00,58.51,ITA,1163127,1980,10,7,FISCHNALLER Roland,36,World Cup Pamporovo (BUL),2024-01-20
8,320.00,58.60,ITA,7538766,1986,12,8,MARCH Aaron,32,World Cup Pamporovo (BUL),2024-01-20
9,290.00,57.62,ITA,9290200,1994,2,9,BORMOLINI Maurizio,29,World Cup Pamporovo (BUL),2024-01-20
10,260.00,58.08,AUT,9050217,1996,5,10,OBMANN Fabian,26,World Cup Pamporovo (BUL),2024-01-20
11,240.00,58.12,AUT,1054984,1985,7,11,KARL Benjamin,24,World Cup Pamporovo (BUL),2024-01-20
12,220.00,58.47,USA,9531244,2000,9,12,WINTERS Cody,22,World Cup Pamporovo (BUL),2024-01-20
13,200.00,58.53,POL,9430120,1996,11,13,KWIATKOWSKI Oskar,20,World Cup Pamporovo (BUL),2024-01-20
14,180.00,58.61,AUT,9050238,1997,13,14,AUNER Arvid,18,World Cup Pamporovo (BUL),2024-01-20
15,160.00,58.62,AUT,9050042,1989,14,15,PAYER Alexander,16,World Cup Pamporovo (BUL),2024-01-20
16,150.00,58.87,CAN,9100945,2000,16,16,GAUDET Arnaud,15,World Cup Pamporovo (BUL),2024-01-20
17,140.00,59.19,GER,9200092,1993,31,17,BAUMEISTER Stefan,14,World Cup Pamporovo (BUL),2024-01-20
18,130.00,59.40,CAN,9101129,2002,39,18,HELDMAN Ben,13,World Cup Pamporovo (BUL),2024-01-20
19,120.00,59.44,SLO,7560012,1986,34,19,MARGUC Rok,12,World Cup Pamporovo (BUL),2024-01-20
20,110.00,59.48,SLO,9560053,1991,32,20,MASTNAK Tim,11,World Cup Pamporovo (BUL),2024-01-20
21,100.00,59.49,SUI,9510316,1995,21,21,CAVIEZEL Dario,10,World Cup Pamporovo (BUL),2024-01-20
22,90.00,59.66,SUI,9510417,2000,44,22,CASANOVA Gian,9,World Cup Pamporovo (BUL),2024-01-20
23,80.00,59.71,AUT,9050196,1995,48,23,JURITZ Aron,8,World Cup Pamporovo (BUL),2024-01-20
24,70.00,59.79,JPN,7300127,1986,46,24,SHIBA Masaki,7,World Cup Pamporovo (BUL),2024-01-20
25,60.00,59.81,AUT,9050297,2003,49,25,KARNER Christoph,6,World Cup Pamporovo (BUL),2024-01-20
26,50.00,59.85,BUL,9090161,2005,55,26,GERGYOVSKI Petar,5,World Cup Pamporovo (BUL),2024-01-20
27,45.00,1:00.09,KOR,9320014,1989,41,27,KIM Sangkyum,4,World Cup Pamporovo (BUL),2024-01-20
28,40.00,1:00.24,BUL,9090160,2005,50,28,ZAMFIROV Tervel,3,World Cup Pamporovo (BUL),2024-01-20
29,36.00,1:00.44,ITA,9290395,2002,51,29,LANTSCHNER Fabian,2,World Cup Pamporovo (BUL),2024-01-20
30,32.00,1:00.74,ITA,9290463,2005,61,30,SANTUARI Mike,1,World Cup Pamporovo (BUL),2024-01-20
31,28.00,1:04.40,AUT,9050279,2001,42,31,BURGSTALLER Dominik,"",World Cup Pamporovo (BUL),2024-01-20
32,26.00,"",ITA,9290151,1992,38,32,FELICETTI Mirko,"",World Cup Pamporovo (BUL),2024-01-20
33,24.00,30.81,AUT,9050029,1988,37,33,KISLINGER Sebastian,"",World Cup Pamporovo (BUL),2024-01-20
34,22.00,30.89,JPN,9300870,2001,62,34,SHIMIZU Daichi,"",World Cup Pamporovo (BUL),2024-01-20
35,20.00,30.91,KOR,9320197,2002,66,35,MA Junho,"",World Cup Pamporovo (BUL),2024-01-20
36,19.70,31.06,AUT,9050316,2005,59,36,PIETSCH Werner,"",World Cup Pamporovo (BUL),2024-01-20
37,19.40,31.24,AUT,9050272,2001,40,37,PINK Matthaeus,"",World Cup Pamporovo (BUL),2024-01-20
38,19.10,31.44,KOR,9320222,2005,68,38,PARK Jisung,"",World Cup Pamporovo (BUL),2024-01-20
39,19.10,31.44,POL,9430124,1996,45,38,NOWACZYK Michal,"",World Cup Pamporovo (BUL),2024-01-20
40,18.50,31.58,JPN,9300856,2001,65,40,SHINOHARA Ryusuke,"",World Cup Pamporovo (BUL),2024-01-20
41,18.20,31.64,CAN,9100570,1996,60,41,LEFEBVRE Jules,"",World Cup Pamporovo (BUL),2024-01-20
42,17.90,31.75,UKR,9690062,1995,72,42,BELINSKYI Oleksandr,"",World Cup Pamporovo (BUL),2024-01-20
43,17.60,31.84,CAN,9100939,2000,57,43,NAZWASKI Michael,"",World Cup Pamporovo (BUL),2024-01-20
44,17.30,32.09,AUS,9040213,1999,73,44,EDMANSON Harvey,"",World Cup Pamporovo (BUL),2024-01-20
45,17.00,32.16,USA,9531069,1997,63,45,UDOLF Dylan,"",World Cup Pamporovo (BUL),2024-01-20
46,16.70,32.31,POL,9430169,1999,71,46,RUTKOWSKI Mikolaj,"",World Cup Pamporovo (BUL),2024-01-20
47,16.40,32.39,BUL,9090159,2004,67,47,GEORGIEV Kristian,"",World Cup Pamporovo (BUL),2024-01-20
48,16.10,32.69,BUL,9090158,2004,54,48,KRASHNIAK Alexander,"",World Cup Pamporovo (BUL),2024-01-20
49,15.80,32.78,BUL,9090090,1996,76,49,GYOSHARKOV Petar,"",World Cup Pamporovo (BUL),2024-01-20
50,"",33.08,BUL,9090065,1994,74,50,GANICHEV Dimitar,"",World Cup Pamporovo (BUL),2024-01-20
51,"",33.88,UKR,9690121,1999,53,51,KHARUK Mykhailo,"",World Cup Pamporovo (BUL),2024-01-20
52,"",34.65,CAN,9101030,2001,58,52,CARPENTIER Justin,"",World Cup Pamporovo (BUL),2024-01-20
53,"",35.42,BUL,9090170,2006,77,53,MILCHEV Georgi,"",World Cup Pamporovo (BUL),2024-01-20
54,"",39.21,BUL,1094937,1983,75,54,VANGELOV Stanislav,"",World Cup Pamporovo (BUL),2024-01-20
55,"","",MKD,1568975,1979,70,"",KACARSKI Aleksandar,"",World Cup Pamporovo (BUL),2024-01-20
56,"","",CZE,9150168,1999,69,"",POCINEK Adam,"",World Cup Pamporovo (BUL),2024-01-20
57,"","",CAN,9100748,1998,64,"",KILMER-CHOI Richard Riley,"",World Cup Pamporovo (BUL),2024-01-20
58,"","",CAN,9100940,2000,56,"",BEHAN Jamie,"",World Cup Pamporovo (BUL),2024-01-20
59,"","",GER,9200158,2001,47,"",PRANTL Ole-Mikkel,"",World Cup Pamporovo (BUL),2024-01-20
60,"","",GER,9200128,1999,43,"",HUBER Elias,"",World Cup Pamporovo (BUL),2024-01-20
61,"","",GER,9200145,2000,52,"",ANGENEND Yannik,"",World Cup Pamporovo (BUL),2024-01-20
