RowID,FIS Points,Nation,FIS code,Score,Year,Bib,Athlete,Rank,Event Name,Date
1,50.00,IRI,1264993,1:20.43,1986,13,KALHOR Hossein,1,FIS Tochal (IRI),2024-04-15
2,40.00,IRI,1264984,1:22.06,1984,18,SEYD Seyed Hossein,2,FIS Tochal (IRI),2024-04-15
3,30.00,IRI,9260152,1:25.99,2002,34,SOLGHANI Amirhassan,3,FIS Tochal (IRI),2024-04-15
4,25.00,IRI,9260023,1:27.75,1981,32,SAVEHDARBANDSARI Mohammad,4,FIS Tochal (IRI),2024-04-15
5,22.50,IRI,9260138,1:29.42,2002,20,JANI Ilia,5,FIS Tochal (IRI),2024-04-15
6,20.00,IRI,9260059,1:33.01,1990,30,KIASHEMSHAKI Pooria,6,FIS Tochal (IRI),2024-04-15
7,18.00,IRI,9260029,1:36.64,1989,27,JEYRODI Mahdi,7,FIS Tochal (IRI),2024-04-15
8,16.00,IRI,9260065,1:37.85,1978,24,AZHDARI MOGHADAM nima,8,FIS Tochal (IRI),2024-04-15
9,14.50,IRI,9260072,1:38.88,1993,25,DARBANDSARI Ali,9,FIS Tochal (IRI),2024-04-15
10,13.00,IRI,9260064,1:43.50,1987,17,SAVEHDARBANDSARI Mohammad,10,FIS Tochal (IRI),2024-04-15
11,12.00,IRI,1264992,1:48.19,1970,28,KALHOR Feyzolah,11,FIS Tochal (IRI),2024-04-15
12,11.00,IRI,9260080,1:48.74,1982,36,BAKHTIARI Mohammad,12,FIS Tochal (IRI),2024-04-15
13,10.00,IRI,9260078,1:53.02,1988,29,KAVIANI Mahdi,13,FIS Tochal (IRI),2024-04-15
14,9.00,IRI,9260166,1:59.72,1987,26,GOLESTANI Mostafa,14,FIS Tochal (IRI),2024-04-15
15,8.00,IRI,9260167,2:04.94,2004,31,PARSIAVASH Mani,15,FIS Tochal (IRI),2024-04-15
16,7.50,IRI,9260165,2:06.36,1986,23,ASADKHANI Amir,16,FIS Tochal (IRI),2024-04-15
17,"",IRI,9260168,2:18.07,1993,33,SOHRABI Hossein,17,FIS Tochal (IRI),2024-04-15
18,"",IRI,9260159,"",2004,35,SOLGHANI Amirmahdi,"",FIS Tochal (IRI),2024-04-15
